component,target,slope_kcal_per_mol_per_heavy_atom,slope_deviation_from_panel_mean
pre_hydrophobic,ADRB2,-0.05538003679299368,-0.02488075580424533
pre_hydrophobic,ADRB1,-0.056487413528906925,-0.025988132540158578
pre_hydrophobic,ADORA2A,-0.04598809309312038,-0.015488812104372033
pre_hydrophobic,AR,0.005821866549871865,0.036321147538620216
pre_hydrophobic,PTGS2,0.01621607313244979,0.046715354121198135
pre_hydrophobic,ACHE,-0.040055621121799286,-0.009556340133050938
pre_hydrophobic,DRD2,-0.04483291786610312,-0.014333636877354772
pre_hydrophobic,LCK,-0.025779826044679932,0.004719454944068415
pre_hydrogen,NR3C1,-0.02394366748109997,-0.005972188769047444
pre_hydrogen,ADRB2,-0.009576949952634934,0.008394528759417593
pre_hydrogen,ADRB1,-0.010274280274058004,0.007697198437994523
pre_hydrogen,ADORA2A,-0.014766526052836907,0.00320495265921562
pre_hydrogen,AR,-0.01935211446973679,-0.0013806357576842641
pre_hydrogen,PTGS2,-0.03603169140947661,-0.018060212697424083
pre_hydrogen,ACHE,-0.01798860341340357,-1.712470135104352e-05
pre_hydrogen,DRD2,-0.014661589474498027,0.0033098892375545003
pre_hydrogen,LCK,-0.0151478858807279,0.002823592831324627
