selection_rank,index,inchikey,smiles,NR3C1,ADRB2,ADRB1,ADORA2A,AR,PTGS2,ACHE,DRD2,LCK
13,183997,FSQQVWZYNCTAAY-UHFFFAOYNA-N,ClC1=CN2C(CC(C)(C)C)=C(N=C2C=C1)C3=CC=C(C=C3)C,-8.8,-9.0,-8.5,-9.5,-7.0,-9.7,-8.9,-8.0,-8.3
14,236845,URUCJSMQLOIATF-UHFFFAOYNA-N,FC=1C(C(=O)C2=C3N(C(=C2C)CCC(OC)=O)C=CC=C3)=CC(F)=C(F)C1F,-9.3,-8.4,-8.8,-9.6,-7.3,-10.0,-10.8,-8.9,-8.7
15,14758,UWIWXURHQZHERM-UHFFFAOYNA-N,O=C1CC(CC=2NC=3C(NC(C21)C4=CC(O)=C(OC)C=C4)=CC=CC3)(C)C,-6.3,-8.8,-9.6,-8.9,-6.6,-7.8,-9.3,-9.0,-7.8
16,231471,ZCAVFNBSWDFMDG-LNNLXFCONA-N,S(=O)(=O)(N(CC(=O)NCCC1=CC=CC=C1)C2=C(OC)C=C(OC)C=C2)C3=CC=CC=C3,-8.5,-9.2,-9.4,-9.1,-5.6,-7.9,-9.9,-8.7,-8.0
17,191465,YBRLGVDHYMUGPQ-WNTOCCTANA-N,O1[C@H]2[C@@H](N(C(=O)C=3C(OC2)=CC=C(NC(=O)NCC)C3)C)CC[C@@H]1CC(=O)N[C@@H](C4=CC=CC=C4)C,-9.4,-11.4,-11.0,-9.8,-9.1,-8.9,-11.7,-10.5,-9.4
18,35515,DYUYSOFSDYVVJJ-OBYPDVEBNA-O,O1[C@@H](COC2=C1C=C(N(CC3=CC=CC=C3)C(=O)C(OCC)=O)C=C2)COC=4C=CC(=CC4)C(=[NH2+])N,-9.2,-11.1,-10.1,-9.1,-6.3,-9.0,-10.3,-10.2,-8.8
19,255302,OLOQVLQYIGFQGZ-UYBDAZJANA-N,S(=O)(=O)(NCC(OCC(=O)NCCC1=CC=CC=C1)=O)C=2C=C(F)C=CC2,-8.7,-9.2,-9.1,-8.3,-7.7,-9.3,-10.0,-9.3,-6.7
20,234571,JESKFHBAGSEHPY-LELJVTLKNA-N,OC1=C(C(NC2=NC=CC=C2)C3=CC(=C(OC)C=C3)C)C=CC4=C1N=C(C=C4)C,-9.1,-9.8,-10.0,-10.4,-6.0,-10.4,-9.7,-9.7,-8.6
21,131701,LVQJTRWXDWTTNG-UHFFFAOYNA-N,ClC=1C=CC(C(=O)CSC=2N(C(=O)C=3NC=4C(C3N2)=CC=CC4)C5=CC=CC=C5)=CC1,-8.4,-11.2,-10.2,-10.7,-6.9,-9.7,-9.9,-10.2,-9.3
22,198176,CTRPJVSKOULCDB-PKSOQXRJNA-N,S(=O)(=O)(CC=1OC(=CC1)C(=O)NCC=2C(OC)=CC=CC2)C3=CC=CC=C3,-9.2,-10.0,-9.6,-8.9,-8.2,-9.3,-10.5,-10.1,-7.4
23,56188,YNIUQUXFWAWIHP-ALTNUMCQNA-N,C=1C(Cl)=C(C=CC1OC=2N=CN=C(C2/C=N/OC)N)NC(NC=3C=CC=CC3F)=O,-9.9,-11.4,-10.3,-10.2,-8.3,-8.3,-9.1,-10.1,-8.6
24,68814,FQOHPYXGUDBOTN-QWOVJGMINA-N,C1=NC(CCC=2C=NOC2)=C(S1)C(NC=3C=CC(=CC3)C(C)(C)C)=O,-8.2,-9.2,-9.1,-8.6,-5.9,-9.1,-9.3,-9.2,-7.0
25,206765,OCDHIJYPZXAUBT-UHFFFAOYNA-N,S1C2=C(CCCC2)C3=C1N4C(N(C3=O)C=5C=C(C=CC5)C)=NN=C4C,-9.6,-10.4,-9.7,-10.9,-6.6,-9.8,-12.9,-9.9,-9.7
26,93672,MIPZKZGHHCXTSG-KEAFGAQVNA-N,O1CCN(CC1)CCOC2=CC=3CCN4N=C(C(=C4NC3C=C2)C(=O)N)C5=CC=C(OC6=CC=CC=C6)C=C5,-9.5,-11.5,-10.9,-10.3,-7.0,-8.7,-10.3,-12.0,-9.3
27,129327,IDXAHHXMINTARL-SPEPDGBUNA-N,O1C=2C(C(NC(=O)C3=CC=4OCOC4C=C3)=C1C(=O)NC=5C=CC(OC)=CC5)=CC=CC2,-6.8,-11.0,-11.0,-10.5,-7.3,-10.3,-10.6,-10.6,-9.1
28,147938,WOADBRKODXSJPI-UHFFFAOYNA-N,O1C(CN(C2=NC=NC(C=3C(=CC=CC3)CN(C)C)=C2)C)=CC=C1,-8.3,-8.5,-8.3,-8.7,-6.8,-8.1,-9.2,-8.4,-7.2
29,259004,WDSFZFTXQVUSIQ-BCCFGKPINA-N,S(=O)(=O)(N(C[C@H]1OC=2C(C(=O)N(C[C@@H]1C)[C@@H](CO)C)=CC(NC(=O)NC=3C=CC(OC)=CC3)=CC2)C)C4=CC=C(OC)C=C4,-5.8,-11.0,-10.0,-8.1,-1.1,-8.0,-9.0,-10.0,-8.7
30,19142,YRMQRRYBWAXLED-UHFFFAOYNA-N,O1C(C=2C=CC(=CC2)C(=O)C)C=CC(O)C1CO,-7.4,-8.4,-7.4,-8.2,-7.8,-8.2,-9.6,-7.4,-7.1
31,121942,QEKJUDMEUXQWLD-UHFFFAOYNA-N,S1C(C(=O)N2CCOCC2)=C(N)C=3C1=NC4=C(C3)C=C(C=C4)C,-10.1,-9.9,-9.4,-9.4,-6.2,-7.1,-7.9,-9.9,-8.3
32,236173,QKSMMTXJKVNQMY-FQFUPTBWNA-N,S1C(NC(=O)NC2CCCCC2)=NC3=C1C=C(OCC)C=C3,-8.7,-8.8,-9.3,-8.1,-5.6,-6.9,-8.0,-7.9,-7.3
33,139032,YTSSBNADZGMOBZ-UHFFFAOYNA-N,ClC1=CC=C(C(=O)CN2C=3C(N=C2C(=O)C=4C=CC=CC4)=CC=CC3)C=C1,-9.5,-10.3,-9.6,-10.2,-7.2,-11.3,-11.5,-9.9,-9.3
34,138269,OOYVXPREZHBEAK-LNNLXFCONA-N,FC1=CC=C(CN2CCCN3N=C(C=C3C2=O)C(=O)NCC4=CC=C(F)C=C4)C=C1,-10.1,-10.9,-10.5,-9.9,-8.8,-8.5,-10.4,-10.4,-9.4
35,177063,YDVSWBCUPFYYOK-UHFFFAOYNA-N,ClC1=CC=C(C=2N(CC(C)C)C(SCC(=O)N3CCOCC3)=NC2)C=C1,-8.5,-8.5,-8.5,-9.0,-5.8,-7.3,-7.7,-8.8,-7.4
36,223854,DMFCKRSZLXQODQ-UHFFFAOYNA-N,S=1(O)(O)=CC(N(CC=2OC(=CC2)C)C(=O)C3=CC(OCCC)=CC=C3)CC1,-7.7,-8.8,-8.0,-7.1,-5.8,-6.1,-9.1,-7.0,-7.9
37,33276,QYZVZGPAIPNEDN-UHFFFAOYNA-N,C1(=C(SC=2C1=CC=C(O)C2)C=3C=CC(=CC3)O)C(C4=CC=C(N5CCN(C(C6=CC=C(C=C6)Cl)=O)CC5)C=C4)=O,-7.0,-10.2,-10.1,-11.8,-6.9,-9.5,-10.7,-10.4,-9.7
38,49496,YARQGMNXAANHIE-OAHLLOKONA-N,C1N(C2=CC=C(F)C=C2C(F)(F)F)C[C@H](N(S(C3=C(C=C(C=C3)OCCN(C)C)Cl)(=O)=O)C1)C,-8.1,-9.1,-8.9,-8.7,-5.7,-7.4,-8.6,-8.5,-7.9
39,151159,GHQADMPWIHAVNK-VEWCPZSHNA-N,ClC1=C(C(NC(=S)NCC2=CC=C(Cl)C=C2)=CC=C1)C,-7.6,-8.6,-8.5,-8.0,-7.7,-8.9,-9.0,-8.3,-6.6
40,176996,SGRAQJGCLGLCGG-PKSOQXRJNA-N,ClC1=C(C=C(N2C=NN=C2)C=C1)C(=O)NC=3C=C(OC)C=C(OC)C3,-8.6,-9.3,-9.5,-8.9,-6.9,-8.3,-9.1,-8.1,-7.5
41,257727,SCNILGOVBBRMBK-MSRMFOHUNA-N,O1[C@@H](N2C3=NC(=NC(N)=C3N=C2)NC=4C=CC=CC4)[C@H](O)[C@@H](O)[C@H]1CO,-9.2,-8.8,-9.2,-8.9,-6.4,-8.5,-8.9,-8.7,-8.2
42,35102,DSPWOPXVRYCAHU-LELJVTLKNA-N,O1C2=C(C=CC=C2)C(C=3C1=CC=CC3)CCOC=4C=CC(CC(C(O)=O)OCC)=CC4,-9.9,-10.3,-9.9,-10.4,-7.3,-8.5,-11.1,-10.5,-8.9
43,252847,GEIAQIQOWLGELC-PKSOQXRJNA-N,ClC=1C(CC(OCC(=O)NCC=2C(OC)=CC=CC2)=O)=C(F)C=CC1,-8.3,-8.7,-8.5,-8.4,-7.3,-9.1,-9.8,-8.2,-7.6
44,100924,OGXPLQPIIFXSCV-KCXCHRCNNA-N,S(C=1C=C(S(=O)(=O)N)C(=CC1NC(CN(C(=N)N)C)=O)Cl)(=O)(=O)N,-7.5,-7.5,-6.6,-7.5,-6.6,-6.4,-8.6,-7.4,-6.7
45,14659,KOUFJJRQZFHEIB-QWOVJGMINA-N,S(C=1N=CC=CC1C(=O)N(CC(=O)NC2=CC(OCC)=C(OCC)C=C2)C)C,-8.3,-8.3,-8.1,-7.8,-5.5,-6.5,-8.5,-7.2,-7.3
46,210301,RFVFHTIPZYIDCL-NDKGDYFDNA-N,ClC1=C(C(=O)NC2=NN(N=N2)CCC)C=CC=C1,-7.7,-8.2,-8.6,-7.5,-8.2,-8.3,-8.8,-8.3,-7.5
47,254809,GESBKELMKMNZLZ-WXRBYKJCNA-N,P(OCC)(OCC)(=O)NC=1C=CC=CC1,-6.0,-6.0,-6.7,-6.5,-6.0,-6.8,-7.6,-6.2,-5.8
48,79768,BHQOJOFHZNVDAZ-UHFFFAOYNA-N,C1(CN2C(C)=C(CC(OCC)=O)C3=C2C=CC(OC)=C3)CCCCC1,-7.9,-8.5,-8.1,-8.5,-6.3,-9.3,-10.0,-8.0,-7.5
49,8670,HURKUWSFLUKOMW-UYBDAZJANA-N,S1C=2N=C3N(C(=O)C2C=C1C(=O)N4C(C(=O)NCC4)CC(OCC)=O)C=CC=C3,-8.8,-8.7,-9.2,-8.1,-6.4,-7.3,-7.6,-8.5,-8.1
50,136526,MRHBBLNDRJHKTK-MPIMZMORNA-N,S(=O)(=O)(NCC=1OC=CC1)C2=CC(NC(=O)COC=3C(CC)=CC=CC3)=CC=C2,-9.2,-9.6,-9.5,-9.3,-8.2,-8.7,-10.6,-9.6,-8.0
51,95824,MPLWCHQDAAXUTI-ZHLVXTBQNA-N,S1C(CN2CCCC2)=CC3=C1N=C(N=C3N)C=4OC=CC4,-8.5,-8.3,-8.7,-8.3,-7.9,-7.8,-8.6,-8.7,-7.4
52,135106,NEDPPCHNEOMTJV-FQFUPTBWNA-N,S(=O)(=O)(C1=CC=C(NCS(O)=O)C=C1)C2=CC=C(NCS(O)=O)C=C2,-8.5,-8.3,-7.9,-8.2,-5.8,-7.4,-8.9,-8.4,-7.1
53,181011,HESGHXFJBWLUTE-QSFURRQSNA-N,O(C(=O)[C@H](NC(=O)NCCC=1C=2C(NC1)=CC=CC2)CC3=CC=CC=C3)C,-9.0,-9.8,-9.9,-9.3,-8.1,-7.7,-10.7,-9.6,-8.0
54,200789,AURTWELSWRRHPC-LBOYIXSDNA-N,S1C2(N(C(=O)C1)C3=CC=C(C=C3)C)C=4C(N(C2=O)CC(=O)NC5=C(C=C(C=C5)C)C)=CC=CC4,-9.8,-10.0,-9.6,-9.0,-7.2,-7.5,-7.9,-10.1,-9.0
55,44861,RXSZCFAPSDTELY-GHIQRBPXNA-N,C1(=CC=C(NC([C@](O)(COC2=CC=C(C=C2)C#N)C)=O)C=C1I)C#N,-9.2,-9.2,-8.7,-8.2,-7.2,-8.5,-9.6,-8.6,-7.2
56,126037,BURHDQUJCIGZQM-YIUXWYLLNA-N,O=C(N/N=C/C=1C(=NN(C1)C)C)CN2N=CC=C2C,-7.5,-7.5,-7.8,-7.1,-7.2,-7.5,-8.1,-7.5,-6.6
57,2654,XNASKBNJYCPFKW-NDKGDYFDNA-N,S(CC(=O)NC(=O)CC1=CC=CC=C1)C=2N(N=NN2)C,-8.0,-8.5,-8.6,-8.0,-7.7,-8.4,-9.1,-8.2,-7.2
58,178471,QMGVPVSNSZLJIA-WPJRQWNHNA-N,O1C2C3C4N(C5=C([C@@]46C7N(CC6)CC(C3C7)=CC1)C=CC=C5)C(=O)C2,-9.1,-9.1,-9.6,-9.9,-7.5,-8.4,-10.2,-9.1,-9.6
59,161815,FKXAUZVQWQWRFQ-KCBASCNFNA-N,C1[C@H](O)C(C)(C)[C@H]2[C@](C)(C1)C3C(C(C2)=O)[C@@]4(C)[C@]([C@H](CC4=O)[C@@H](CCC(=O)O)C)(C)CC3=O,-10.3,-8.6,-9.0,-9.0,-8.2,-8.2,-9.2,-8.3,-8.6
60,45490,RSQVIWGRLAYAKO-BGFWGEJZNA-N,N1(C(CC(C2=CN=CC=C2)C=3C=CC=CC3)=O)[C@H](C(NCC4CCC(N)CC4)=O)CCC1,-9.5,-10.3,-10.0,-9.9,-6.1,-9.1,-10.6,-10.1,-8.4
61,190956,LQOSQQKRWLQIQB-ZEIDDBQQNA-N,BrC1=C(S(=O)(=O)/C(=C/C=2C=CC(=CC2)C(O)=O)/C#N)C=C(Br)C=C1,-8.2,-8.7,-8.4,-8.7,-6.0,-7.1,-10.1,-8.5,-7.4
62,252615,VWZDXBGOUNUKKC-ODUIGABRNA-N,BrC=1C(CSCC(=O)N/N=C/C2=CC=3OCOC3C=C2)=CC=CC1,-9.0,-9.4,-9.5,-8.8,-8.1,-9.1,-10.0,-9.4,-7.2
63,187364,MGRRHNLHOMQGGT-FMIVXFBMNA-N,S\1C(=O)N(CC(=O)N2CCOCC2)C(=O)/C1=C\C3=NC=CC=C3,-8.3,-8.7,-8.0,-8.0,-6.0,-7.4,-8.8,-8.5,-7.2
64,35679,DWPUALIYKUCWGW-ZBLYBZFDNA-N,S(=O)(=O)(NC=1C=C([C@@H](O)CN[C@@H](CC=2C3=C(NC2)C(OCC4=CC=CC=C4)=CC=C3)C)C=CC1)C=5SC=CC5,-9.9,-10.7,-11.1,-8.9,-8.1,-10.1,-11.9,-11.0,-8.5
65,87017,DFGMQFCAADFHHZ-MUHPPHOBNA-N,C(N[C@H]([C@H]([C@H](CCC(C)C)O)O)CC1CCCCC1)([C@@H](NC([C@@H](NC(OC(C)(C)C)=O)CC=2C=CC=CC2)=O)CC=3N=CNC3)=O,-6.9,-9.4,-9.5,-8.1,-5.2,-8.2,-10.5,-8.1,-7.6
66,31482,FLJNUPIJNHQZPV-WSMKUOCGNA-N,C1(Br)=C(C=2C=3C=CNC3N=CC2)SC(C(N[C@@H](CN)CC4=CC=CC=C4)=O)=C1,-9.5,-9.8,-10.1,-9.3,-6.0,-8.5,-10.1,-10.1,-8.4
67,152818,XHIVHTDDVMEDRJ-UHFFFAOYNA-N,FC1=CC=C(N2CCN(C3CN(CCC3)C(=O)C4CCOCC4)CC2)C=C1,-10.0,-10.0,-9.5,-8.9,-6.1,-8.2,-7.6,-10.4,-8.4
68,253104,MDJSIUTXUMHRCU-GPQMBLKYNA-N,O=C1CC(C=C2N(C(=O)NC(C21)C=3C(N(=O)=O)=CC=CC3)C)(C)C,-8.1,-8.3,-9.3,-8.7,-6.4,-9.6,-8.6,-8.8,-8.8
69,252308,AVCUXYHCQUSXJA-UHFFFAOYNA-N,O1N=C(CC1(C)C=2OC(=NN2)CC3=CC=CC=C3)C4=C(OC)C=CC=C4,-9.9,-10.5,-9.8,-9.3,-7.1,-9.1,-10.4,-10.4,-8.4
70,79052,HAYOLOYCKPWVPW-GSKSQRNCNA-N,S(O)(=C[C@H](C(=O)N[C@H](C(=O)N[C@@H](CC1CCCCC1)C(O)C[C@@H](C(C)C)C(=O)NCCCC)CC=2NC=NC2)CC3=CC=CC=C3)C(C)(C)C,-3.5,-9.8,-9.9,-8.3,-4.9,-6.3,-10.9,-8.8,-8.1
71,11448,KFLJCZCQHOHEJD-USVMTASPNA-N,S1C(/C=C\2/C(=O)N(C3=CC=C(OC)C=C3)C(=O)NC2=O)=CC=C1N(=O)=O,-9.7,-9.2,-8.7,-8.8,-5.8,-7.1,-8.2,-9.6,-8.2
72,27612,SBPPAFQZTZUQSW-LSGMMQLQNA-N,S(N1[C@H]([C@H](C)N(CC1)C(=O)C)C(O)=NO)(C2=CC=C(OCC3=C(C)C=CC=C3)C=C2)(=O)=O,-9.0,-9.9,-9.9,-9.5,-6.9,-7.7,-10.8,-9.3,-8.9
73,115707,QUVXKQVXHNZRKE-HCKMINDGNA-N,O1CCN(CC=2N(C3=C(N2)N(C(=O)NC3=O)C)CC(OCC)=O)CC1,-6.9,-7.3,-7.2,-7.4,-7.1,-8.2,-9.4,-7.0,-6.8
74,36892,BMFUKBQBNCLWGI-UHFFFAOYNA-N,C1(C2=CC=C(C=C2)OCCCC)=CNC=C1,-7.0,-7.3,-7.2,-7.1,-6.9,-7.9,-8.2,-7.8,-6.5
75,130464,ZBCOAVKWIKRCFX-UHFFFAOYNA-N,OC(CN=CC1=C(O)C=CC=C1)C2=CC=CC=C2,-7.5,-8.3,-8.9,-7.6,-8.0,-8.4,-9.1,-8.5,-7.2
76,104163,JUZJWDXANXGQPZ-SKCDSABHNA-N,S(N[C@H](C(N(C1CCCC1)C)=O)CC=2C=CC(C(NN)N)=CC2)(C=3C=C4CCCCC4=CC3)(=O)=O,-9.6,-10.5,-9.3,-11.1,-6.3,-10.3,-10.7,-9.9,-9.1
77,59382,UYYDHYKNAJJBOE-PMERELPUNA-N,C1C=2[C@](CN(C1)S(C3=CC=C(C=C3)C(C)(C)C)(=O)=O)(CNCCOC)CC4=C(N(C=5C=CC(F)=CC5)N=C4)C2,-6.0,-9.8,-10.6,-8.9,-5.1,-7.9,-8.1,-9.7,-7.9
78,17239,UGGUCACMQFGWAH-GXOBDPJENA-N,O1[C@]2([C@@]3([C@H]([C@H]4[C@H]([C@@H](O)C3)[C@@]5(C(=CC4)CC(=O)C=C5)C)C[C@H]2O[C@H]1C6CCCCC6)C)C(=O)COC(=O)C(C)C,-6.4,-9.5,-9.2,-10.4,-7.0,-7.9,-8.9,-8.8,-9.0
79,9609,MOEPPVLXSWWAAN-UHFFFAOYNA-N,S(C1=CC(NCCCO)=C(N(=O)=O)C2=NON=C12)C=3N(C=CN3)C,-7.1,-7.1,-8.2,-7.1,-6.6,-8.1,-8.2,-7.0,-6.4
80,148515,NORWWCXIBHEXDH-UHFFFAOYNA-N,S(C1=NC2=C(C(=N1)C)C=C(OC)C=C2)CCC(OCC)=O,-7.6,-7.3,-7.5,-7.3,-7.6,-7.9,-8.7,-7.3,-7.0
81,121945,BLUAFEHZUWYNDE-ATFGJQHGNA-N,O1O[C@@]2(OC3OC(=O)C(C4[C@]13C(C(CC4)C)CC2)C)C,-8.4,-8.8,-8.3,-7.7,-8.1,-7.6,-10.7,-8.5,-7.9
82,233259,IUOQCIANQHJADN-MPIMZMORNA-N,ClC1=CC(NC(=O)C=2C=C(N(=O)=O)C(NCCCN3CCOCC3)=CC2)=CC=C1,-8.8,-9.9,-9.5,-8.1,-6.5,-7.6,-9.2,-9.5,-8.3
83,97444,PKKUANXEDPALTC-UHFFFAOYNA-N,O=C1N(C(=O)N(C=2N=C(N3CC(N)CCC3)N(C21)CC=C(C)C)C)CCC4=CC=CC=C4,-9.1,-9.5,-9.6,-9.5,-6.3,-7.8,-9.1,-9.2,-8.3
84,220676,UHERRMOUNHMKHG-UHFFFAOYNA-N,O=C(N1CCC(N2CCCCC2)CC1)C(N3C=CC=C3)CC4=CC=CC=C4,-8.8,-9.3,-9.7,-9.9,-6.0,-7.1,-7.8,-8.4,-7.6
85,165975,GIRJBKMMKOVJKL-LKHHGCNMNA-N,S(C=1N(CCCC(=O)NCC2=CC=3OCOC3C=C2)C(=O)C=4C(N1)=CC=5OCOC5C4)CC(=O)NC(CC)C,-8.5,-10.2,-10.0,-9.5,-5.9,-10.1,-10.1,-9.9,-9.3
86,33608,BRZYOTMFHLERHD-VVRHMUTCNA-N,N1(C([C@@H](CC2=CC=CC=C2)N)=O)[C@H](C(N[C@H](CCl)CCCN=C(N)N)=O)CCC1,-8.7,-8.8,-8.8,-8.0,-6.7,-7.4,-8.2,-8.2,-7.5
87,4145,FECNTIVLPGTOJD-UYBDAZJANA-N,ClC1=CN(N=C1)CC=2OC(=CC2)C(=O)NC3=C(C=CC=C3)C(OC)=O,-8.7,-9.2,-9.3,-8.7,-6.4,-8.4,-9.5,-8.5,-7.4
88,169295,QSWWVPTUDPLALI-UHFFFAOYNA-N,OC(CN1C(CCCC1C)C)COCC2OC=3C(OC2)=CC=CC3,-8.3,-8.7,-8.6,-7.7,-7.7,-8.6,-9.0,-7.6,-7.3
89,37651,WDHYFDZSQKSUCX-JAKNFYIWNA-N,N1(CCN(CC1)CC[C@H]2CC[C@H](NC(=O)C)CC2)C3=CC=CC=C3,-9.3,-9.0,-8.9,-8.4,-6.1,-7.8,-8.7,-9.6,-7.6
90,121025,YLDOUIQGJCTURW-UYBDAZJANA-N,FC(F)OC1=C(NC(=O)COC2=CC=C(N3N=NN=C3)C=C2)C=CC=C1,-9.3,-9.5,-9.4,-9.0,-7.6,-9.3,-9.4,-9.5,-7.9
91,231909,LDOXHTDIAVGFMD-SIGOKFDONA-N,S(C(C)C(=O)N/N=C/C1=CC(OCC)=C(OCC)C=C1)C2=NC=CC=C2,-7.9,-8.4,-8.7,-8.0,-6.6,-7.9,-8.8,-8.6,-7.0
92,31651,WZWHLVAXFSORKE-UHFFFAOYNA-N,C1N(C)CCC2=C(CC3=C(C=C(C=C3)OC)C1)C=CC(=C2)OC,-7.4,-8.8,-8.0,-6.9,-7.5,-6.6,-8.3,-7.5,-7.8
93,58939,UHVMGQPWQVBBPI-POHAHGRENA-N,C/1(\C(C2=C(N(=O)=O)C=CC=C2C1=O)=O)=C\C3=CC(O)=C(C=C3)O,-9.6,-9.2,-9.1,-10.6,-8.6,-11.1,-10.7,-8.6,-9.2
94,255324,HFEWPOYKRPXSJH-LQFNOIFHNA-N,ClC=1C=C(NC(=S)N(CC2=CC=CC=C2)CC3=CC=CN=C3)C(=CC1)C,-9.0,-8.7,-8.7,-8.9,-6.6,-9.6,-10.3,-8.7,-7.7
95,236258,VYNWVIQEOAIOBA-XBTAAFKLNA-N,FC(F)(F)C(O)=NC1=CC=2N=C(O)C3=C(C2C=C1)C=CC=C3,-9.0,-9.2,-9.7,-9.5,-8.7,-10.4,-9.7,-9.6,-8.5
96,150113,CCTCISPYUXWOGO-HXTKINSTNA-N,C1(CC1)(C=2C=C(F)C(=CC2)C3=CC=C(C=C3)C4CCC(CC4)(C)C)C(=O)O,-10.4,-11.0,-10.3,-10.2,-6.3,-8.0,-9.2,-11.1,-9.7
97,152610,RPALSCQQLRQFNM-LECOEIFFNA-N,O(C(=O)[C@@]12C[C@H](C(=O)N(C1=CCCCC2)CC3=CC=4OCOC4C=C3)CC(=O)NCC=5C=6C(C=CC5)=CC=CC6)C,-8.2,-12.3,-11.8,-10.9,-6.8,-8.8,-12.1,-10.6,-10.0
98,7389,YFOBXIFGQIGNEC-VTORVXMGNA-N,S(C=1N=C(NC(=O)C=2C=CC=CC2)NN1)CC(OCC)=O,-8.0,-8.2,-8.9,-7.6,-7.0,-7.7,-7.9,-8.4,-7.1
99,245779,JYWPTMMZCIBGJR-UHFFFAOYNA-N,BrC1=C(C2=NN(N=N2)CC3=C(OC)C=CC(=C3)C(=O)C)C=CC=C1,-9.0,-9.3,-9.0,-8.8,-7.0,-8.4,-9.9,-9.0,-8.2
100,136997,XHWYIDSLVDAPOA-LYJRCHENNA-N,C=1(C(=NC=C(C)N1)N)CNC(=S)NC=2C=C3C(=CC2)OC(=N3)O,-8.8,-9.1,-8.7,-7.8,-7.7,-9.0,-9.6,-8.8,-7.2
101,243371,QAMZQXFATWBYLK-BDGWVKIONA-N,BrC=1C=CC(C(=O)NNC(=O)C=2C=CC(S(=O)(=O)N3CCCC3)=CC2)=CC1,-9.0,-10.2,-9.6,-9.8,-6.1,-7.7,-8.7,-10.3,-8.9
102,31466,FLHNFXPLCFJIDJ-MRXNPFEDNA-N,N1(C2=C(SC=C2)CC)C[C@H](C=3C=C(C#N)C=CC3)CCC1,-8.6,-8.7,-8.8,-8.6,-7.2,-8.4,-8.2,-7.9,-7.5
