dataset,null_key,requested_mw_bins,actual_mw_bins,support_index_sha256,bin_index,ligands,mw_minimum_g_per_mol,mw_median_g_per_mol,mw_maximum_g_per_mol
docking44,mw_20_bins,20,20,8253cb55c3736ebeb500aa6f12546f326a0e750c6037c207ff4a68d227e6a57c,18,600,439.21600000000007,482.36150000000009,555.85500000000002
docking44,mw_20_bins,20,20,8253cb55c3736ebeb500aa6f12546f326a0e750c6037c207ff4a68d227e6a57c,19,600,555.875,679.50499999999988,1506.1350000000004
dockstring58,mw_1_bins,1,1,64dccaf8b65d71fb3420c217518b4716850ae6e0313187d0c110b915f12e98bf,0,12000,172.167,384.46800000000007,987.21699999999953
dockstring58,mw_5_bins,5,5,64dccaf8b65d71fb3420c217518b4716850ae6e0313187d0c110b915f12e98bf,0,2403,172.167,275.30399999999997,310.39699999999999
dockstring58,mw_5_bins,5,5,64dccaf8b65d71fb3420c217518b4716850ae6e0313187d0c110b915f12e98bf,1,2397,310.40000000000003,336.4790000000001,361.42600000000004
dockstring58,mw_5_bins,5,5,64dccaf8b65d71fb3420c217518b4716850ae6e0313187d0c110b915f12e98bf,2,2400,361.4380000000001,384.46800000000007,408.42600000000033
dockstring58,mw_5_bins,5,5,64dccaf8b65d71fb3420c217518b4716850ae6e0313187d0c110b915f12e98bf,3,2400,408.44500000000011,434.46600000000012,465.59700000000026
dockstring58,mw_5_bins,5,5,64dccaf8b65d71fb3420c217518b4716850ae6e0313187d0c110b915f12e98bf,4,2400,465.60100000000017,511.46300000000031,987.21699999999953
dockstring58,mw_10_bins,10,10,64dccaf8b65d71fb3420c217518b4716850ae6e0313187d0c110b915f12e98bf,0,1200,172.167,247.26650000000001,275.28900000000004
dockstring58,mw_10_bins,10,10,64dccaf8b65d71fb3420c217518b4716850ae6e0313187d0c110b915f12e98bf,1,1203,275.30399999999997,294.358,310.39699999999999
dockstring58,mw_10_bins,10,10,64dccaf8b65d71fb3420c217518b4716850ae6e0313187d0c110b915f12e98bf,2,1197,310.40000000000003,324.42700000000002,336.46700000000004
dockstring58,mw_10_bins,10,10,64dccaf8b65d71fb3420c217518b4716850ae6e0313187d0c110b915f12e98bf,3,1200,336.47100000000012,349.27750000000003,361.42600000000004
dockstring58,mw_10_bins,10,10,64dccaf8b65d71fb3420c217518b4716850ae6e0313187d0c110b915f12e98bf,4,1200,361.4380000000001,373.3900000000001,384.46000000000009
dockstring58,mw_10_bins,10,10,64dccaf8b65d71fb3420c217518b4716850ae6e0313187d0c110b915f12e98bf,5,1200,384.47600000000006,395.47400000000005,408.42600000000033
dockstring58,mw_10_bins,10,10,64dccaf8b65d71fb3420c217518b4716850ae6e0313187d0c110b915f12e98bf,6,1200,408.44500000000011,421.47800000000012,434.4620000000001
dockstring58,mw_10_bins,10,10,64dccaf8b65d71fb3420c217518b4716850ae6e0313187d0c110b915f12e98bf,7,1200,434.4700000000002,448.49850000000015,465.59700000000026
dockstring58,mw_10_bins,10,10,64dccaf8b65d71fb3420c217518b4716850ae6e0313187d0c110b915f12e98bf,8,1200,465.60100000000017,484.52800000000013,511.42700000000036
dockstring58,mw_10_bins,10,10,64dccaf8b65d71fb3420c217518b4716850ae6e0313187d0c110b915f12e98bf,9,1200,511.49900000000031,558.90400000000034,987.21699999999953
dockstring58,mw_20_bins,20,20,64dccaf8b65d71fb3420c217518b4716850ae6e0313187d0c110b915f12e98bf,0,600,172.167,225.30049999999997,247.25399999999999
dockstring58,mw_20_bins,20,20,64dccaf8b65d71fb3420c217518b4716850ae6e0313187d0c110b915f12e98bf,1,600,247.279,263.31799999999998,275.28900000000004
dockstring58,mw_20_bins,20,20,64dccaf8b65d71fb3420c217518b4716850ae6e0313187d0c110b915f12e98bf,2,601,275.30399999999997,285.322,294.35400000000004
dockstring58,mw_20_bins,20,20,64dccaf8b65d71fb3420c217518b4716850ae6e0313187d0c110b915f12e98bf,3,602,294.358,302.4285000000001,310.39699999999999
dockstring58,mw_20_bins,20,20,64dccaf8b65d71fb3420c217518b4716850ae6e0313187d0c110b915f12e98bf,4,597,310.40000000000003,317.39300000000003,324.40900000000011
dockstring58,mw_20_bins,20,20,64dccaf8b65d71fb3420c217518b4716850ae6e0313187d0c110b915f12e98bf,5,600,324.42400000000015,330.36700000000002,336.46700000000004
dockstring58,mw_20_bins,20,20,64dccaf8b65d71fb3420c217518b4716850ae6e0313187d0c110b915f12e98bf,6,600,336.47100000000012,342.43900000000008,349.22100000000012
dockstring58,mw_20_bins,20,20,64dccaf8b65d71fb3420c217518b4716850ae6e0313187d0c110b915f12e98bf,7,600,349.33399999999995,355.41150000000005,361.42600000000004
dockstring58,mw_20_bins,20,20,64dccaf8b65d71fb3420c217518b4716850ae6e0313187d0c110b915f12e98bf,8,601,361.4380000000001,367.38000000000005,373.39000000000016
dockstring58,mw_20_bins,20,20,64dccaf8b65d71fb3420c217518b4716850ae6e0313187d0c110b915f12e98bf,9,599,373.39999999999998,379.25800000000015,384.46000000000009
dockstring58,mw_20_bins,20,20,64dccaf8b65d71fb3420c217518b4716850ae6e0313187d0c110b915f12e98bf,10,600,384.47600000000006,389.89850000000013,395.47000000000003
dockstring58,mw_20_bins,20,20,64dccaf8b65d71fb3420c217518b4716850ae6e0313187d0c110b915f12e98bf,11,600,395.47800000000001,401.53000000000014,408.42600000000033
dockstring58,mw_20_bins,20,20,64dccaf8b65d71fb3420c217518b4716850ae6e0313187d0c110b915f12e98bf,12,601,408.44500000000011,414.51200000000017,421.47800000000012
dockstring58,mw_20_bins,20,20,64dccaf8b65d71fb3420c217518b4716850ae6e0313187d0c110b915f12e98bf,13,599,421.4820000000002,427.53000000000014,434.4620000000001
dockstring58,mw_20_bins,20,20,64dccaf8b65d71fb3420c217518b4716850ae6e0313187d0c110b915f12e98bf,14,600,434.4700000000002,441.4620000000001,448.49700000000018
dockstring58,mw_20_bins,20,20,64dccaf8b65d71fb3420c217518b4716850ae6e0313187d0c110b915f12e98bf,15,600,448.50000000000017,456.81000000000029,465.59700000000026
dockstring58,mw_20_bins,20,20,64dccaf8b65d71fb3420c217518b4716850ae6e0313187d0c110b915f12e98bf,16,600,465.60100000000017,475.18600000000026,484.50000000000011
dockstring58,mw_20_bins,20,20,64dccaf8b65d71fb3420c217518b4716850ae6e0313187d0c110b915f12e98bf,17,600,484.55600000000021,496.44650000000024,511.42700000000036
dockstring58,mw_20_bins,20,20,64dccaf8b65d71fb3420c217518b4716850ae6e0313187d0c110b915f12e98bf,18,600,511.49900000000031,534.49950000000024,558.73900000000049
dockstring58,mw_20_bins,20,20,64dccaf8b65d71fb3420c217518b4716850ae6e0313187d0c110b915f12e98bf,19,600,559.06900000000019,605.68350000000021,987.21699999999953
