replicate,target_permutation,fixed_points
46,13 4 1 19 10 8 5 18 2 3 17 16 14 7 15 0 11 6 12 9,0
47,2 19 4 13 0 11 18 14 10 1 16 17 5 12 8 3 6 15 9 7,0
48,11 19 14 6 13 15 5 8 2 1 18 7 16 10 12 4 17 3 0 9,0
49,14 15 18 17 3 16 7 4 5 2 9 10 0 8 1 11 6 12 19 13,0
50,9 17 14 16 11 10 4 19 15 7 1 13 5 3 8 6 12 2 0 18,0
51,8 11 7 19 18 9 0 6 15 3 2 14 5 16 13 4 10 12 17 1,0
52,14 0 10 17 2 13 8 5 6 19 11 4 1 9 15 7 18 16 3 12,0
53,19 2 6 12 1 0 15 14 11 17 4 5 18 16 9 7 13 10 8 3,0
54,16 7 6 18 10 19 17 12 1 15 11 13 0 14 3 5 2 8 4 9,0
55,13 3 1 2 12 6 11 8 4 15 18 17 10 5 7 9 14 0 19 16,0
56,14 13 11 7 16 19 2 6 18 0 15 10 8 17 12 5 9 3 1 4,0
57,3 17 10 5 0 19 4 11 7 2 13 1 15 12 6 16 18 8 14 9,0
58,4 8 10 18 3 15 2 5 17 1 0 14 13 16 6 7 9 11 19 12,0
59,9 13 6 15 2 16 5 17 14 12 19 8 1 18 7 4 0 10 11 3,0
60,6 2 17 1 18 14 13 4 19 11 9 7 8 10 0 5 12 3 16 15,0
61,8 12 19 15 1 11 16 6 9 2 0 10 7 5 3 4 18 13 14 17,0
62,6 5 7 13 1 4 16 14 12 15 19 17 0 10 3 2 9 11 8 18,0
63,4 15 10 19 7 3 14 11 16 2 5 18 0 9 12 8 17 1 6 13,0
64,16 10 3 13 19 14 18 17 15 11 2 7 4 6 1 8 12 5 0 9,0
65,16 11 9 12 7 8 10 5 18 6 13 4 3 0 17 2 14 19 1 15,0
66,11 17 9 5 13 3 19 18 15 6 8 16 14 7 4 0 2 1 12 10,0
67,2 8 0 9 5 6 3 10 11 15 18 19 16 14 13 4 7 12 17 1,0
68,11 10 18 17 3 2 4 14 6 0 7 1 19 12 5 13 8 15 16 9,0
69,19 14 5 16 9 11 4 10 13 7 1 6 15 12 17 3 18 8 2 0,0
70,16 13 19 7 1 18 17 0 15 11 9 5 4 8 3 6 10 2 12 14,0
71,18 2 10 17 5 15 7 11 0 13 12 1 14 8 3 4 6 16 19 9,0
72,6 2 13 12 19 16 0 9 15 14 11 10 4 5 18 8 17 7 1 3,0
73,2 15 13 9 12 4 17 8 7 10 1 16 11 14 3 5 19 0 6 18,0
74,10 6 18 12 9 2 0 1 14 19 17 13 15 16 8 11 5 3 4 7,0
75,1 17 19 8 18 12 11 15 13 0 7 5 3 16 9 6 2 4 14 10,0
76,12 10 7 0 16 6 11 13 17 15 2 3 8 5 4 14 18 19 9 1,0
77,1 16 10 14 17 11 9 12 15 19 13 3 4 6 0 7 2 5 8 18,0
78,18 14 16 12 8 17 15 2 13 11 19 6 7 4 3 5 10 1 0 9,0
79,8 4 15 11 7 3 0 13 5 10 17 6 14 18 16 9 19 1 12 2,0
80,2 3 0 7 18 10 16 15 5 13 9 6 19 8 17 1 11 12 4 14,0
81,3 8 4 13 12 7 19 5 15 0 6 18 10 1 16 11 17 14 9 2,0
82,4 9 5 7 8 6 1 3 0 11 18 10 2 14 16 12 13 19 17 15,0
83,4 15 0 5 9 13 14 17 3 8 7 19 18 16 11 1 6 12 2 10,0
84,13 4 5 19 11 14 18 12 0 2 15 8 16 17 9 7 10 6 1 3,0
85,12 11 10 17 7 2 15 13 14 6 1 5 3 4 9 0 8 18 19 16,0
86,1 17 8 6 14 11 18 16 10 2 3 7 19 5 15 13 12 0 4 9,0
87,19 14 3 15 7 11 12 18 13 0 16 10 9 4 5 6 8 2 17 1,0
88,14 8 0 12 17 15 13 3 4 11 6 16 7 19 1 9 2 5 10 18,0
89,5 14 10 7 0 8 11 12 19 15 4 9 17 18 1 13 2 6 16 3,0
90,11 6 17 18 7 3 14 2 5 4 1 0 10 8 16 9 12 13 19 15,0
91,14 0 15 5 10 12 4 19 11 6 1 17 8 7 3 13 18 9 2 16,0
92,2 15 3 17 9 10 19 8 5 16 13 6 14 4 18 11 7 12 0 1,0
93,6 16 14 0 17 19 3 11 13 15 9 7 18 12 2 4 5 10 8 1,0
94,15 4 7 11 5 19 14 8 1 0 13 3 6 12 9 17 18 2 16 10,0
95,11 3 7 1 10 12 9 17 0 19 13 6 15 16 2 5 18 4 14 8,0
96,16 6 17 7 5 8 1 14 11 0 2 12 13 9 19 3 4 18 10 15,0
97,2 3 11 13 14 1 15 18 19 12 17 0 16 4 6 7 5 8 9 10,0
98,7 6 18 5 8 9 1 19 12 11 14 17 15 4 0 16 10 13 3 2,0
99,13 6 1 8 2 17 15 14 3 5 19 9 18 16 7 12 0 10 4 11,0
100,16 15 6 14 19 2 1 11 9 5 18 4 13 8 3 17 7 0 12 10,0
101,15 16 12 6 19 2 13 9 0 8 3 14 11 17 5 7 1 4 10 18,0
102,10 9 5 2 19 8 14 4 15 1 18 16 6 12 11 3 17 7 0 13,0
103,15 18 8 4 5 11 3 6 16 12 14 7 10 2 17 9 0 19 1 13,0
104,18 6 11 7 13 1 9 8 3 14 19 0 17 16 12 10 4 5 2 15,0
105,19 2 3 9 0 1 7 15 14 5 4 6 16 11 17 18 10 13 8 12,0
106,8 0 15 14 9 10 3 16 6 11 2 18 4 12 5 17 19 13 7 1,0
107,4 17 14 5 7 2 16 19 10 12 13 8 11 3 6 18 15 0 9 1,0
108,17 3 11 10 5 15 18 8 1 19 14 6 13 2 7 12 9 16 0 4,0
109,5 17 16 0 14 12 7 3 18 13 11 9 6 2 15 19 10 1 4 8,0
110,7 2 10 8 13 18 5 14 16 17 1 6 4 12 15 9 11 19 3 0,0
111,19 10 11 16 14 8 4 17 0 6 18 1 3 9 5 7 2 12 15 13,0
112,8 12 9 2 7 15 19 3 17 1 11 18 5 16 6 10 14 4 0 13,0
113,1 10 0 15 2 11 5 4 18 14 16 3 8 12 13 17 19 9 6 7,0
114,2 3 7 17 16 11 5 15 13 14 19 4 0 12 10 1 6 18 8 9,0
115,7 14 12 0 2 13 17 19 9 6 18 10 11 5 3 1 15 8 16 4,0
116,13 8 11 5 0 18 14 9 19 15 12 10 7 17 1 16 2 6 4 3,0
117,6 2 12 14 15 17 4 10 16 18 11 3 8 0 19 1 7 13 9 5,0
118,7 11 0 18 17 2 5 1 10 16 13 15 14 8 6 19 9 4 12 3,0
119,15 16 1 10 18 2 19 5 13 7 14 3 17 6 4 9 0 8 12 11,0
120,10 8 6 0 2 15 1 18 11 17 19 5 4 14 13 3 7 16 9 12,0
121,19 18 1 15 12 4 3 10 16 11 14 6 7 2 17 0 13 9 8 5,0
122,8 11 1 19 9 12 4 17 18 16 14 3 5 2 6 13 10 0 15 7,0
123,18 9 5 11 13 15 3 6 14 16 0 10 7 12 19 4 8 2 17 1,0
124,18 19 13 14 8 11 17 1 16 4 7 6 15 0 10 3 5 12 9 2,0
125,5 12 10 11 14 2 3 8 0 15 4 6 13 18 1 16 9 7 19 17,0
126,2 0 11 8 10 19 18 16 14 13 17 12 15 9 7 5 1 3 6 4,0
127,9 18 19 14 1 4 13 16 2 3 7 6 10 8 15 5 0 12 17 11,0
128,18 15 0 17 9 7 5 19 13 10 16 14 6 11 12 4 8 3 1 2,0
129,19 14 15 8 5 17 18 3 13 1 2 0 6 11 12 9 4 7 16 10,0
130,13 7 19 5 16 17 10 11 15 18 12 3 6 1 9 2 0 4 8 14,0
131,19 3 14 6 0 16 5 11 7 15 13 10 17 18 4 9 1 12 8 2,0
132,3 9 0 18 15 2 10 14 1 17 16 5 4 7 11 13 6 19 12 8,0
133,6 12 1 2 19 11 18 14 7 16 3 8 13 10 17 0 9 4 15 5,0
134,10 2 9 4 3 18 7 6 1 16 5 8 19 15 0 13 17 14 12 11,0
135,13 10 8 6 5 17 12 18 0 11 14 2 19 3 16 1 7 4 15 9,0
136,14 0 12 1 15 7 11 10 18 16 9 5 13 2 17 3 6 8 19 4,0
137,8 2 17 15 11 18 13 3 6 16 1 14 9 7 19 12 10 0 5 4,0
138,16 9 0 12 1 17 2 4 10 6 14 7 8 18 3 13 19 11 15 5,0
139,13 9 1 8 14 19 15 10 12 16 6 7 17 11 4 18 3 2 0 5,0
140,13 9 4 2 14 19 8 12 5 11 1 16 10 7 0 6 15 3 17 18,0
141,13 9 12 5 11 19 15 8 1 16 0 17 14 6 10 7 18 4 2 3,0
142,10 2 18 16 1 8 19 15 12 4 3 13 9 6 5 17 14 7 0 11,0
143,8 0 7 12 18 4 13 10 5 11 6 15 14 3 16 9 17 19 2 1,0
144,9 19 16 0 10 7 17 3 14 8 4 1 5 18 15 13 11 12 2 6,0
145,15 13 3 0 16 7 5 8 12 6 11 1 19 4 2 14 10 9 17 18,0
146,13 4 7 14 9 0 16 11 17 18 2 10 6 1 5 19 3 15 12 8,0
147,5 16 3 0 10 2 8 6 15 19 7 18 4 9 11 17 1 13 12 14,0
148,3 7 17 8 9 6 19 15 11 0 16 2 5 10 1 12 18 4 13 14,0
149,5 9 13 6 12 11 8 16 3 0 4 17 15 19 1 14 7 10 2 18,0
150,8 2 15 17 14 9 7 18 5 3 12 6 10 19 1 16 4 13 0 11,0
151,12 18 10 19 3 16 0 8 7 11 9 14 4 17 13 6 5 1 2 15,0
152,18 6 10 15 17 16 5 13 4 12 14 8 19 2 9 11 1 0 7 3,0
153,10 12 19 7 3 16 1 2 5 11 15 6 9 14 17 0 8 4 13 18,0
154,4 6 0 5 10 13 16 3 1 12 9 7 18 14 2 8 15 19 17 11,0
155,15 2 9 12 5 11 17 16 19 8 18 1 3 0 7 14 13 10 6 4,0
156,2 12 0 17 9 4 8 18 5 13 7 14 11 19 6 16 15 3 10 1,0
157,16 5 7 9 19 18 17 13 14 1 6 12 8 3 0 11 15 4 10 2,0
158,14 8 9 16 15 11 13 5 18 10 0 3 7 19 12 2 1 4 6 17,0
159,18 7 16 17 11 1 9 15 13 5 2 19 0 8 3 14 4 6 12 10,0
