target,dockstring_version,source_wheel_url,source_wheel_sha256,source_license,source_member,source_pdbqt_sha256,sequence_length,sequence_sha256,modified_residue_count,modified_residue_names,unknown_backbone_residue_count,unknown_backbone_residue_names,excluded_nonprotein_atom_residue_count,excluded_nonprotein_atom_residue_names
KIT,0.3.4,https://files.pythonhosted.org/packages/26/7b/4eab9b2d80f920b0fbaaf0c7cc42e948df6fc716b18cb5399bd3d5c768e7/dockstring-0.3.4-py3-none-any.whl,e0e61d4f6f5ff22b3cc2905ea01af5752fe0a14f93b4a148d81ffa1fac661cc5,Apache-2.0,dockstring/resources/targets/KIT_target.pdbqt,e630debb3871f13d56a0e552bf27944365ed3928a7c83ae39ae8acdbee88f18d,271,bea841ee42e0eda97112d1c1da02273bea0e9056bdfc419a12e23e591011c76d,2,CYT;GLV,0,,0,
LCK,0.3.4,https://files.pythonhosted.org/packages/26/7b/4eab9b2d80f920b0fbaaf0c7cc42e948df6fc716b18cb5399bd3d5c768e7/dockstring-0.3.4-py3-none-any.whl,e0e61d4f6f5ff22b3cc2905ea01af5752fe0a14f93b4a148d81ffa1fac661cc5,Apache-2.0,dockstring/resources/targets/LCK_target.pdbqt,365c5594742e5691dff7ea1ea9aa5b0fb3d25c5011fe5b0044865573b97cb4d0,254,7f0332819c6ec07c43831d635ed8efb26e4eb523aa7f39ab92951580c9f98bdd,0,,0,,0,
MAP2K1,0.3.4,https://files.pythonhosted.org/packages/26/7b/4eab9b2d80f920b0fbaaf0c7cc42e948df6fc716b18cb5399bd3d5c768e7/dockstring-0.3.4-py3-none-any.whl,e0e61d4f6f5ff22b3cc2905ea01af5752fe0a14f93b4a148d81ffa1fac661cc5,Apache-2.0,dockstring/resources/targets/MAP2K1_target.pdbqt,ace85697090c6c264c747464679041eb5178b67e3be745cdff3d8e0a45a04382,312,ab074d57e98017241eb5de6c6f65d52a3c5c69fbb7dc7a3680e5949d8f3a4706,8,HID;HIE;HIP,0,,2,ADP;MG1
MAPK1,0.3.4,https://files.pythonhosted.org/packages/26/7b/4eab9b2d80f920b0fbaaf0c7cc42e948df6fc716b18cb5399bd3d5c768e7/dockstring-0.3.4-py3-none-any.whl,e0e61d4f6f5ff22b3cc2905ea01af5752fe0a14f93b4a148d81ffa1fac661cc5,Apache-2.0,dockstring/resources/targets/MAPK1_target.pdbqt,281e0d89e8d4fa170a8606372091b6d352c7a9fb72dd6f07334b1b5d54ff4fff,262,6b83521d2f08e1382d91f09df9b294aab0f6d233df9560f8a622ed0a1697aec9,0,,0,,0,
MAPK14,0.3.4,https://files.pythonhosted.org/packages/26/7b/4eab9b2d80f920b0fbaaf0c7cc42e948df6fc716b18cb5399bd3d5c768e7/dockstring-0.3.4-py3-none-any.whl,e0e61d4f6f5ff22b3cc2905ea01af5752fe0a14f93b4a148d81ffa1fac661cc5,Apache-2.0,dockstring/resources/targets/MAPK14_target.pdbqt,e11275b647ac846e7e63af2e8d8d7482ef9da7f768b8223a2d49c8168ceca66c,266,e177660ad71c9209a125612f91cd58397513ce8953bdbbdf0403561ca4b6d7fd,0,,0,,0,
MAPKAPK2,0.3.4,https://files.pythonhosted.org/packages/26/7b/4eab9b2d80f920b0fbaaf0c7cc42e948df6fc716b18cb5399bd3d5c768e7/dockstring-0.3.4-py3-none-any.whl,e0e61d4f6f5ff22b3cc2905ea01af5752fe0a14f93b4a148d81ffa1fac661cc5,Apache-2.0,dockstring/resources/targets/MAPKAPK2_target.pdbqt,75c4d143cddd6259a6030621df3f8a9d8739cb53e9ad9417534048e81738d0c2,247,2f8cba5d4eea26694c546c6fcefc6c3b80ea753de9d43f73ca8ff714a5f26e86,0,,0,,1,MG4
MET,0.3.4,https://files.pythonhosted.org/packages/26/7b/4eab9b2d80f920b0fbaaf0c7cc42e948df6fc716b18cb5399bd3d5c768e7/dockstring-0.3.4-py3-none-any.whl,e0e61d4f6f5ff22b3cc2905ea01af5752fe0a14f93b4a148d81ffa1fac661cc5,Apache-2.0,dockstring/resources/targets/MET_target.pdbqt,daa7a604ee86ab376cf3bb71e647d90f4537b34cf68adf9118f91a9b2ca8e9f6,267,ea8c4ff4abf8a6afad06633643ff9e66041808a24d6ff8eb6b07426603f8fbd8,0,,0,,0,
PLK1,0.3.4,https://files.pythonhosted.org/packages/26/7b/4eab9b2d80f920b0fbaaf0c7cc42e948df6fc716b18cb5399bd3d5c768e7/dockstring-0.3.4-py3-none-any.whl,e0e61d4f6f5ff22b3cc2905ea01af5752fe0a14f93b4a148d81ffa1fac661cc5,Apache-2.0,dockstring/resources/targets/PLK1_target.pdbqt,ae55f32fb7a7f1e7a2911d6611882de030176fd2d4787bfb776c786ed74f73f3,241,726e502aec65684ed842761671c743a25fff484d91aaae6ba77806f70e00daa3,10,CYM;HID;HIE;HIP;HIZ,0,,1,ZN
PTK2,0.3.4,https://files.pythonhosted.org/packages/26/7b/4eab9b2d80f920b0fbaaf0c7cc42e948df6fc716b18cb5399bd3d5c768e7/dockstring-0.3.4-py3-none-any.whl,e0e61d4f6f5ff22b3cc2905ea01af5752fe0a14f93b4a148d81ffa1fac661cc5,Apache-2.0,dockstring/resources/targets/PTK2_target.pdbqt,c0c4f06fe53fb0f6f1b3ee2dfd4c67e1b35fa27b25eb28c4d18c0238df9d2d9c,238,3295367d3c7c3b9adbb71ec8b2de1d7ce2d8769b90c5264d2ee11c626eae85c2,0,,0,,0,
ROCK1,0.3.4,https://files.pythonhosted.org/packages/26/7b/4eab9b2d80f920b0fbaaf0c7cc42e948df6fc716b18cb5399bd3d5c768e7/dockstring-0.3.4-py3-none-any.whl,e0e61d4f6f5ff22b3cc2905ea01af5752fe0a14f93b4a148d81ffa1fac661cc5,Apache-2.0,dockstring/resources/targets/ROCK1_target.pdbqt,e6e8b75ec312e47b481cac962c10723235085a611b5a7f15f5aa2fdacd975c62,324,f76a35f04c0ab479d11e983a88f09de1145932cea4c2d7f78f69319752ee6193,0,,0,,0,
SRC,0.3.4,https://files.pythonhosted.org/packages/26/7b/4eab9b2d80f920b0fbaaf0c7cc42e948df6fc716b18cb5399bd3d5c768e7/dockstring-0.3.4-py3-none-any.whl,e0e61d4f6f5ff22b3cc2905ea01af5752fe0a14f93b4a148d81ffa1fac661cc5,Apache-2.0,dockstring/resources/targets/SRC_target.pdbqt,5fc235fc051e6da3d6fdfe8cbb95988438c486e44abca43deb517490f47bdb75,233,98addc3bd119e81e49ba52a75b283440087397449147d15b3a8860a1c18ea46a,3,HIE;MEU,0,,0,
