drug_name,standard_inchikey,pubchem_cid,match_method
GSK-690693,KGPGFQWBCSZGEL-UHFFFAOYSA-N,16725726,exact_inchi_connectivity_block
Crizotinib,KTEIFNKAUNYNJU-UHFFFAOYSA-N,11626560,exact_inchi_connectivity_block
Imatinib,KTUFNOKKBVMGRW-UHFFFAOYSA-N,5291,exact_standard_inchikey
GDC-0941,LHNIIDJUOCFXAP-UHFFFAOYSA-N,17755052,exact_standard_inchikey
PP-242,MFAQYJIYDMLAIM-UHFFFAOYSA-N,135565635,exact_standard_inchikey
Sorafenib,MLDQJTXFUGDVEO-UHFFFAOYSA-N,216239,exact_standard_inchikey
ABT-869,MPVGZUGXCQEXTM-UHFFFAOYSA-N,11485656,exact_standard_inchikey
BIRB-796,MVCOAUNKQVWQHZ-UHFFFAOYSA-N,156422,exact_standard_inchikey
GW-2580,MYQAUKPBNJWPIE-UHFFFAOYSA-N,11617559,exact_standard_inchikey
R406,NHHQJBCNYHBUSI-UHFFFAOYSA-N,11984591,explicit_upstream_name_salt_or_variant_override
AST-487,ODPGGGTTYSGTGO-UHFFFAOYSA-N,11409972,exact_standard_inchikey
CI-1033,OMZCMEYTWSXEPZ-UHFFFAOYSA-N,156414,exact_standard_inchikey
BMS-387032,OUSFTKFNBAZUKL-UHFFFAOYSA-N,3025986,exact_standard_inchikey
AT-7519,OVPNQJVDAFNBDN-UHFFFAOYSA-N,11338033,exact_standard_inchikey
PHA-665752,OYONTEXKYJZFHA-UHFFFAOYSA-N,10461815,exact_inchi_connectivity_block
CHIR-258,PIQCTGMSNWUMAF-UHFFFAOYSA-N,135398510,exact_standard_inchikey
BMS-345541,PSPFQEBFYXJZEV-UHFFFAOYSA-N,9813758,exact_standard_inchikey
TAE-684,QQWUGDVOUVUTOY-UHFFFAOYSA-N,16038120,exact_standard_inchikey
AZD-1152HQPA,QYZOGCMHVIGURT-UHFFFAOYSA-N,16007391,exact_standard_inchikey
AMG-706,RAHBGWKEPAQNFF-UHFFFAOYSA-N,16097729,explicit_upstream_name_salt_or_variant_override
AG-013736,RITAVMQDGBJQJZ-UHFFFAOYSA-N,6450551,exact_inchi_connectivity_block
Ki-20227,SHPFDGWALWEPGS-UHFFFAOYSA-N,9869779,exact_standard_inchikey
PI-103,TUVCWJQQGGETHL-UHFFFAOYSA-N,9884685,exact_standard_inchikey
SKI-606,UBPYILGKFZZVDX-UHFFFAOYSA-N,5328940,exact_standard_inchikey
Vandetanib,UHTHHESEBZOYNR-UHFFFAOYSA-N,3081361,exact_standard_inchikey
CEP-701,UIARLYUEJFELEN-UHFFFAOYSA-N,126565,exact_inchi_connectivity_block
TG-100-115,UJIAQDJKSXQLIT-UHFFFAOYSA-N,10427712,exact_standard_inchikey
CP-690550,UJLAWZDWDVHWOW-UHFFFAOYSA-N,9926791,exact_inchi_connectivity_block
BIBW-2992,ULXXDDBFHOBEHA-UHFFFAOYSA-N,10184653,exact_inchi_connectivity_block
MLN-518,UXXQOJXBIDBUAC-UHFFFAOYSA-N,3038522,exact_standard_inchikey
PD-173955,VAARYSWULJUGST-UHFFFAOYSA-N,447077,exact_standard_inchikey
VX-745,VEPKQEUBKLEPRA-UHFFFAOYSA-N,3038525,exact_standard_inchikey
BMS-540215,WCWUXEGQKLTGDX-UHFFFAOYSA-N,11234052,exact_inchi_connectivity_block
Sunitinib,WINHZLLDWRZWRT-UHFFFAOYSA-N,5329102,exact_inchi_connectivity_block
AB-1010,WJEOLQLKVOPQFV-UHFFFAOYSA-N,10074640,exact_standard_inchikey
Gefitinib,XGALLCVXEZPNRQ-UHFFFAOYSA-N,123631,exact_standard_inchikey
BI-2536,XQVVPGYIWAGRNI-UHFFFAOYSA-N,11364421,exact_inchi_connectivity_block
AZD-2171,XXJWYDDUDKYVKI-UHFFFAOYSA-N,9933475,exact_standard_inchikey
CHIR-265,YABJJWZLRMPFSI-UHFFFAOYSA-N,11656518,exact_standard_inchikey
PTK-787,YCOYDOIWSSHVCK-UHFFFAOYSA-N,151193,explicit_upstream_name_salt_or_variant_override
KW-2449,YYLKKYCXAOBSRM-UHFFFAOYSA-N,11427553,exact_inchi_connectivity_block
PLX-4720,YZDJQTHVDDOVHR-UHFFFAOYSA-N,24180719,exact_standard_inchikey
Dasatinib,ZBNZXTGUTAYRHI-UHFFFAOYSA-N,3062316,exact_standard_inchikey
LY-333531,ZCBUQCWBWNUWSU-UHFFFAOYSA-N,153999,exact_inchi_connectivity_block
GSK-461364A,ZHJGWYRLJUCMRT-UHFFFAOYSA-N,15983966,exact_inchi_connectivity_block
MLN-120B,ZNOLRTPMNMPLHY-UHFFFAOYSA-N,9929127,exact_standard_inchikey
