target,dockstring_version,source_wheel_url,source_wheel_sha256,source_license,source_member,source_pdbqt_sha256,sequence_length,sequence_sha256,modified_residue_count,modified_residue_names,unknown_backbone_residue_count,unknown_backbone_residue_names,excluded_nonprotein_atom_residue_count,excluded_nonprotein_atom_residue_names
PTK2,0.3.4,https://files.pythonhosted.org/packages/26/7b/4eab9b2d80f920b0fbaaf0c7cc42e948df6fc716b18cb5399bd3d5c768e7/dockstring-0.3.4-py3-none-any.whl,e0e61d4f6f5ff22b3cc2905ea01af5752fe0a14f93b4a148d81ffa1fac661cc5,Apache-2.0,dockstring/resources/targets/PTK2_target.pdbqt,c0c4f06fe53fb0f6f1b3ee2dfd4c67e1b35fa27b25eb28c4d18c0238df9d2d9c,238,3295367d3c7c3b9adbb71ec8b2de1d7ce2d8769b90c5264d2ee11c626eae85c2,0,,0,,0,
FGFR1,0.3.4,https://files.pythonhosted.org/packages/26/7b/4eab9b2d80f920b0fbaaf0c7cc42e948df6fc716b18cb5399bd3d5c768e7/dockstring-0.3.4-py3-none-any.whl,e0e61d4f6f5ff22b3cc2905ea01af5752fe0a14f93b4a148d81ffa1fac661cc5,Apache-2.0,dockstring/resources/targets/FGFR1_target.pdbqt,7eb86a9d88565aedf2616255056294fed96144078e95812ae0a415ee0a2bcff4,250,bf10bb13b83310bb96d62597c27952a9c2cb13afc82ec012497c062155d08c58,0,,0,,0,
HMGCR,0.3.4,https://files.pythonhosted.org/packages/26/7b/4eab9b2d80f920b0fbaaf0c7cc42e948df6fc716b18cb5399bd3d5c768e7/dockstring-0.3.4-py3-none-any.whl,e0e61d4f6f5ff22b3cc2905ea01af5752fe0a14f93b4a148d81ffa1fac661cc5,Apache-2.0,dockstring/resources/targets/HMGCR_target.pdbqt,bed983a6ac156d34e99a6627d3318d8cd485d83c00544abf11223b24928e9d9e,580,0e221381ba517efd7a618decc619e8836e2c299fc317c763694c5b2c087d3005,0,,0,,0,
HSP90AA1,0.3.4,https://files.pythonhosted.org/packages/26/7b/4eab9b2d80f920b0fbaaf0c7cc42e948df6fc716b18cb5399bd3d5c768e7/dockstring-0.3.4-py3-none-any.whl,e0e61d4f6f5ff22b3cc2905ea01af5752fe0a14f93b4a148d81ffa1fac661cc5,Apache-2.0,dockstring/resources/targets/HSP90AA1_target.pdbqt,90074696234711957f8d8f5446efa4371b53123326ff4ad718cf9c936ad6a0bf,208,5a9565370fe3e23bd89ca84a922995c23c422059a114463dc907188e08864e14,0,,0,,0,
KIT,0.3.4,https://files.pythonhosted.org/packages/26/7b/4eab9b2d80f920b0fbaaf0c7cc42e948df6fc716b18cb5399bd3d5c768e7/dockstring-0.3.4-py3-none-any.whl,e0e61d4f6f5ff22b3cc2905ea01af5752fe0a14f93b4a148d81ffa1fac661cc5,Apache-2.0,dockstring/resources/targets/KIT_target.pdbqt,e630debb3871f13d56a0e552bf27944365ed3928a7c83ae39ae8acdbee88f18d,271,bea841ee42e0eda97112d1c1da02273bea0e9056bdfc419a12e23e591011c76d,2,CYT;GLV,0,,0,
MAPKAPK2,0.3.4,https://files.pythonhosted.org/packages/26/7b/4eab9b2d80f920b0fbaaf0c7cc42e948df6fc716b18cb5399bd3d5c768e7/dockstring-0.3.4-py3-none-any.whl,e0e61d4f6f5ff22b3cc2905ea01af5752fe0a14f93b4a148d81ffa1fac661cc5,Apache-2.0,dockstring/resources/targets/MAPKAPK2_target.pdbqt,75c4d143cddd6259a6030621df3f8a9d8739cb53e9ad9417534048e81738d0c2,247,2f8cba5d4eea26694c546c6fcefc6c3b80ea753de9d43f73ca8ff714a5f26e86,0,,0,,1,MG4
MAP2K1,0.3.4,https://files.pythonhosted.org/packages/26/7b/4eab9b2d80f920b0fbaaf0c7cc42e948df6fc716b18cb5399bd3d5c768e7/dockstring-0.3.4-py3-none-any.whl,e0e61d4f6f5ff22b3cc2905ea01af5752fe0a14f93b4a148d81ffa1fac661cc5,Apache-2.0,dockstring/resources/targets/MAP2K1_target.pdbqt,ace85697090c6c264c747464679041eb5178b67e3be745cdff3d8e0a45a04382,312,ab074d57e98017241eb5de6c6f65d52a3c5c69fbb7dc7a3680e5949d8f3a4706,8,HID;HIE;HIP,0,,2,ADP;MG1
NOS1,0.3.4,https://files.pythonhosted.org/packages/26/7b/4eab9b2d80f920b0fbaaf0c7cc42e948df6fc716b18cb5399bd3d5c768e7/dockstring-0.3.4-py3-none-any.whl,e0e61d4f6f5ff22b3cc2905ea01af5752fe0a14f93b4a148d81ffa1fac661cc5,Apache-2.0,dockstring/resources/targets/NOS1_target.pdbqt,542eef99336e95287f47c9006cf03076f9b2fc08245429af22c1ad751da1a741,355,f939b6970b2ea78d8c91028158b53e75e87e8c2680c6af51662a4ddba7eacccc,15,CYM;HID;HIE,0,,2,HEM;ZN
PARP1,0.3.4,https://files.pythonhosted.org/packages/26/7b/4eab9b2d80f920b0fbaaf0c7cc42e948df6fc716b18cb5399bd3d5c768e7/dockstring-0.3.4-py3-none-any.whl,e0e61d4f6f5ff22b3cc2905ea01af5752fe0a14f93b4a148d81ffa1fac661cc5,Apache-2.0,dockstring/resources/targets/PARP1_target.pdbqt,f5d0fb2d09b3bf934a99cdaadf64c1d442c978a71674beea6cc3deebe676588b,348,3e3565d6a49315a1204659497e4e32b71a1a49a3de9b61f86aa92d8af283cc39,10,GLZ;HID;HIE,0,,1,WAT
PDE5A,0.3.4,https://files.pythonhosted.org/packages/26/7b/4eab9b2d80f920b0fbaaf0c7cc42e948df6fc716b18cb5399bd3d5c768e7/dockstring-0.3.4-py3-none-any.whl,e0e61d4f6f5ff22b3cc2905ea01af5752fe0a14f93b4a148d81ffa1fac661cc5,Apache-2.0,dockstring/resources/targets/PDE5A_target.pdbqt,59dd538273277b5b2b356987c41e2c84fb9ce70fe53b3c2a4e252bb28a948333,313,bdd8c81f85a6bdc5bda65e111cf0423c006f9de37c4a70ec2de050f348e156a6,14,DIC;DID;GLO;HID;HIE;HIP;HIZ,0,,14,MG;WAM;WAT;ZN
PGR,0.3.4,https://files.pythonhosted.org/packages/26/7b/4eab9b2d80f920b0fbaaf0c7cc42e948df6fc716b18cb5399bd3d5c768e7/dockstring-0.3.4-py3-none-any.whl,e0e61d4f6f5ff22b3cc2905ea01af5752fe0a14f93b4a148d81ffa1fac661cc5,Apache-2.0,dockstring/resources/targets/PGR_target.pdbqt,95e541c0553e45932b86a5c9428de27adc6624424a431665e05461d478d30885,280,ee8045dc661d9e5460820d3153122d013b0525f1e04695573c4eb7917147a6bd,0,,0,,0,
PTPN1,0.3.4,https://files.pythonhosted.org/packages/26/7b/4eab9b2d80f920b0fbaaf0c7cc42e948df6fc716b18cb5399bd3d5c768e7/dockstring-0.3.4-py3-none-any.whl,e0e61d4f6f5ff22b3cc2905ea01af5752fe0a14f93b4a148d81ffa1fac661cc5,Apache-2.0,dockstring/resources/targets/PTPN1_target.pdbqt,3271e32d5c2fdd6df8b930a4ffae78e6320fb617af2694eeaeb2ea66eb6de0b3,253,1afa2af50f5aa1f46e115988750af7953df34262024ff1a97675cca7bf92e352,0,,0,,0,
ROCK1,0.3.4,https://files.pythonhosted.org/packages/26/7b/4eab9b2d80f920b0fbaaf0c7cc42e948df6fc716b18cb5399bd3d5c768e7/dockstring-0.3.4-py3-none-any.whl,e0e61d4f6f5ff22b3cc2905ea01af5752fe0a14f93b4a148d81ffa1fac661cc5,Apache-2.0,dockstring/resources/targets/ROCK1_target.pdbqt,e6e8b75ec312e47b481cac962c10723235085a611b5a7f15f5aa2fdacd975c62,324,f76a35f04c0ab479d11e983a88f09de1145932cea4c2d7f78f69319752ee6193,0,,0,,0,
AKT1,0.3.4,https://files.pythonhosted.org/packages/26/7b/4eab9b2d80f920b0fbaaf0c7cc42e948df6fc716b18cb5399bd3d5c768e7/dockstring-0.3.4-py3-none-any.whl,e0e61d4f6f5ff22b3cc2905ea01af5752fe0a14f93b4a148d81ffa1fac661cc5,Apache-2.0,dockstring/resources/targets/AKT1_target.pdbqt,8ed6762318dc8c64f96808a2a0a8eda412ea911db1dc4c9e367be8450bdd84a2,292,29731e638160725762a109ddb228af348580b852e7f97748c44882f18db11a3a,10,HID;HIE;HIP;TPO,0,,0,
AR,0.3.4,https://files.pythonhosted.org/packages/26/7b/4eab9b2d80f920b0fbaaf0c7cc42e948df6fc716b18cb5399bd3d5c768e7/dockstring-0.3.4-py3-none-any.whl,e0e61d4f6f5ff22b3cc2905ea01af5752fe0a14f93b4a148d81ffa1fac661cc5,Apache-2.0,dockstring/resources/targets/AR_target.pdbqt,bec8384e9af82860a8e757f4d3e928fcd075754fa36c3f4cb5ba8b9dcc1670f8,229,4aef011b6326e3c7485b1fa5970eb4c9ab7db9a6acb9999938ce8746bfd76b26,0,,0,,0,
CDK2,0.3.4,https://files.pythonhosted.org/packages/26/7b/4eab9b2d80f920b0fbaaf0c7cc42e948df6fc716b18cb5399bd3d5c768e7/dockstring-0.3.4-py3-none-any.whl,e0e61d4f6f5ff22b3cc2905ea01af5752fe0a14f93b4a148d81ffa1fac661cc5,Apache-2.0,dockstring/resources/targets/CDK2_target.pdbqt,903526461510e29a4bfc6ee15d53eac3ca8a12710c70aed5c7f70fbf982b236e,278,68112c82a23d51bac61ee600e576bdeb57a79ce144e9316c9813050aaff658eb,10,HID;HIE;HIP;LEV,0,,0,
CSF1R,0.3.4,https://files.pythonhosted.org/packages/26/7b/4eab9b2d80f920b0fbaaf0c7cc42e948df6fc716b18cb5399bd3d5c768e7/dockstring-0.3.4-py3-none-any.whl,e0e61d4f6f5ff22b3cc2905ea01af5752fe0a14f93b4a148d81ffa1fac661cc5,Apache-2.0,dockstring/resources/targets/CSF1R_target.pdbqt,1ca29060b270de19a737711f557ef47fe817e62b459122bc9610dde5df79f74e,263,5767bc517556e724db78bf48bf23d6125b1de67b2826ba4d0c810a7f3cd1df8d,0,,0,,0,
ESR1,0.3.4,https://files.pythonhosted.org/packages/26/7b/4eab9b2d80f920b0fbaaf0c7cc42e948df6fc716b18cb5399bd3d5c768e7/dockstring-0.3.4-py3-none-any.whl,e0e61d4f6f5ff22b3cc2905ea01af5752fe0a14f93b4a148d81ffa1fac661cc5,Apache-2.0,dockstring/resources/targets/ESR1_target.pdbqt,cbdad30595772eaf3847f83f3172a64fcd53d3e47edd94c7fbc0b76d6a59861a,213,6aa4909060b502db1d41f0814cce5732e1ce7e4e21c90fce30740bbbdba37de9,0,,0,,0,
NR3C1,0.3.4,https://files.pythonhosted.org/packages/26/7b/4eab9b2d80f920b0fbaaf0c7cc42e948df6fc716b18cb5399bd3d5c768e7/dockstring-0.3.4-py3-none-any.whl,e0e61d4f6f5ff22b3cc2905ea01af5752fe0a14f93b4a148d81ffa1fac661cc5,Apache-2.0,dockstring/resources/targets/NR3C1_target.pdbqt,ef285d1dcfe0bdce4f745f07b89f164c2f720fefa72135e8005b008b8c2875d0,246,25cb17905a609fafeac42d05f0559c4ea0eb79ea796f7f3d24c0dd22c1406cd9,0,,0,,0,
IGF1R,0.3.4,https://files.pythonhosted.org/packages/26/7b/4eab9b2d80f920b0fbaaf0c7cc42e948df6fc716b18cb5399bd3d5c768e7/dockstring-0.3.4-py3-none-any.whl,e0e61d4f6f5ff22b3cc2905ea01af5752fe0a14f93b4a148d81ffa1fac661cc5,Apache-2.0,dockstring/resources/targets/IGF1R_target.pdbqt,811403cca533df633ddfc71e3cf1514fff1d81998a06203792bb4e398dfd4257,256,80b80c51e8b0bee8d8c48bb0adc1a5fe433805eec9e27ee7d6346bae4a3f02c2,0,,0,,0,
JAK2,0.3.4,https://files.pythonhosted.org/packages/26/7b/4eab9b2d80f920b0fbaaf0c7cc42e948df6fc716b18cb5399bd3d5c768e7/dockstring-0.3.4-py3-none-any.whl,e0e61d4f6f5ff22b3cc2905ea01af5752fe0a14f93b4a148d81ffa1fac661cc5,Apache-2.0,dockstring/resources/targets/JAK2_target.pdbqt,5680c53d20bfce420edd86d35703658eba4c8c041d9102372a8e990cddeb49a7,260,3f4e48b4048954026a586fa574c18e531183b5e4e0d37221cbb9dc76a7e6967e,10,HID;HIE;PTR,0,,0,
LCK,0.3.4,https://files.pythonhosted.org/packages/26/7b/4eab9b2d80f920b0fbaaf0c7cc42e948df6fc716b18cb5399bd3d5c768e7/dockstring-0.3.4-py3-none-any.whl,e0e61d4f6f5ff22b3cc2905ea01af5752fe0a14f93b4a148d81ffa1fac661cc5,Apache-2.0,dockstring/resources/targets/LCK_target.pdbqt,365c5594742e5691dff7ea1ea9aa5b0fb3d25c5011fe5b0044865573b97cb4d0,254,7f0332819c6ec07c43831d635ed8efb26e4eb523aa7f39ab92951580c9f98bdd,0,,0,,0,
MET,0.3.4,https://files.pythonhosted.org/packages/26/7b/4eab9b2d80f920b0fbaaf0c7cc42e948df6fc716b18cb5399bd3d5c768e7/dockstring-0.3.4-py3-none-any.whl,e0e61d4f6f5ff22b3cc2905ea01af5752fe0a14f93b4a148d81ffa1fac661cc5,Apache-2.0,dockstring/resources/targets/MET_target.pdbqt,daa7a604ee86ab376cf3bb71e647d90f4537b34cf68adf9118f91a9b2ca8e9f6,267,ea8c4ff4abf8a6afad06633643ff9e66041808a24d6ff8eb6b07426603f8fbd8,0,,0,,0,
MMP13,0.3.4,https://files.pythonhosted.org/packages/26/7b/4eab9b2d80f920b0fbaaf0c7cc42e948df6fc716b18cb5399bd3d5c768e7/dockstring-0.3.4-py3-none-any.whl,e0e61d4f6f5ff22b3cc2905ea01af5752fe0a14f93b4a148d81ffa1fac661cc5,Apache-2.0,dockstring/resources/targets/MMP13_target.pdbqt,d126728fd457af1a7300508439508ef0f4c915a743828a4f4e4cea4d6fd7547a,193,6d73943d1e1b842848bebc5893e8570fda02da9ac1cc328fbd1cef887d72d019,9,HID;HIE,0,,3,ZN3
PTGS2,0.3.4,https://files.pythonhosted.org/packages/26/7b/4eab9b2d80f920b0fbaaf0c7cc42e948df6fc716b18cb5399bd3d5c768e7/dockstring-0.3.4-py3-none-any.whl,e0e61d4f6f5ff22b3cc2905ea01af5752fe0a14f93b4a148d81ffa1fac661cc5,Apache-2.0,dockstring/resources/targets/PTGS2_target.pdbqt,b95b049130dea2c32f27cbee4d9d971afb9717d2db0de7a70038b0a3e07ed346,542,4941055647c31aa154def279addc623c3fe1f1af850dfabe18d9fcc7153e364f,28,CYX;GLH;HID;HIE,0,,1,HEM
PPARA,0.3.4,https://files.pythonhosted.org/packages/26/7b/4eab9b2d80f920b0fbaaf0c7cc42e948df6fc716b18cb5399bd3d5c768e7/dockstring-0.3.4-py3-none-any.whl,e0e61d4f6f5ff22b3cc2905ea01af5752fe0a14f93b4a148d81ffa1fac661cc5,Apache-2.0,dockstring/resources/targets/PPARA_target.pdbqt,1e82df6d81bc4fb8da5061160e93b2ab31ad6921571b9f3c28ef4c57709c877c,251,9e00825a071295dcebbdc9e7d4db44a0cb78aec71258183fb88dc00300609dcd,0,,0,,0,
PPARG,0.3.4,https://files.pythonhosted.org/packages/26/7b/4eab9b2d80f920b0fbaaf0c7cc42e948df6fc716b18cb5399bd3d5c768e7/dockstring-0.3.4-py3-none-any.whl,e0e61d4f6f5ff22b3cc2905ea01af5752fe0a14f93b4a148d81ffa1fac661cc5,Apache-2.0,dockstring/resources/targets/PPARG_target.pdbqt,8410b14af537af408f93283b3aaff6130d1b387ea72cfb9806547fb24b20bb62,240,a849206d3a660af92323488b3be6b16af1da9aaeb043fabdc896df6993906228,2,HIE;HIP,0,,0,
REN,0.3.4,https://files.pythonhosted.org/packages/26/7b/4eab9b2d80f920b0fbaaf0c7cc42e948df6fc716b18cb5399bd3d5c768e7/dockstring-0.3.4-py3-none-any.whl,e0e61d4f6f5ff22b3cc2905ea01af5752fe0a14f93b4a148d81ffa1fac661cc5,Apache-2.0,dockstring/resources/targets/REN_target.pdbqt,e461bc7d2d6914974f837709f0ee684c64e5125dd1b87f3295aa7f710fe7a672,395,12682d40e8a5eb05431694a7a585a567cea1ea9f7b8c434e3a4554e514fbde99,0,,0,,0,
ADORA2A,0.3.4,https://files.pythonhosted.org/packages/26/7b/4eab9b2d80f920b0fbaaf0c7cc42e948df6fc716b18cb5399bd3d5c768e7/dockstring-0.3.4-py3-none-any.whl,e0e61d4f6f5ff22b3cc2905ea01af5752fe0a14f93b4a148d81ffa1fac661cc5,Apache-2.0,dockstring/resources/targets/ADORA2A_target.pdbqt,e5ec8b58335119bde92035913961430c076d7879dbc09cfef332620bc68bc36e,288,de9f33e9f14b698de188ad8523ece3225324d5b8d5a8db8b575edaafba85078b,13,CYX;HIE;HIP,0,,0,
ACHE,0.3.4,https://files.pythonhosted.org/packages/26/7b/4eab9b2d80f920b0fbaaf0c7cc42e948df6fc716b18cb5399bd3d5c768e7/dockstring-0.3.4-py3-none-any.whl,e0e61d4f6f5ff22b3cc2905ea01af5752fe0a14f93b4a148d81ffa1fac661cc5,Apache-2.0,dockstring/resources/targets/ACHE_target.pdbqt,57a1b1e352f82f11f94030979b85e66435c60c7e374b911dfecc5063f61d575a,432,34433efae4125d5c9f06b34301ee0a49c2f1f442513509f6e8ce3fdf1a1c2e29,0,,0,,0,
BACE1,0.3.4,https://files.pythonhosted.org/packages/26/7b/4eab9b2d80f920b0fbaaf0c7cc42e948df6fc716b18cb5399bd3d5c768e7/dockstring-0.3.4-py3-none-any.whl,e0e61d4f6f5ff22b3cc2905ea01af5752fe0a14f93b4a148d81ffa1fac661cc5,Apache-2.0,dockstring/resources/targets/BACE1_target.pdbqt,aedbafcac197ab7805e7f49478faed6e073736c0bb07dc152dd0804a9bc02bd1,364,76b3515eef77b62e9e07a509408218ca93ff6ec3ce10f00c8d084ba16644db36,0,,0,,0,
CA2,0.3.4,https://files.pythonhosted.org/packages/26/7b/4eab9b2d80f920b0fbaaf0c7cc42e948df6fc716b18cb5399bd3d5c768e7/dockstring-0.3.4-py3-none-any.whl,e0e61d4f6f5ff22b3cc2905ea01af5752fe0a14f93b4a148d81ffa1fac661cc5,Apache-2.0,dockstring/resources/targets/CA2_target.pdbqt,e81df524bfa8d7372fda984e10ce80a88b672367e04d81f63e2dace300730c44,258,b4a59934163d13dd02737a5f6606eb5c71b7b456679890113aa99a87050c10cd,3,HID;HIE,0,,1,ZN5
CYP2C9,0.3.4,https://files.pythonhosted.org/packages/26/7b/4eab9b2d80f920b0fbaaf0c7cc42e948df6fc716b18cb5399bd3d5c768e7/dockstring-0.3.4-py3-none-any.whl,e0e61d4f6f5ff22b3cc2905ea01af5752fe0a14f93b4a148d81ffa1fac661cc5,Apache-2.0,dockstring/resources/targets/CYP2C9_target.pdbqt,a315e1d869d20ebd8d224bfdf5b6383d7c3f60001341fddc71a7a70368367131,369,1d85151a0a3b8ac2c2c0ada28609868df53610a6c4c5daff14bf8183370a8e35,10,CYM;HID;HIE;HIP,0,,23,ACE;HEM;NMA;WAT
CYP3A4,0.3.4,https://files.pythonhosted.org/packages/26/7b/4eab9b2d80f920b0fbaaf0c7cc42e948df6fc716b18cb5399bd3d5c768e7/dockstring-0.3.4-py3-none-any.whl,e0e61d4f6f5ff22b3cc2905ea01af5752fe0a14f93b4a148d81ffa1fac661cc5,Apache-2.0,dockstring/resources/targets/CYP3A4_target.pdbqt,5bcdd1f7432ac4d7c085fe5b2bb760aeea2c39f7e48a57a5cc40b65a5b7e5584,436,5d433d22d86fcf6db28dea8ca838f95f2e13a1c26aad40ba9b3b4b2c1c6a59bb,6,CYM;HID;HIE;HIP,0,,1,HEM
HSD11B1,0.3.4,https://files.pythonhosted.org/packages/26/7b/4eab9b2d80f920b0fbaaf0c7cc42e948df6fc716b18cb5399bd3d5c768e7/dockstring-0.3.4-py3-none-any.whl,e0e61d4f6f5ff22b3cc2905ea01af5752fe0a14f93b4a148d81ffa1fac661cc5,Apache-2.0,dockstring/resources/targets/HSD11B1_target.pdbqt,b46bf006b5d056b1165b4199362992a5b21e8cf82ddc00206ba6661a4ea8a24f,323,e8ef39d2d7522c0179df4e60757f50f87c4685848ed92bfa9f3a2bad390e0c97,9,HID;HIE,0,,1,NAP
DPP4,0.3.4,https://files.pythonhosted.org/packages/26/7b/4eab9b2d80f920b0fbaaf0c7cc42e948df6fc716b18cb5399bd3d5c768e7/dockstring-0.3.4-py3-none-any.whl,e0e61d4f6f5ff22b3cc2905ea01af5752fe0a14f93b4a148d81ffa1fac661cc5,Apache-2.0,dockstring/resources/targets/DPP4_target.pdbqt,d86ef39c4a15d13ac4ce950637b2fd9ca882c6e28847275a227f917a4b502f1a,573,5525b33101482104d8f925ba5c25b9e61f5161c3776dbaa966a2218943c086eb,0,,0,,0,
DRD2,0.3.4,https://files.pythonhosted.org/packages/26/7b/4eab9b2d80f920b0fbaaf0c7cc42e948df6fc716b18cb5399bd3d5c768e7/dockstring-0.3.4-py3-none-any.whl,e0e61d4f6f5ff22b3cc2905ea01af5752fe0a14f93b4a148d81ffa1fac661cc5,Apache-2.0,dockstring/resources/targets/DRD2_target.pdbqt,47b7489c01a0c6b189c4952c7be671b2c54a03263251abb5542445d3bc97576a,422,8d203fd3fb2de7a8e1edd38a4caac6e1da76ec838847502f5a84332842b09369,0,,0,,0,
DRD3,0.3.4,https://files.pythonhosted.org/packages/26/7b/4eab9b2d80f920b0fbaaf0c7cc42e948df6fc716b18cb5399bd3d5c768e7/dockstring-0.3.4-py3-none-any.whl,e0e61d4f6f5ff22b3cc2905ea01af5752fe0a14f93b4a148d81ffa1fac661cc5,Apache-2.0,dockstring/resources/targets/DRD3_target.pdbqt,4ef0f87176c8b00c7c7eb32dfd4d9dda4fa00aba084243d2ebd2368f30177e3f,272,70f1b45325934c292fefaffc3f49246433d938496bd2de69e879d2a756cf29a4,9,CYX;HID;HIE,0,,0,
