panel,standard_inchikey,panel_rows,dockstring_rows,dockstring_source_row_indices,molecular_weight,clogp,tpsa,murcko_scaffold_cluster,butina_cluster
DAVIS,PIQCTGMSNWUMAF-UHFFFAOYSA-N,1,1,305,392.4380000000001,2.5444999999999998,94.03999999999999,O=c1[nH]c2ccccc2cc1-c1nc2ccc(N3CCNCC3)cc2[nH]1,24
DAVIS,PSPFQEBFYXJZEV-UHFFFAOYSA-N,1,1,21172,255.325,1.8699399999999993,68.24,c1ccc2c(c1)ncc1nccn12,23
DAVIS,QQWUGDVOUVUTOY-UHFFFAOYSA-N,1,1,298,614.216,5.024100000000005,102.92999999999999,c1ccc(Nc2ccnc(Nc3ccc(N4CCC(N5CCNCC5)CC4)cc3)n2)cc1,22
DAVIS,QYZOGCMHVIGURT-UHFFFAOYSA-N,1,1,259,507.5700000000003,3.4999000000000016,128.29,O=C(Cc1cc(Nc2ncnc3ccccc23)n[nH]1)Nc1ccccc1,21
DAVIS,RAHBGWKEPAQNFF-UHFFFAOYSA-N,1,1,16962,373.4600000000001,4.044100000000002,78.94,O=C(Nc1ccc2c(c1)NCC2)c1cccnc1NCc1ccncc1,20
DAVIS,RITAVMQDGBJQJZ-UHFFFAOYSA-N,1,1,277,386.48,4.6391000000000036,70.67,C(=Cc1n[nH]c2cc(Sc3ccccc3)ccc12)c1ccccn1,19
DAVIS,SHPFDGWALWEPGS-UHFFFAOYSA-N,1,1,14773,480.54600000000033,5.392100000000004,103.83000000000001,O=C(NCc1nccs1)Nc1ccc(Oc2ccnc3ccccc23)cc1,18
DAVIS,TUVCWJQQGGETHL-UHFFFAOYSA-N,1,1,227,348.3620000000001,2.980200000000002,84.51,c1ccc(-c2nc(N3CCOCC3)c3oc4ncccc4c3n2)cc1,17
DAVIS,UBPYILGKFZZVDX-UHFFFAOYSA-N,1,1,5678,530.4560000000001,5.190380000000005,82.88000000000001,c1ccc(Nc2ccnc3cc(OCCCN4CCNCC4)ccc23)cc1,16
DAVIS,UHTHHESEBZOYNR-UHFFFAOYSA-N,1,1,77,475.3620000000001,5.004200000000004,59.510000000000005,c1ccc(Nc2ncnc3cc(OCC4CCNCC4)ccc23)cc1,15
DAVIS,UJIAQDJKSXQLIT-UHFFFAOYSA-N,1,1,24831,346.3500000000001,2.3294,144.06,c1ccc(-c2nc3cncnc3nc2-c2ccccc2)cc1,14
DAVIS,UJLAWZDWDVHWOW-UHFFFAOYSA-N,1,1,332,312.3770000000001,1.5447799999999998,88.91,c1nc(NC2CCCNC2)c2cc[nH]c2n1,13
DAVIS,UXXQOJXBIDBUAC-UHFFFAOYSA-N,1,1,35,562.7150000000001,5.034500000000005,92.29,O=C(Nc1ccccc1)N1CCN(c2ncnc3cc(OCCCN4CCCCC4)ccc23)CC1,12
DAVIS,VAARYSWULJUGST-UHFFFAOYSA-N,1,1,12606,443.3590000000001,5.767800000000003,59.81,O=c1[nH]c2nc(Nc3ccccc3)ncc2cc1-c1ccccc1,11
DAVIS,VEPKQEUBKLEPRA-UHFFFAOYSA-N,1,1,214,436.2700000000001,5.492700000000002,47.260000000000005,O=c1ncn2nc(Sc3ccccc3)ccc2c1-c1ccccc1,10
DAVIS,WINHZLLDWRZWRT-UHFFFAOYSA-N,1,1,236,398.48200000000014,3.3349400000000022,77.23,O=C1Nc2ccccc2C1=Cc1ccc[nH]1,9
DAVIS,WJEOLQLKVOPQFV-UHFFFAOYSA-N,1,1,17117,498.65600000000023,5.256820000000004,73.39000000000001,O=C(Nc1cccc(Nc2nc(-c3cccnc3)cs2)c1)c1ccc(CN2CCNCC2)cc1,1
DAVIS,XGALLCVXEZPNRQ-UHFFFAOYSA-N,1,1,11,446.91000000000037,4.2756000000000025,68.74000000000001,c1ccc(Nc2ncnc3ccc(OCCCN4CCOCC4)cc23)cc1,0
DAVIS,XQVVPGYIWAGRNI-UHFFFAOYSA-N,1,1,2668,521.6660000000003,3.5568000000000026,102.93,O=C1CN(C2CCCC2)c2nc(Nc3ccc(C(=O)NC4CCNCC4)cc3)ncc2N1,8
DAVIS,XXJWYDDUDKYVKI-UHFFFAOYSA-N,1,1,252,450.5140000000004,5.224220000000004,72.5,c1nc(Oc2ccc3[nH]ccc3c2)c2ccc(OCCCN3CCCC3)cc2n1,7
DAVIS,YABJJWZLRMPFSI-UHFFFAOYSA-N,1,1,16144,518.421,6.931900000000003,80.65,c1ccc(Nc2nc3cc(Oc4ccnc(-c5ncc[nH]5)c4)ccc3[nH]2)cc1,6
DAVIS,YCOYDOIWSSHVCK-UHFFFAOYSA-N,1,1,33,346.8210000000001,5.012600000000003,50.7,c1ccc(Nc2nnc(Cc3ccncc3)c3ccccc23)cc1,5
DAVIS,YZDJQTHVDDOVHR-UHFFFAOYSA-N,1,1,16477,413.833,3.877200000000002,91.92,O=C(c1ccccc1)c1c[nH]c2ncccc12,4
DAVIS,ZBNZXTGUTAYRHI-UHFFFAOYSA-N,1,1,21,488.01700000000034,3.313540000000002,106.50999999999999,O=C(Nc1ccccc1)c1cnc(Nc2cc(N3CCNCC3)ncn2)s1,3
DAVIS,ZCBUQCWBWNUWSU-UHFFFAOYSA-N,1,1,13022,468.55700000000024,3.513700000000002,68.5,O=C1NC(=O)C2=C1c1cn(c3ccccc13)CCCOCCn1cc2c2ccccc21,2
PKIS2,AHJRHEGDXFFMBM-UHFFFAOYSA-N,1,1,13441,447.54300000000035,2.965820000000001,105.03999999999999,O=c1ccc2cnc(Nc3ccc(N4CCNCC4)cn3)nc2n1C1CCCC1,102
PKIS2,AJLPDJZYNSSQJO-UHFFFAOYSA-N,1,1,82477,444.5430000000003,3.4689000000000014,83.71,c1cnn2ncc(-c3ccnc(Nc4ccc(N5CCNCC5)cc4)n3)c2c1,101
PKIS2,ANERBUIPYRATIP-VLIAUNLRSA-N,1,1,84299,464.5740000000004,2.6864,134.07999999999998,O=C(NC1CCCCC1)C1CN(c2cc(-c3ccc4cn[nH]c4c3)ncn2)CCO1,100
PKIS2,AQJWACKPYCXBCF-SFHVURJKSA-N,1,2,25148;30640,493.5710000000002,4.909040000000003,144.65999999999997,c1ccc2c(CCCOc3cnc(-c4ccoc4)c(-c4cc5cn[nH]c5cn4)c3)c[nH]c2c1,99
PKIS2,ASKIKAANLSSJGL-UHFFFAOYSA-N,1,1,83627,325.372,3.2921000000000022,81.07,c1ccc(Oc2ncnc3cc[nH]c23)cc1,8
PKIS2,ASUBFYXRDNJNOB-UHFFFAOYSA-N,1,1,83619,353.4470000000001,3.455000000000002,55.2,O=S1(=O)Nc2ccc(-c3ccccc3)cc2-c2[nH]ncc21,98
PKIS2,AXWDQRXGOKDXJT-UHFFFAOYSA-N,1,1,26854,294.31399999999996,2.6789999999999994,90.89999999999999,O=C(Nc1n[nH]c2nc(-c3ccccc3)ccc12)C1CC1,20
PKIS2,BAVKHKJJAGWXBX-UHFFFAOYSA-N,1,1,80395,513.5930000000004,3.4049000000000014,93.7,O=C1CCN(C2CCCC2)c2nc(Nc3ccc(C(=O)NC4CCNCC4)cc3)ncc2N1,0
PKIS2,BBQOARXEMKNYLC-UHFFFAOYSA-N,1,1,80487,283.3560000000001,3.6399000000000017,57.78,O=C(Nc1n[nH]c2cc(-c3ccsc3)ccc12)C1CC1,22
PKIS2,BSBQPLUISHJULY-UHFFFAOYSA-N,1,1,18262,579.0570000000001,6.533480000000004,120.24000000000002,O=C(Nc1cccc(Nc2ccc3nc(NC(=O)C4CC4)sc3n2)c1)c1ccccc1,97
PKIS2,BURBAFXROHRDAV-UHFFFAOYSA-N,1,1,81046,343.386,4.658000000000003,67.27000000000001,c1ccc(COc2ccc(Nc3ncnc4ccccc34)cc2)cc1,96
PKIS2,BVFBTDPKGZCIBA-UHFFFAOYSA-N,1,1,84713,359.38900000000007,4.404600000000002,81.07000000000001,O=C(Nc1ccccc1)Nc1ccc(Oc2ncnc3cc[nH]c23)cc1,8
PKIS2,CCZQCOZJIRYKNS-UHFFFAOYSA-N,1,1,87578,352.40900000000016,3.524700000000002,58.2,O=C(NCC1CC1)c1ccc(-c2cccc(C(=O)NC3CC3)c2)cc1,16
PKIS2,CNJVEOVFYHCDGZ-UHFFFAOYSA-N,1,1,89130,372.42500000000007,2.9768000000000017,67.23,O=S1(=O)Nc2ccc(NCc3ccccc3)cc2-c2[nH]ncc21,17
PKIS2,COKWOGHRTHBMJL-UHFFFAOYSA-N,1,1,89167,471.5460000000003,4.805200000000003,132.69,O=C(Nc1cccc(Nc2ncc3ncsc3n2)c1)c1ccccc1,19
PKIS2,CXEXTPDLKDYOMC-UHFFFAOYSA-N,1,1,85930,380.4710000000001,3.8447000000000022,58.870000000000005,c1ccc(-c2ncn(C3CCNCC3)c2-c2ccncn2)cc1,18
PKIS2,CYGVOJDKMSFPSA-UHFFFAOYSA-N,1,1,85908,462.8190000000001,5.471800000000002,93.96000000000001,O=C(Nc1ccncc1)Nc1ccc(Oc2ncnc3cc[nH]c23)cc1,1
PKIS2,DANPUZSWWCDWEM-UHFFFAOYSA-N,1,1,210833,467.6130000000003,6.044420000000005,61.440000000000005,O=C(NCC1CC1)c1ccc(-c2cccc(NC(=O)c3cccc(N4CCCCC4)c3)c2)cc1,10
PKIS2,DIJIJDANNOSBAG-LLVKDONJSA-N,1,1,87360,360.44200000000006,4.055300000000003,66.91,O=C1NCCNc2c1sc1ccc3nc(-c4ccncc4)ccc3c21,95
PKIS2,DJNZZLZKAXGMMC-UHFFFAOYSA-N,1,1,17406,543.6190000000003,3.4135000000000018,102.92999999999999,O=C1CCN(C2CCCC2)c2nc(Nc3ccc(C(=O)NC4CCNCC4)cc3)ncc2N1,0
PKIS2,DKXHSOUZPMHNIZ-UHFFFAOYSA-N,1,1,319,213.23999999999998,1.3625999999999998,57.78,O=C1NCCc2[nH]c(-c3ccncc3)cc21,94
PKIS2,DKXUHTCPDJKABE-UHFFFAOYSA-N,1,1,86299,308.3890000000001,3.103200000000001,68.0,c1cnn2ncc(-c3ccnc(NC4CC4)n3)c2c1,93
PKIS2,DTRYLKVJZPTTIX-UHFFFAOYSA-N,1,1,72080,525.6990000000003,6.905620000000007,71.95,c1ccc(CCNc2cc(-c3sc(-c4ccccc4)nc3-c3ccccc3)ccn2)cc1,92
PKIS2,DUACVOORSOOZRH-UHFFFAOYSA-N,1,1,72029,345.362,4.165600000000002,80.55,O=C(Nc1ccccc1)Nc1cccc(Oc2ccc3nccn3n2)c1,7
PKIS2,DWBXNQKRJAOIHK-NRFANRHFSA-N,1,1,71985,547.7040000000003,3.970500000000003,102.92999999999999,O=C1CCN(C2CCCC2)c2nc(Nc3ccc(C(=O)NC4CCNCC4)cc3)ncc2N1,0
PKIS2,FAICIPSJBXCWEZ-UHFFFAOYSA-N,1,1,71429,373.4160000000001,4.713020000000003,81.07000000000001,O=C(Nc1ccccc1)Nc1ccc(Oc2ncnc3cc[nH]c23)cc1,8
PKIS2,FBHNLBFMQWTPTN-WBVHZDCISA-N,1,1,71194,456.55400000000026,3.887400000000002,124.85,O=C(Nc1ccccc1)C1CCCN(c2cc(-c3ccc4cn[nH]c4c3)ncn2)C1,4
PKIS2,FISKNRRMNMXILF-UHFFFAOYSA-N,1,1,72357,413.3590000000001,5.184400000000003,80.55,O=C(Nc1ccccc1)Nc1cccc(Oc2ccc3nccn3n2)c1,91
PKIS2,FLUPOKVTJQLXSE-UHFFFAOYSA-N,1,1,72831,442.5710000000003,4.024300000000003,74.48,c1cnn2ncc(-c3ccnc(Nc4ccc(N5CCNCC5)cc4)n3)c2c1,90
PKIS2,FMTCKHIVPRUMEG-UHFFFAOYSA-N,1,1,72564,385.5360000000001,6.355020000000006,37.81,c1ccc(CNc2cc(-c3scnc3-c3ccccc3)ccn2)cc1,21
PKIS2,FOHZGCHKLPIBBX-UHFFFAOYSA-N,1,1,68874,347.4180000000001,4.160240000000003,68.02,O=C(NCC1CC1)c1ccc(-c2cccc(-c3nnco3)c2)cc1,89
PKIS2,FTHCHPDGJBUELK-UHFFFAOYSA-N,1,1,33474,370.42400000000015,3.0695200000000007,67.42999999999999,O=C(NC1CC1)c1cccc(-c2ccccc2)c1,88
PKIS2,FUWKNYZEQAGYBA-UHFFFAOYSA-N,1,1,68274,255.28500000000005,1.226,118.53,c1cc(-c2ccc3cn[nH]c3c2)ncn1,6
PKIS2,GALNGZPXDPAWDR-QGZVFWFLSA-N,1,1,25139,596.1340000000002,5.497800000000005,129.2,c1ccc(COc2csc(-n3cnc4cc(-c5ccncc5)ccc43)c2)cc1,5
PKIS2,GBRORGYPYNNDGL-UHFFFAOYSA-N,1,1,70086,490.5680000000003,2.067799999999999,113.17,c1ccc(Nc2nccc(-c3cnn4nc(N5CCOCC5)ccc34)n2)cc1,87
PKIS2,GFMMXOIFOQCCGU-UHFFFAOYSA-N,1,1,14315,478.664,5.0378000000000025,50.36,O=C(NOCC1CC1)c1ccccc1Nc1ccccc1,86
PKIS2,GIWGYHXKKYZEQA-UHFFFAOYSA-N,1,1,69920,330.34700000000004,3.773900000000002,68.52,O=C(Nc1ccccc1)c1cccc(Oc2ccc3nccn3n2)c1,7
PKIS2,GVVAOKGDOGVPSI-UHFFFAOYSA-N,1,1,37742,524.5120000000004,4.4124000000000025,119.61999999999999,O=C(Nc1ccc(Oc2ccc3nc(NC(=O)C4CC4)cn3n2)cc1)c1cccn(-c2ccccc2)c1=O,85
PKIS2,GWTAEVKZCDFFEX-UHFFFAOYSA-N,1,1,76715,283.3560000000001,3.6399000000000017,57.78,O=C(Nc1n[nH]c2cc(-c3cccs3)ccc12)C1CC1,22
PKIS2,HABRRQSUPGOZTD-UHFFFAOYSA-N,1,1,78582,283.339,2.0045999999999995,118.53,c1cc(-c2ccc3cn[nH]c3c2)ncn1,6
PKIS2,HCRQPXYLXXLKPT-UHFFFAOYSA-N,1,1,78821,229.24299999999997,1.6883999999999997,82.76,c1ccc2[nH]c(-c3cnon3)nc2c1,84
PKIS2,HEKAIDKUDLCBRU-UHFFFAOYSA-N,1,1,446,399.5190000000001,5.995220000000005,54.88,O=C(Nc1cc(-c2scnc2-c2ccccc2)ccn1)c1ccccc1,21
PKIS2,HESLKTSGTIBHJU-UHFFFAOYSA-N,1,1,20645,491.4950000000001,4.139300000000002,113.08,O=C1CCc2cc(Nc3nccc(NCc4ccccc4)n3)ccc2N1,83
PKIS2,HNQXYQNMPSACKT-UHFFFAOYSA-N,2,1,74906,316.386,1.4668999999999994,100.87,c1ccc(-c2ccnc3[nH]ccc23)cc1,82
PKIS2,HVNQYDHDQBJAAH-UHFFFAOYSA-N,1,1,74033,424.5090000000001,2.6777999999999995,148.07,c1nc(-c2ccc3cn[nH]c3c2)cc(N2CCCCC2)n1,81
PKIS2,HZJDBCYRQSJNLZ-UHFFFAOYSA-N,1,1,16279,194.23700000000002,3.2299000000000007,28.68,c1ccc(-c2ccnc3[nH]ccc23)cc1,80
PKIS2,IAUZTOZLTFSMIE-UHFFFAOYSA-N,1,1,187385,328.32700000000006,3.577300000000001,82.19,O=C1NC(=O)c2c1c(-c1ccccc1)cc1[nH]c3ccccc3c21,79
PKIS2,IBAYIPZJRQHHLX-OAHLLOKOSA-N,1,1,75667,474.9730000000002,6.041300000000004,83.03,c1ccc(COc2csc(-n3cnc4ccc(-c5ccncc5)cc43)c2)cc1,5
PKIS2,IBCXZJCWDGCXQT-UHFFFAOYSA-N,1,1,163,272.311,3.6869000000000023,54.46,c1ccc(-c2n[nH]cc2-c2ccnc3ccccc23)nc1,78
PKIS2,IFPPYSWJNWHOLQ-UHFFFAOYSA-N,1,1,7470,512.4410000000004,5.766500000000005,72.28,O=c1[nH]c2nc(Nc3ccccc3)ncc2cc1-c1ccccc1,77
PKIS2,IHKGTVZWLMITRF-UHFFFAOYSA-N,1,1,26228,294.31399999999996,2.6789999999999994,90.89999999999999,O=C(Nc1n[nH]c2nc(-c3ccccc3)ccc12)C1CC1,20
PKIS2,IJMSMJUUYYSKBT-UHFFFAOYSA-N,1,1,105042,267.288,3.171400000000001,70.92,O=C(Nc1n[nH]c2cc(-c3ccco3)ccc12)C1CC1,76
PKIS2,INZKYFAYQUYDOC-UHFFFAOYSA-N,1,1,104297,499.6000000000003,5.441300000000004,132.69,O=C(Nc1cccc(Nc2ncc3ncsc3n2)c1)c1ccccc1,19
PKIS2,ISXAVIPPPMJTPN-UHFFFAOYSA-N,1,1,1062,339.4200000000001,3.444600000000001,66.06,O=S1(=O)Nc2ccc(-c3ccccc3)cc2-c2n[nH]cc21,75
PKIS2,IYWBGQMZDRCNAW-UHFFFAOYSA-N,1,1,106801,269.312,1.2502999999999997,109.74000000000001,c1cc(-c2ccc3cn[nH]c3c2)ncn1,74
PKIS2,JIJYWPGTRDMEFZ-UHFFFAOYSA-N,1,1,102688,317.35600000000005,2.9279,118.52999999999999,c1ccc(Nc2cc(-c3ccc4cn[nH]c4c3)ncn2)cc1,6
PKIS2,JIQRMBNAYWCUEG-UHFFFAOYSA-N,1,1,102800,487.4020000000002,3.449200000000001,97.38,O=C(CCCN1CCNCC1)Nc1n[nH]c2nc(-c3ccccc3)ccc12,73
PKIS2,JMBATVPHKFZTAF-UHFFFAOYSA-N,1,1,101729,543.6190000000001,3.4135000000000018,102.92999999999999,O=C1CCN(C2CCCC2)c2nc(Nc3ccc(C(=O)NC4CCNCC4)cc3)ncc2N1,0
PKIS2,JOAWBRMGMMCJGS-ZBFHGGJFSA-N,1,1,102002,448.5750000000003,3.238100000000001,138.84,O=C(NC1CCCCC1)C1CCCN(c2cc(-c3ccc4cn[nH]c4c3)ncn2)C1,4
PKIS2,JONFDFIXMPXTRH-UHFFFAOYSA-N,1,1,102130,313.3640000000001,4.138820000000003,63.59,c1ccc(-c2nc(Nc3ccncc3)c3ccccc3n2)nc1,72
PKIS2,JONPLOXVIREWEK-UHFFFAOYSA-N,1,1,102117,344.29200000000003,3.915300000000001,61.96,O=C(c1ccccc1)c1c[nH]c(C(=O)Nc2ccccc2)c1,71
PKIS2,KCAJXIDMCNPGHZ-UHFFFAOYSA-N,1,1,103188,477.30500000000023,4.433640000000004,60.33,O=c1cc(OCc2ccccc2)ccn1-c1ccccc1,70
PKIS2,KCJAPLFLYYZXFD-UHFFFAOYSA-N,1,1,103326,502.4240000000001,5.872600000000002,105.34,O=C(Cc1ccc(Oc2ccc3nc[nH]c3c2)cc1)Nc1ccccc1,69
PKIS2,KFAFRWFUXQYYSW-UHFFFAOYSA-N,1,1,110534,462.8190000000001,5.471800000000002,93.96000000000001,O=C(Nc1ccc(Oc2ncnc3cc[nH]c23)cc1)Nc1cccnc1,1
PKIS2,KFMQOHDPKOQCMU-UHFFFAOYSA-N,1,1,196661,211.228,1.6021,80.48,c1ccc(-c2nc3cncnc3[nH]2)cc1,68
PKIS2,KJUCPVIVNLPLEE-UHFFFAOYSA-N,1,1,110032,667.7390000000004,6.583800000000005,122.22999999999999,O=S(=O)(Nc1cccc(-c2ncsc2-c2ccnc(Nc3ccc(N4CCOCC4)nc3)n2)c1)c1ccccc1,67
PKIS2,KKVSVOHZYJFTQM-UHFFFAOYSA-N,1,1,109904,345.362,4.165600000000001,80.55,O=C(Nc1ccccc1)Nc1ccc(Oc2ccc3nccn3n2)cc1,7
PKIS2,KPILPRJNCZJVNG-UHFFFAOYSA-N,1,1,29599,439.90700000000015,5.009500000000004,98.89,O=C(Nc1ccc(Oc2ncnc3cc[nH]c23)cc1)Nc1cn[nH]c1,1
PKIS2,KTEIFNKAUNYNJU-GFCCVEGCSA-N,1,1,13974,450.34500000000014,5.037700000000004,77.99,c1ccc(COc2cncc(-c3cnn(C4CCNCC4)c3)c2)cc1,66
PKIS2,LIHQCVPFINJLRH-UHFFFAOYSA-N,1,1,107345,366.4440000000001,3.454600000000002,58.870000000000005,c1ccc(-c2ncn(C3CCNCC3)c2-c2ccncn2)cc1,18
PKIS2,LOAIUSJMQXSEBK-UHFFFAOYSA-N,1,1,109376,370.3380000000001,4.257120000000001,68.0,c1ccc(Nc2nccc(-c3cnn4ncccc34)n2)cc1,65
PKIS2,LVHOFIUXRMSCFN-UHFFFAOYSA-N,1,1,108463,435.2070000000001,4.7112000000000025,68.0,c1ccc(Nc2nccc(-c3cnn4ncccc34)n2)cc1,64
PKIS2,MAOSUPNJVJGJEU-UHFFFAOYSA-N,1,1,94067,239.25300000000004,3.277800000000001,41.57,c1ccc(-c2nc[nH]c2-c2ccncc2)cc1,63
