dataset,transformation,target_a,target_b,low_mw_quintile_correlation,high_mw_quintile_correlation,high_minus_low_correlation,sign_flip,top_positive_10pct_in_low_mw,top_positive_10pct_in_high_mw
DOCKSTRING-58,raw,PPARD,ACHE,0.7078528913782678,0.6096424516324797,-0.09821043974578814,False,False,False
DOCKSTRING-58,raw,PPARD,BACE1,0.7936505129028196,0.5113089236228937,-0.2823415892799259,False,False,False
DOCKSTRING-58,raw,PPARD,CA2,0.7268423593392533,0.5502941221246401,-0.1765482372146132,False,False,False
DOCKSTRING-58,raw,PPARD,CYP2C9,0.8310016400309848,0.6489781932814331,-0.18202344674955162,False,False,False
DOCKSTRING-58,raw,PPARD,CYP3A4,0.8561080921831887,0.5642153646351602,-0.29189272754802853,False,False,False
DOCKSTRING-58,raw,PPARD,HSD11B1,0.8177798609914958,0.44768838536842126,-0.37009147562307454,False,False,False
DOCKSTRING-58,raw,PPARD,DPP4,0.8060831922386497,0.6279463077300219,-0.17813688450862775,False,False,False
DOCKSTRING-58,raw,PPARD,DRD2,0.8038792245614038,0.6328345966177731,-0.17104462794363073,False,False,False
DOCKSTRING-58,raw,PPARD,DRD3,0.8100983333317003,0.594283665059942,-0.21581466827175833,False,False,False
DOCKSTRING-58,raw,PPARD,EGFR,0.8222148461376241,0.6437929510664412,-0.1784218950711829,False,False,False
DOCKSTRING-58,raw,PPARD,F10,0.7665131857948588,0.5785534311058325,-0.18795975468902637,False,False,False
DOCKSTRING-58,raw,PPARD,GBA,0.7763560687985909,0.5190718415435454,-0.2572842272550455,False,False,False
DOCKSTRING-58,raw,PPARD,MAPK1,0.746075482004079,0.6844686958883004,-0.06160678611577863,False,False,False
DOCKSTRING-58,raw,PPARD,MAPK14,0.806745148788727,0.5607593959552257,-0.24598575283350133,False,False,False
DOCKSTRING-58,raw,PPARD,PLK1,0.8049993460053282,0.6367492401303192,-0.168250105875009,False,False,False
DOCKSTRING-58,raw,PPARD,SRC,0.7912896750772902,0.5947807887291339,-0.19650888634815633,False,False,False
DOCKSTRING-58,raw,PPARD,THRB,0.8087197129319857,0.2804479258544595,-0.5282717870775262,False,False,False
DOCKSTRING-58,raw,PPARD,F2,0.7978854670051301,0.5537355944116771,-0.244149872593453,False,False,False
DOCKSTRING-58,raw,PPARD,KDR,0.678010772650569,0.4965230977052635,-0.1814876749453055,False,False,False
DOCKSTRING-58,raw,ABL1,ADAM17,0.7326059319633998,0.6544557071699029,-0.07815022479349698,False,False,False
DOCKSTRING-58,raw,ABL1,ADRB1,0.8092057336378546,0.6457275344455647,-0.1634781991922899,False,False,False
DOCKSTRING-58,raw,ABL1,ADRB2,0.8242459011710516,0.5985769961921732,-0.22566890497887837,False,False,False
DOCKSTRING-58,raw,ABL1,AKT2,0.7877796421396015,0.6935101214529363,-0.09426952068666516,False,False,True
DOCKSTRING-58,raw,ABL1,MAOB,0.6792879111818024,0.01654818554499753,-0.6627397256368049,False,False,False
DOCKSTRING-58,raw,ABL1,CASP3,0.7039982814392572,0.5636113426743595,-0.14038693876489772,False,False,False
DOCKSTRING-58,raw,ABL1,DHFR,0.6572720241487712,0.5266533417796289,-0.1306186823691423,False,False,False
DOCKSTRING-58,raw,ABL1,ESR2,0.6020070666372642,0.6379018214479678,0.03589475481070359,False,False,False
DOCKSTRING-58,raw,ABL1,PTK2,0.7379678876518269,0.6769711254606368,-0.0609967621911901,False,False,False
DOCKSTRING-58,raw,ABL1,FGFR1,0.7865515377028527,0.7477937435310648,-0.03875779417178793,False,False,True
DOCKSTRING-58,raw,ABL1,HMGCR,0.6574583860591376,0.5743666391695009,-0.08309174688963672,False,False,False
DOCKSTRING-58,raw,ABL1,HSP90AA1,0.7478270927964571,0.516250752415695,-0.23157634038076214,False,False,False
DOCKSTRING-58,raw,ABL1,KIT,0.8094013450183712,0.686862145216407,-0.12253919980196426,False,False,False
DOCKSTRING-58,raw,ABL1,MAPKAPK2,0.7978756264801672,0.6868142991903852,-0.11106132728978202,False,False,False
DOCKSTRING-58,raw,ABL1,MAP2K1,0.7856792578122883,0.5941479956546343,-0.19153126215765404,False,False,False
DOCKSTRING-58,raw,ABL1,NOS1,0.7038726168832603,0.6090229468569607,-0.09484967002629963,False,False,False
DOCKSTRING-58,raw,ABL1,PARP1,0.7879183872845169,0.4149647177075622,-0.3729536695769547,False,False,False
DOCKSTRING-58,raw,ABL1,PDE5A,0.7946995505272654,0.4493260268109036,-0.34537352371636176,False,False,False
DOCKSTRING-58,raw,ABL1,PGR,0.7428240987385683,0.5975016301299203,-0.14532246860864795,False,False,False
DOCKSTRING-58,raw,ABL1,PTPN1,0.7056672416935325,0.6059056396087861,-0.09976160208474638,False,False,False
DOCKSTRING-58,raw,ABL1,ROCK1,0.771581879339556,0.5870054538531032,-0.1845764254864528,False,False,False
DOCKSTRING-58,raw,ABL1,AKT1,0.7537609915042118,0.5182293144221475,-0.23553167708206435,False,False,False
DOCKSTRING-58,raw,ABL1,AR,0.6756275959552914,0.42413755185019447,-0.25149004410509695,False,False,False
DOCKSTRING-58,raw,ABL1,CDK2,0.7661558248583932,0.6548911642702923,-0.11126466058810092,False,False,False
DOCKSTRING-58,raw,ABL1,CSF1R,0.7619726909333864,0.6460473344920411,-0.11592535644134527,False,False,False
DOCKSTRING-58,raw,ABL1,ESR1,0.6317387657557357,0.6330865074730058,0.0013477417172700346,False,False,False
DOCKSTRING-58,raw,ABL1,NR3C1,0.8390832231948853,0.30314126008607123,-0.535941963108814,False,False,False
DOCKSTRING-58,raw,ABL1,IGF1R,0.7047497115833902,0.5669185328218171,-0.13783117876157303,False,False,False
DOCKSTRING-58,raw,ABL1,JAK2,0.7921334131132843,0.6195290894385067,-0.17260432367477763,False,False,False
DOCKSTRING-58,raw,ABL1,LCK,0.8391149510368413,0.6383806511487827,-0.20073429988805858,False,False,False
DOCKSTRING-58,raw,ABL1,MET,0.8222282319310423,0.6506112401068421,-0.1716169918242002,False,False,False
DOCKSTRING-58,raw,ABL1,MMP13,0.7882752542727519,0.7195518715117623,-0.06872338276098966,False,False,True
DOCKSTRING-58,raw,ABL1,PTGS2,0.6076284749606011,0.5809293314048066,-0.026699143555794502,False,False,False
DOCKSTRING-58,raw,ABL1,PPARA,0.7958007520623886,0.5767446362109855,-0.21905611585140317,False,False,False
DOCKSTRING-58,raw,ABL1,PPARG,0.7764036984034006,0.5991448621142523,-0.1772588362891483,False,False,False
DOCKSTRING-58,raw,ABL1,REN,0.7699371887034572,0.6123017771641113,-0.1576354115393459,False,False,False
DOCKSTRING-58,raw,ABL1,ADORA2A,0.7480032015546612,0.6145572416204564,-0.13344595993420472,False,False,False
DOCKSTRING-58,raw,ABL1,ACHE,0.5982061668510389,0.488268129186868,-0.10993803766417087,False,False,False
DOCKSTRING-58,raw,ABL1,BACE1,0.7854751081927335,0.5865451633079853,-0.19892994488474813,False,False,False
DOCKSTRING-58,raw,ABL1,CA2,0.7677179917821414,0.6252894747445082,-0.14242851703763315,False,False,False
DOCKSTRING-58,raw,ABL1,CYP2C9,0.7851242852777176,0.5461036033475861,-0.23902068193013148,False,False,False
DOCKSTRING-58,raw,ABL1,CYP3A4,0.7417124566795815,0.48649746890126205,-0.25521498777831947,False,False,False
DOCKSTRING-58,raw,ABL1,HSD11B1,0.791201035580168,0.440973206246024,-0.350227829334144,False,False,False
DOCKSTRING-58,raw,ABL1,DPP4,0.7929467579887787,0.6247617038170519,-0.1681850541717268,False,False,False
DOCKSTRING-58,raw,ABL1,DRD2,0.8526200605856953,0.7140104851922535,-0.13860957539344176,False,False,True
DOCKSTRING-58,raw,ABL1,DRD3,0.8316816324026818,0.7120400813107801,-0.11964155109190167,False,False,True
DOCKSTRING-58,raw,ABL1,EGFR,0.818400376880597,0.6739062529449785,-0.14449412393561845,False,False,False
DOCKSTRING-58,raw,ABL1,F10,0.7236962974531446,0.4760541172235708,-0.24764218022957374,False,False,False
DOCKSTRING-58,raw,ABL1,GBA,0.7899694671270695,0.44887421053400256,-0.34109525659306694,False,False,False
DOCKSTRING-58,raw,ABL1,MAPK1,0.7152823446719165,0.647888515732506,-0.06739382893941048,False,False,False
DOCKSTRING-58,raw,ABL1,MAPK14,0.8205687214594369,0.5926850126220808,-0.2278837088373561,False,False,False
DOCKSTRING-58,raw,ABL1,PLK1,0.8052467267719186,0.6041763715329918,-0.2010703552389268,False,False,False
DOCKSTRING-58,raw,ABL1,SRC,0.7961414417945649,0.6319505741105516,-0.16419086768401336,False,False,False
DOCKSTRING-58,raw,ABL1,THRB,0.828852303372744,0.3898795617936139,-0.4389727415791301,False,False,False
DOCKSTRING-58,raw,ABL1,F2,0.7670527661418584,0.5328557357105203,-0.2341970304313381,False,False,False
DOCKSTRING-58,raw,ABL1,KDR,0.76499172303371,0.6632066085910282,-0.10178511444268179,False,False,False
DOCKSTRING-58,raw,ADAM17,ADRB1,0.7589944933489668,0.7378129175915039,-0.021181575757462934,False,False,True
DOCKSTRING-58,raw,ADAM17,ADRB2,0.7957745900706193,0.6959754162951478,-0.09979917377547154,False,False,True
DOCKSTRING-58,raw,ADAM17,AKT2,0.6772336805128,0.688295782719533,0.011062102206732982,False,False,False
DOCKSTRING-58,raw,ADAM17,MAOB,0.6532742695326814,0.03304213501289536,-0.6202321345197861,False,False,False
DOCKSTRING-58,raw,ADAM17,CASP3,0.7000966263377999,0.5494310127807284,-0.15066561355707153,False,False,False
DOCKSTRING-58,raw,ADAM17,DHFR,0.6157700751808576,0.5703068390409354,-0.0454632361399222,False,False,False
DOCKSTRING-58,raw,ADAM17,ESR2,0.5578309376571677,0.6573909583851522,0.09956002072798442,False,False,False
DOCKSTRING-58,raw,ADAM17,PTK2,0.6966168511247753,0.7102893077128012,0.01367245658802585,False,False,True
DOCKSTRING-58,raw,ADAM17,FGFR1,0.7304116192154781,0.6435338720515787,-0.0868777471638994,False,False,False
DOCKSTRING-58,raw,ADAM17,HMGCR,0.6645653231750381,0.5785670890524698,-0.08599823412256835,False,False,False
DOCKSTRING-58,raw,ADAM17,HSP90AA1,0.7289270095186275,0.6265721545091538,-0.10235485500947372,False,False,False
DOCKSTRING-58,raw,ADAM17,KIT,0.7134896905382143,0.713710796404369,0.00022110586615464722,False,False,True
DOCKSTRING-58,raw,ADAM17,MAPKAPK2,0.7379301070974859,0.7475641464468227,0.00963403934933682,False,False,True
DOCKSTRING-58,raw,ADAM17,MAP2K1,0.7795638702927945,0.6519483938792532,-0.12761547641354132,False,False,False
DOCKSTRING-58,raw,ADAM17,NOS1,0.7517336029604584,0.6636020639009492,-0.08813153905950921,False,False,False
DOCKSTRING-58,raw,ADAM17,PARP1,0.7377913796996821,0.5036180699107011,-0.234173309788981,False,False,False
DOCKSTRING-58,raw,ADAM17,PDE5A,0.7665376062078696,0.6066760534856622,-0.15986155272220737,False,False,False
DOCKSTRING-58,raw,ADAM17,PGR,0.667247091133359,0.5264739997755383,-0.14077309135782068,False,False,False
DOCKSTRING-58,raw,ADAM17,PTPN1,0.6840174913095453,0.6837890146125866,-0.00022847669695869044,False,False,False
DOCKSTRING-58,raw,ADAM17,ROCK1,0.7107416835367273,0.6597136267453318,-0.05102805679139544,False,False,False
DOCKSTRING-58,raw,ADAM17,AKT1,0.7361429792574646,0.6366715796215783,-0.09947139963588636,False,False,False
DOCKSTRING-58,raw,ADAM17,AR,0.540660710390771,0.3771727885387931,-0.1634879218519779,False,False,False
DOCKSTRING-58,raw,ADAM17,CDK2,0.7029188796851364,0.7510222087085237,0.04810332902338721,False,False,True
DOCKSTRING-58,raw,ADAM17,CSF1R,0.6725206001522729,0.6719291288505881,-0.0005914713016847983,False,False,False
DOCKSTRING-58,raw,ADAM17,ESR1,0.5753080025068182,0.635250871611464,0.059942869104645746,False,False,False
DOCKSTRING-58,raw,ADAM17,NR3C1,0.7608979534133221,0.28812478550236936,-0.47277316791095275,False,False,False
DOCKSTRING-58,raw,ADAM17,IGF1R,0.711220048382687,0.6451979804022642,-0.06602206798042287,False,False,False
DOCKSTRING-58,raw,ADAM17,JAK2,0.7142928249170817,0.6913603260110905,-0.02293249890599114,False,False,True
DOCKSTRING-58,raw,ADAM17,LCK,0.7281177332178861,0.6184737971852975,-0.1096439360325886,False,False,False
DOCKSTRING-58,raw,ADAM17,MET,0.7627352833184611,0.6743425808050465,-0.08839270251341458,False,False,False
DOCKSTRING-58,raw,ADAM17,MMP13,0.790407983855527,0.762819135696285,-0.027588848159242008,False,False,True
DOCKSTRING-58,raw,ADAM17,PTGS2,0.6177287499167964,0.5455996667726746,-0.07212908314412181,False,False,False
DOCKSTRING-58,raw,ADAM17,PPARA,0.7396213072914566,0.661619482982737,-0.0780018243087196,False,False,False
DOCKSTRING-58,raw,ADAM17,PPARG,0.7665988942450096,0.671490163621595,-0.09510873062341463,False,False,False
DOCKSTRING-58,raw,ADAM17,REN,0.7066821097393293,0.6337558481587556,-0.07292626158057369,False,False,False
DOCKSTRING-58,raw,ADAM17,ADORA2A,0.6711575360647958,0.635941795700865,-0.035215740363930825,False,False,False
DOCKSTRING-58,raw,ADAM17,ACHE,0.5800171921697953,0.5476157484375201,-0.03240144373227516,False,False,False
DOCKSTRING-58,raw,ADAM17,BACE1,0.7494258094673762,0.5978707710594195,-0.1515550384079567,False,False,False
DOCKSTRING-58,raw,ADAM17,CA2,0.7348826556846253,0.6482015700187045,-0.08668108566592081,False,False,False
DOCKSTRING-58,raw,ADAM17,CYP2C9,0.7274046414772762,0.6499532533525882,-0.07745138812468799,False,False,False
DOCKSTRING-58,raw,ADAM17,CYP3A4,0.7197395905596825,0.5117084778431539,-0.20803111271652863,False,False,False
DOCKSTRING-58,raw,ADAM17,HSD11B1,0.7400273690666676,0.5146388483373886,-0.22538852072927895,False,False,False
DOCKSTRING-58,raw,ADAM17,DPP4,0.7625011127401489,0.6650814673344267,-0.09741964540572212,False,False,False
DOCKSTRING-58,raw,ADAM17,DRD2,0.7926858681186194,0.7276265516767105,-0.06505931644190888,False,False,True
DOCKSTRING-58,raw,ADAM17,DRD3,0.7937662588739242,0.7163231679085837,-0.07744309096534041,False,False,True
DOCKSTRING-58,raw,ADAM17,EGFR,0.8113411918490843,0.7401969860840104,-0.07114420576507385,False,False,True
DOCKSTRING-58,raw,ADAM17,F10,0.778606940073893,0.6004554728643119,-0.17815146720958108,False,False,False
DOCKSTRING-58,raw,ADAM17,GBA,0.7662540493640237,0.5107577572426613,-0.2554962921213625,False,False,False
DOCKSTRING-58,raw,ADAM17,MAPK1,0.6703586639027426,0.7156700606182871,0.045311396715544516,False,False,True
DOCKSTRING-58,raw,ADAM17,MAPK14,0.7715417077487966,0.6224741607449938,-0.14906754700380276,False,False,False
DOCKSTRING-58,raw,ADAM17,PLK1,0.7257289522040088,0.6903531071284195,-0.03537584507558933,False,False,False
DOCKSTRING-58,raw,ADAM17,SRC,0.7028745805212947,0.6601170482928472,-0.04275753222844747,False,False,False
DOCKSTRING-58,raw,ADAM17,THRB,0.7759538978676096,0.35889972550782195,-0.41705417235978764,False,False,False
DOCKSTRING-58,raw,ADAM17,F2,0.7742224266085229,0.6026550388975747,-0.17156738771094826,False,False,False
DOCKSTRING-58,raw,ADAM17,KDR,0.7565966211432582,0.6291078704708134,-0.1274887506724448,False,False,False
DOCKSTRING-58,raw,ADRB1,ADRB2,0.8798867643166051,0.7820362195320599,-0.09785054478454513,False,True,True
DOCKSTRING-58,raw,ADRB1,AKT2,0.8466509260981399,0.6630736847747258,-0.18357724132341402,False,False,False
DOCKSTRING-58,raw,ADRB1,MAOB,0.5976534263963563,0.001498320259792325,-0.596155106136564,False,False,False
DOCKSTRING-58,raw,ADRB1,CASP3,0.7877370754545021,0.5287207684855263,-0.2590163069689758,False,False,False
DOCKSTRING-58,raw,ADRB1,DHFR,0.7685693066253817,0.5969672971529634,-0.17160200947241833,False,False,False
DOCKSTRING-58,raw,ADRB1,ESR2,0.6896790969418461,0.6495704228362169,-0.04010867410562924,False,False,False
DOCKSTRING-58,raw,ADRB1,PTK2,0.8373316736805123,0.7191436981163449,-0.11818797556416738,False,False,True
DOCKSTRING-58,raw,ADRB1,FGFR1,0.7027485016062799,0.601281751350815,-0.10146675025546492,False,False,False
DOCKSTRING-58,raw,ADRB1,HMGCR,0.7659660114378202,0.5670469909354245,-0.19891902050239563,False,False,False
DOCKSTRING-58,raw,ADRB1,HSP90AA1,0.8410663851983537,0.6259952199926863,-0.2150711652056675,False,False,False
DOCKSTRING-58,raw,ADRB1,KIT,0.7941325092468702,0.7155139900296034,-0.07861851921726681,False,False,True
DOCKSTRING-58,raw,ADRB1,MAPKAPK2,0.8530900060941696,0.7687628745915286,-0.08432713150264104,False,False,True
DOCKSTRING-58,raw,ADRB1,MAP2K1,0.8370729657481579,0.6554896283035812,-0.18158333744457678,False,False,False
DOCKSTRING-58,raw,ADRB1,NOS1,0.7382961494475015,0.6311260032782768,-0.10717014616922471,False,False,False
DOCKSTRING-58,raw,ADRB1,PARP1,0.868887147645497,0.5055574722363149,-0.36332967540918215,False,False,False
DOCKSTRING-58,raw,ADRB1,PDE5A,0.8784966115101064,0.6782469948936001,-0.2002496166165063,False,True,False
DOCKSTRING-58,raw,ADRB1,PGR,0.7714899693592301,0.485325506369809,-0.2861644629894211,False,False,False
DOCKSTRING-58,raw,ADRB1,PTPN1,0.7618227536358255,0.6683498360430485,-0.09347291759277698,False,False,False
DOCKSTRING-58,raw,ADRB1,ROCK1,0.8592581488595294,0.6336764767044955,-0.225581672155034,False,False,False
DOCKSTRING-58,raw,ADRB1,AKT1,0.8536066676727927,0.6877516286111812,-0.16585503906161148,False,False,False
DOCKSTRING-58,raw,ADRB1,AR,0.5707594079413475,0.36973130620320704,-0.20102810173814045,False,False,False
DOCKSTRING-58,raw,ADRB1,CDK2,0.8510331029771128,0.7714188926755243,-0.07961421030158844,False,False,True
DOCKSTRING-58,raw,ADRB1,CSF1R,0.833958935123623,0.6545218917156945,-0.17943704340792843,False,False,False
DOCKSTRING-58,raw,ADRB1,ESR1,0.6778295888097204,0.6460910302317973,-0.03173855857792318,False,False,False
DOCKSTRING-58,raw,ADRB1,NR3C1,0.8580428315837831,0.28555137250827933,-0.5724914590755038,False,False,False
DOCKSTRING-58,raw,ADRB1,IGF1R,0.830892834971071,0.6634857023697922,-0.16740713260127882,False,False,False
DOCKSTRING-58,raw,ADRB1,JAK2,0.8603491098999858,0.7246750801677578,-0.13567402973222797,False,False,True
DOCKSTRING-58,raw,ADRB1,LCK,0.8628310291476088,0.628395100720518,-0.23443592842709082,False,False,False
DOCKSTRING-58,raw,ADRB1,MET,0.8216035944679023,0.6335856057395128,-0.18801798872838948,False,False,False
DOCKSTRING-58,raw,ADRB1,MMP13,0.7696321137034998,0.7161557296207662,-0.053476384082733586,False,False,True
DOCKSTRING-58,raw,ADRB1,PTGS2,0.7151107459526258,0.5372614103273265,-0.17784933562529925,False,False,False
DOCKSTRING-58,raw,ADRB1,PPARA,0.8382582737772253,0.7022971122866447,-0.13596116149058057,False,False,True
DOCKSTRING-58,raw,ADRB1,PPARG,0.8245154614677271,0.6700255435923024,-0.15448991787542476,False,False,False
DOCKSTRING-58,raw,ADRB1,REN,0.8657656807611226,0.6413214521885241,-0.2244442285725985,False,False,False
DOCKSTRING-58,raw,ADRB1,ADORA2A,0.8470245804684184,0.7080562312467406,-0.1389683492216779,False,False,True
DOCKSTRING-58,raw,ADRB1,ACHE,0.7386055378884196,0.6076347726720933,-0.13097076521632633,False,False,False
DOCKSTRING-58,raw,ADRB1,BACE1,0.8614914217977679,0.5611897522872065,-0.3003016695105615,False,False,False
DOCKSTRING-58,raw,ADRB1,CA2,0.8031651755781004,0.6081249223223079,-0.19504025325579255,False,False,False
DOCKSTRING-58,raw,ADRB1,CYP2C9,0.8538804233590293,0.6949756748397342,-0.15890474851929504,False,False,True
DOCKSTRING-58,raw,ADRB1,CYP3A4,0.8201347152821983,0.5049622710976771,-0.31517244418452117,False,False,False
DOCKSTRING-58,raw,ADRB1,HSD11B1,0.8233020888610089,0.48982347172573265,-0.3334786171352762,False,False,False
DOCKSTRING-58,raw,ADRB1,DPP4,0.8147894429597918,0.6575098968166049,-0.15727954614318695,False,False,False
DOCKSTRING-58,raw,ADRB1,DRD2,0.8491780227575683,0.7270311765929578,-0.12214684616461047,False,False,True
DOCKSTRING-58,raw,ADRB1,DRD3,0.8618336961969344,0.7123418302868184,-0.14949186591011598,False,False,True
DOCKSTRING-58,raw,ADRB1,EGFR,0.8625455879996867,0.7501370057433802,-0.11240858225630657,False,False,True
DOCKSTRING-58,raw,ADRB1,F10,0.7910455984678479,0.5762287254258058,-0.2148168730420421,False,False,False
DOCKSTRING-58,raw,ADRB1,GBA,0.8379033335538629,0.5751637615620163,-0.2627395719918466,False,False,False
DOCKSTRING-58,raw,ADRB1,MAPK1,0.8382186776469429,0.7663560734003753,-0.07186260424656765,False,False,True
DOCKSTRING-58,raw,ADRB1,MAPK14,0.8234763053076453,0.6046980772632081,-0.21877822804443714,False,False,False
DOCKSTRING-58,raw,ADRB1,PLK1,0.881510247528325,0.7284925293929393,-0.15301771813538567,False,True,True
DOCKSTRING-58,raw,ADRB1,SRC,0.8520211405269713,0.6796979154733362,-0.17232322505363507,False,False,False
DOCKSTRING-58,raw,ADRB1,THRB,0.8026105868588655,0.3357952694417854,-0.46681531741708016,False,False,False
DOCKSTRING-58,raw,ADRB1,F2,0.82822755301727,0.5683349806028407,-0.2598925724144293,False,False,False
DOCKSTRING-58,raw,ADRB1,KDR,0.7015990702104683,0.602181432105683,-0.09941763810478532,False,False,False
DOCKSTRING-58,raw,ADRB2,AKT2,0.8257722230981918,0.5879097736894364,-0.23786244940875534,False,False,False
DOCKSTRING-58,raw,ADRB2,MAOB,0.5888958483376927,0.057630212059976746,-0.531265636277716,False,False,False
DOCKSTRING-58,raw,ADRB2,CASP3,0.7958395121932396,0.4259908076010997,-0.36984870459213987,False,False,False
DOCKSTRING-58,raw,ADRB2,DHFR,0.7771405864251404,0.5673393508502759,-0.20980123557486452,False,False,False
DOCKSTRING-58,raw,ADRB2,ESR2,0.7020769880302707,0.6405467369239835,-0.06153025110628729,False,False,False
DOCKSTRING-58,raw,ADRB2,PTK2,0.8408410219635868,0.6548575188840542,-0.1859835030795326,False,False,False
DOCKSTRING-58,raw,ADRB2,FGFR1,0.7340740093434426,0.55430619674465,-0.1797678125987926,False,False,False
DOCKSTRING-58,raw,ADRB2,HMGCR,0.740735772453203,0.4648368465061633,-0.2758989259470397,False,False,False
DOCKSTRING-58,raw,ADRB2,HSP90AA1,0.8048898523284925,0.5809785015641464,-0.2239113507643461,False,False,False
DOCKSTRING-58,raw,ADRB2,KIT,0.7483742197746677,0.6359391135621209,-0.11243510621254682,False,False,False
DOCKSTRING-58,raw,ADRB2,MAPKAPK2,0.8624446337276152,0.6930254972491154,-0.1694191364784997,False,False,True
DOCKSTRING-58,raw,ADRB2,MAP2K1,0.87553273115271,0.6488170642622183,-0.22671566689049172,False,True,False
DOCKSTRING-58,raw,ADRB2,NOS1,0.7439497052304617,0.5736398867083631,-0.1703098185220986,False,False,False
DOCKSTRING-58,raw,ADRB2,PARP1,0.8671526866492331,0.4317513369226933,-0.43540134972653977,False,False,False
