record_type,target_a,target_b,target_a_floor_fraction,target_b_floor_fraction,target_a_uncensored_ligands,target_b_uncensored_ligands,jointly_uncensored_ligands,continuous_map_edge,rank_map_edge,sum_floor_fraction,absolute_floor_fraction_difference
pair,AKT1,EGFR,0.925373134328,0.55223880597,5,30,3,0.044386083384,0.0706744502357,1.4776119403,0.373134328358
pair,AKT1,FGFR1,0.925373134328,0.55223880597,5,30,3,-0.190314506553,-0.343568383436,1.4776119403,0.373134328358
pair,AKT1,IGF1R,0.925373134328,0.805970149254,5,13,2,0.0771695985475,-0.0648396668018,1.73134328358,0.119402985075
pair,AKT1,JAK2,0.925373134328,0.582089552239,5,28,3,-0.154299088833,-0.216160220296,1.50746268657,0.34328358209
pair,AKT1,KDR,0.925373134328,0.492537313433,5,34,3,-0.252476570278,-0.292456335438,1.41791044776,0.432835820896
pair,AKT1,KIT,0.925373134328,0.388059701493,5,41,3,-0.419567987051,-0.365203618382,1.31343283582,0.537313432836
pair,AKT1,LCK,0.925373134328,0.283582089552,5,48,3,-0.486072929812,-0.5183828534,1.20895522388,0.641791044776
pair,AKT1,MAP2K1,0.925373134328,0.582089552239,5,28,2,-0.137939598759,-0.229392054756,1.50746268657,0.34328358209
pair,AKT1,MAPK1,0.925373134328,0.970149253731,5,2,1,0.467556940711,0.55565704029,1.89552238806,0.044776119403
pair,AKT1,MAPK14,0.925373134328,0.850746268657,5,10,0,0.111749688376,0.190811207765,1.77611940299,0.0746268656716
pair,AKT1,MAPKAPK2,0.925373134328,0.955223880597,5,3,2,0.566739636071,0.653333357108,1.88059701493,0.0298507462687
pair,AKT1,MET,0.925373134328,0.537313432836,5,31,3,-0.0307692457252,-0.162003727909,1.46268656716,0.388059701493
pair,AKT1,PLK1,0.925373134328,0.850746268657,5,10,2,0.173763323089,0.297266048424,1.77611940299,0.0746268656716
pair,AKT1,PTK2,0.925373134328,0.731343283582,5,18,2,-0.0271563489264,-0.105509106906,1.65671641791,0.194029850746
pair,AKT1,ROCK1,0.925373134328,0.701492537313,5,20,5,0.541923036884,0.432044334747,1.62686567164,0.223880597015
pair,AKT1,SRC,0.925373134328,0.432835820896,5,38,3,-0.365398206602,-0.429411230493,1.35820895522,0.492537313433
pair,AKT2,CDK2,0.89552238806,0.835820895522,7,11,2,0.361408026077,0.300964445827,1.73134328358,0.0597014925373
pair,AKT2,CSF1R,0.89552238806,0.34328358209,7,44,4,-0.374771587819,-0.285349629951,1.23880597015,0.55223880597
pair,AKT2,EGFR,0.89552238806,0.55223880597,7,30,3,0.0480840344188,-0.0124676646043,1.44776119403,0.34328358209
pair,AKT2,FGFR1,0.89552238806,0.55223880597,7,30,4,-0.189585186069,-0.29365448978,1.44776119403,0.34328358209
pair,AKT2,IGF1R,0.89552238806,0.805970149254,7,13,3,0.0665099867017,-0.00437934371462,1.70149253731,0.089552238806
pair,AKT2,JAK2,0.89552238806,0.582089552239,7,28,4,-0.145974483984,-0.185693175189,1.4776119403,0.313432835821
pair,AKT2,KDR,0.89552238806,0.492537313433,7,34,4,-0.225698162352,-0.228383908702,1.38805970149,0.402985074627
pair,AKT2,KIT,0.89552238806,0.388059701493,7,41,4,-0.406828670742,-0.304919523463,1.28358208955,0.507462686567
pair,AKT2,LCK,0.89552238806,0.283582089552,7,48,4,-0.505588431719,-0.508928280282,1.17910447761,0.611940298507
pair,AKT2,MAP2K1,0.89552238806,0.582089552239,7,28,3,-0.114774339616,-0.186060278108,1.4776119403,0.313432835821
pair,AKT2,MAPK1,0.89552238806,0.970149253731,7,2,1,0.481516337915,0.474291613369,1.86567164179,0.0746268656716
pair,AKT2,MAPK14,0.89552238806,0.850746268657,7,10,0,0.115633584996,0.127976170913,1.74626865672,0.044776119403
pair,AKT2,MAPKAPK2,0.89552238806,0.955223880597,7,3,2,0.602405305295,0.570921027047,1.85074626866,0.0597014925373
pair,AKT2,MET,0.89552238806,0.537313432836,7,31,4,-0.0337365908745,-0.181627516014,1.4328358209,0.358208955224
pair,AKT2,PLK1,0.89552238806,0.850746268657,7,10,2,0.183230915572,0.228853530665,1.74626865672,0.044776119403
pair,AKT2,PTK2,0.89552238806,0.731343283582,7,18,3,-0.0280018887135,-0.0515444353577,1.62686567164,0.164179104478
pair,AKT2,ROCK1,0.89552238806,0.701492537313,7,20,6,0.465653258592,0.43566149317,1.59701492537,0.194029850746
pair,AKT2,SRC,0.89552238806,0.432835820896,7,38,4,-0.397100416227,-0.427699085727,1.32835820896,0.462686567164
pair,CDK2,CSF1R,0.835820895522,0.34328358209,11,44,7,-0.341095983632,-0.284660994564,1.17910447761,0.492537313433
pair,CDK2,EGFR,0.835820895522,0.55223880597,11,30,5,-0.00786258009937,-0.0105466627227,1.38805970149,0.283582089552
pair,CDK2,FGFR1,0.835820895522,0.55223880597,11,30,7,-0.0909472929199,-0.150666446976,1.38805970149,0.283582089552
pair,CDK2,IGF1R,0.835820895522,0.805970149254,11,13,4,0.0892521283723,0.0597137010112,1.64179104478,0.0298507462687
pair,CDK2,JAK2,0.835820895522,0.582089552239,11,28,6,-0.0672909805937,-0.167174839886,1.41791044776,0.253731343284
pair,CDK2,KDR,0.835820895522,0.492537313433,11,34,6,-0.201027452111,-0.205156266862,1.32835820896,0.34328358209
pair,CDK2,KIT,0.835820895522,0.388059701493,11,41,6,-0.391398956425,-0.341944873845,1.22388059701,0.44776119403
pair,CDK2,LCK,0.835820895522,0.283582089552,11,48,6,-0.432661045011,-0.470806906467,1.11940298507,0.55223880597
pair,CDK2,MAP2K1,0.835820895522,0.582089552239,11,28,4,0.00395982835251,-0.210826723135,1.41791044776,0.253731343284
pair,CDK2,MAPK1,0.835820895522,0.970149253731,11,2,2,0.345849210363,0.524962187193,1.80597014925,0.134328358209
pair,CDK2,MAPK14,0.835820895522,0.850746268657,11,10,2,0.0696274630522,0.205719574397,1.68656716418,0.0149253731343
pair,CDK2,MAPKAPK2,0.835820895522,0.955223880597,11,3,2,0.569222090929,0.470824839629,1.79104477612,0.119402985075
pair,CDK2,MET,0.835820895522,0.537313432836,11,31,6,-0.0384384661286,-0.130496655336,1.37313432836,0.298507462687
pair,CDK2,PLK1,0.835820895522,0.850746268657,11,10,3,0.159919109436,0.236081664601,1.68656716418,0.0149253731343
pair,CDK2,PTK2,0.835820895522,0.731343283582,11,18,4,0.0142322347725,-0.0322016315697,1.5671641791,0.10447761194
pair,CDK2,ROCK1,0.835820895522,0.701492537313,11,20,6,0.375781861106,0.243440198807,1.53731343284,0.134328358209
pair,CDK2,SRC,0.835820895522,0.432835820896,11,38,5,-0.328801903942,-0.426893419297,1.26865671642,0.402985074627
pair,CSF1R,EGFR,0.34328358209,0.55223880597,44,30,20,-0.351592870213,-0.313384418749,0.89552238806,0.208955223881
pair,CSF1R,FGFR1,0.34328358209,0.55223880597,44,30,28,-0.0746145063007,0.0429931764494,0.89552238806,0.208955223881
pair,CSF1R,IGF1R,0.34328358209,0.805970149254,44,13,12,-0.324828166368,-0.268687677168,1.14925373134,0.462686567164
pair,CSF1R,JAK2,0.34328358209,0.582089552239,44,28,24,-0.20296920502,-0.191598683485,0.925373134328,0.238805970149
pair,CSF1R,KDR,0.34328358209,0.492537313433,44,34,33,0.487849350403,0.491021340727,0.835820895522,0.149253731343
pair,CSF1R,KIT,0.34328358209,0.388059701493,44,41,39,0.815985828746,0.804970338196,0.731343283582,0.044776119403
pair,CSF1R,LCK,0.34328358209,0.283582089552,44,48,40,0.209268503948,0.218353525197,0.626865671642,0.0597014925373
pair,CSF1R,MAP2K1,0.34328358209,0.582089552239,44,28,24,-0.142352338143,-0.103182818508,0.925373134328,0.238805970149
pair,CSF1R,MAPK1,0.34328358209,0.970149253731,44,2,2,-0.417826031569,-0.29866770646,1.31343283582,0.626865671642
pair,CSF1R,MAPK14,0.34328358209,0.850746268657,44,10,8,-0.122098451897,0.00524540712486,1.19402985075,0.507462686567
pair,CSF1R,MAPKAPK2,0.34328358209,0.955223880597,44,3,3,-0.450708292798,-0.334142816521,1.29850746269,0.611940298507
pair,CSF1R,MET,0.34328358209,0.537313432836,44,31,25,-0.10382620054,-0.0821864926048,0.880597014925,0.194029850746
pair,CSF1R,PLK1,0.34328358209,0.850746268657,44,10,6,-0.414903947747,-0.45314351904,1.19402985075,0.507462686567
pair,CSF1R,PTK2,0.34328358209,0.731343283582,44,18,16,-0.323419790028,-0.242069083418,1.07462686567,0.388059701493
pair,CSF1R,ROCK1,0.34328358209,0.701492537313,44,20,14,-0.383103754763,-0.357316454112,1.0447761194,0.358208955224
pair,CSF1R,SRC,0.34328358209,0.432835820896,44,38,32,0.0315065516607,-0.0163663149471,0.776119402985,0.089552238806
pair,EGFR,FGFR1,0.55223880597,0.55223880597,30,30,15,-0.220420407825,-0.275539823297,1.10447761194,0
pair,EGFR,IGF1R,0.55223880597,0.805970149254,30,13,7,-0.0727484116692,-0.229967989815,1.35820895522,0.253731343284
pair,EGFR,JAK2,0.55223880597,0.582089552239,30,28,15,-0.253708777112,-0.258826639127,1.13432835821,0.0298507462687
pair,EGFR,KDR,0.55223880597,0.492537313433,30,34,17,-0.312907600453,-0.332776544434,1.0447761194,0.0597014925373
pair,EGFR,KIT,0.55223880597,0.388059701493,30,41,20,-0.351590455412,-0.260558639761,0.940298507463,0.164179104478
pair,EGFR,LCK,0.55223880597,0.283582089552,30,48,25,0.151145956965,0.125399521573,0.835820895522,0.268656716418
pair,EGFR,MAP2K1,0.55223880597,0.582089552239,30,28,15,0.00644219968475,-0.0623784678542,1.13432835821,0.0298507462687
pair,EGFR,MAPK1,0.55223880597,0.970149253731,30,2,2,0.206801922896,0.168700310586,1.5223880597,0.417910447761
pair,EGFR,MAPK14,0.55223880597,0.850746268657,30,10,7,0.075822349669,0.208934422811,1.40298507463,0.298507462687
pair,EGFR,MAPKAPK2,0.55223880597,0.955223880597,30,3,2,0.156745911807,0.0469951973904,1.50746268657,0.402985074627
pair,EGFR,MET,0.55223880597,0.537313432836,30,31,17,-0.0856284127957,-0.0539465993767,1.08955223881,0.0149253731343
pair,EGFR,PLK1,0.55223880597,0.850746268657,30,10,8,0.023751467895,0.178765971027,1.40298507463,0.298507462687
pair,EGFR,PTK2,0.55223880597,0.731343283582,30,18,11,-0.0367743994988,-0.0328000579844,1.28358208955,0.179104477612
pair,EGFR,ROCK1,0.55223880597,0.701492537313,30,20,9,-0.110926952251,-0.152359195225,1.25373134328,0.149253731343
pair,EGFR,SRC,0.55223880597,0.432835820896,30,38,21,0.178879537327,0.189803991292,0.985074626866,0.119402985075
pair,FGFR1,IGF1R,0.55223880597,0.805970149254,30,13,11,0.0479107512035,-0.0515480633356,1.35820895522,0.253731343284
pair,FGFR1,JAK2,0.55223880597,0.582089552239,30,28,20,0.198339636282,0.138303897151,1.13432835821,0.0298507462687
pair,FGFR1,KDR,0.55223880597,0.492537313433,30,34,28,0.411975103105,0.514780643665,1.0447761194,0.0597014925373
pair,FGFR1,KIT,0.55223880597,0.388059701493,30,41,28,0.160488239952,0.228349427433,0.940298507463,0.164179104478
pair,FGFR1,LCK,0.55223880597,0.283582089552,30,48,29,-0.0728862591866,0.0657155367605,0.835820895522,0.268656716418
pair,FGFR1,MAP2K1,0.55223880597,0.582089552239,30,28,19,-0.0463739219687,0.0132684368572,1.13432835821,0.0298507462687
pair,FGFR1,MAPK1,0.55223880597,0.970149253731,30,2,2,-0.147826562093,-0.38466229628,1.5223880597,0.417910447761
pair,FGFR1,MAPK14,0.55223880597,0.850746268657,30,10,6,-0.181258442875,-0.247260228136,1.40298507463,0.298507462687
pair,FGFR1,MAPKAPK2,0.55223880597,0.955223880597,30,3,3,-0.194901335956,-0.338097838234,1.50746268657,0.402985074627
pair,FGFR1,MET,0.55223880597,0.537313432836,30,31,20,-0.0804966291278,0.000681604059114,1.08955223881,0.0149253731343
pair,FGFR1,PLK1,0.55223880597,0.850746268657,30,10,5,-0.102330683012,-0.327083500962,1.40298507463,0.298507462687
pair,FGFR1,PTK2,0.55223880597,0.731343283582,30,18,12,-0.0161848407328,-0.213433495313,1.28358208955,0.179104477612
pair,FGFR1,ROCK1,0.55223880597,0.701492537313,30,20,11,-0.044867791024,-0.180552031956,1.25373134328,0.149253731343
pair,FGFR1,SRC,0.55223880597,0.432835820896,30,38,25,0.0866631681629,0.263473364544,0.985074626866,0.119402985075
pair,IGF1R,JAK2,0.805970149254,0.582089552239,13,28,13,0.101277210258,0.256915064223,1.38805970149,0.223880597015
pair,IGF1R,KDR,0.805970149254,0.492537313433,13,34,11,-0.17439561612,-0.193000068076,1.29850746269,0.313432835821
pair,IGF1R,KIT,0.805970149254,0.388059701493,13,41,11,-0.373237340434,-0.356324417284,1.19402985075,0.417910447761
pair,IGF1R,LCK,0.805970149254,0.283582089552,13,48,12,-0.310695422263,-0.22407315286,1.08955223881,0.522388059701
pair,IGF1R,MAP2K1,0.805970149254,0.582089552239,13,28,11,-0.00946122082064,0.0485637087927,1.38805970149,0.223880597015
pair,IGF1R,MAPK1,0.805970149254,0.970149253731,13,2,2,0.361246003367,0.0632782094328,1.77611940299,0.164179104478
pair,IGF1R,MAPK14,0.805970149254,0.850746268657,13,10,1,-0.102040218673,-0.239540868672,1.65671641791,0.044776119403
pair,IGF1R,MAPKAPK2,0.805970149254,0.955223880597,13,3,3,0.122800255187,0.110195731042,1.76119402985,0.149253731343
pair,IGF1R,MET,0.805970149254,0.537313432836,13,31,12,0.177638673317,0.197564856903,1.34328358209,0.268656716418
pair,IGF1R,PLK1,0.805970149254,0.850746268657,13,10,6,0.339384013697,0.236409232011,1.65671641791,0.044776119403
pair,IGF1R,PTK2,0.805970149254,0.731343283582,13,18,12,0.696143111111,0.588181844075,1.53731343284,0.0746268656716
pair,IGF1R,ROCK1,0.805970149254,0.701492537313,13,20,8,0.142818727017,0.089515944715,1.50746268657,0.10447761194
pair,IGF1R,SRC,0.805970149254,0.432835820896,13,38,12,-0.328391764699,-0.153492205649,1.23880597015,0.373134328358
pair,JAK2,KDR,0.582089552239,0.492537313433,28,34,21,-0.171129807326,-0.144790693906,1.07462686567,0.089552238806
pair,JAK2,KIT,0.582089552239,0.388059701493,28,41,23,-0.189751507956,-0.225804174932,0.970149253731,0.194029850746
pair,JAK2,LCK,0.582089552239,0.283582089552,28,48,25,-0.0083314934918,0.0340846046817,0.865671641791,0.298507462687
pair,JAK2,MAP2K1,0.582089552239,0.582089552239,28,28,20,0.185592798524,0.211806057572,1.16417910448,0
pair,JAK2,MAPK1,0.582089552239,0.970149253731,28,2,2,-0.215944466696,-0.327410433387,1.55223880597,0.388059701493
pair,JAK2,MAPK14,0.582089552239,0.850746268657,28,10,4,-0.277894900037,-0.340380525075,1.4328358209,0.268656716418
pair,JAK2,MAPKAPK2,0.582089552239,0.955223880597,28,3,3,-0.144298639534,-0.225341547708,1.53731343284,0.373134328358
pair,JAK2,MET,0.582089552239,0.537313432836,28,31,20,0.0157637745465,0.0940129347255,1.11940298507,0.044776119403
pair,JAK2,PLK1,0.582089552239,0.850746268657,28,10,8,0.0931537791725,0.0578822801792,1.4328358209,0.268656716418
pair,JAK2,PTK2,0.582089552239,0.731343283582,28,18,15,0.171316005354,0.169947372371,1.31343283582,0.149253731343
pair,JAK2,ROCK1,0.582089552239,0.701492537313,28,20,16,0.35721642894,0.345054995084,1.28358208955,0.119402985075
pair,JAK2,SRC,0.582089552239,0.432835820896,28,38,22,0.0060023325307,0.0342695352866,1.01492537313,0.149253731343
pair,KDR,KIT,0.492537313433,0.388059701493,34,41,34,0.712264516931,0.74326344879,0.880597014925,0.10447761194
pair,KDR,LCK,0.492537313433,0.283582089552,34,48,32,-0.199686977828,-0.0742200375484,0.776119402985,0.208955223881
pair,KDR,MAP2K1,0.492537313433,0.582089552239,34,28,21,0.00647953297333,-0.0193077828249,1.07462686567,0.089552238806
pair,KDR,MAPK1,0.492537313433,0.970149253731,34,2,2,-0.244126261118,-0.322718977292,1.46268656716,0.477611940299
pair,KDR,MAPK14,0.492537313433,0.850746268657,34,10,6,-0.202695112091,-0.164053516048,1.34328358209,0.358208955224
pair,KDR,MAPKAPK2,0.492537313433,0.955223880597,34,3,3,-0.238600273254,-0.284368371332,1.44776119403,0.462686567164
pair,KDR,MET,0.492537313433,0.537313432836,34,31,22,-0.0655437272394,-0.0272845048128,1.02985074627,0.044776119403
pair,KDR,PLK1,0.492537313433,0.850746268657,34,10,5,-0.300815871123,-0.427249127644,1.34328358209,0.358208955224
pair,KDR,PTK2,0.492537313433,0.731343283582,34,18,12,-0.234892686654,-0.283425869144,1.22388059701,0.238805970149
pair,KDR,ROCK1,0.492537313433,0.701492537313,34,20,11,-0.256308913492,-0.304928588098,1.19402985075,0.208955223881
pair,KDR,SRC,0.492537313433,0.432835820896,34,38,26,-0.256588197677,-0.0949002005105,0.925373134328,0.0597014925373
pair,KIT,LCK,0.388059701493,0.283582089552,41,48,39,0.202579159147,0.190086563857,0.671641791045,0.10447761194
pair,KIT,MAP2K1,0.388059701493,0.582089552239,41,28,24,-0.137443332287,-0.0777158830642,0.970149253731,0.194029850746
pair,KIT,MAPK1,0.388059701493,0.970149253731,41,2,2,-0.465637700485,-0.353001655138,1.35820895522,0.582089552239
pair,KIT,MAPK14,0.388059701493,0.850746268657,41,10,7,-0.134440487735,-0.0480041639738,1.23880597015,0.462686567164
pair,KIT,MAPKAPK2,0.388059701493,0.955223880597,41,3,3,-0.490467959465,-0.372808051506,1.34328358209,0.567164179104
pair,KIT,MET,0.388059701493,0.537313432836,41,31,25,-0.233436308557,-0.132605398208,0.925373134328,0.149253731343
pair,KIT,PLK1,0.388059701493,0.850746268657,41,10,6,-0.44154947357,-0.480048719246,1.23880597015,0.462686567164
pair,KIT,PTK2,0.388059701493,0.731343283582,41,18,14,-0.40805540744,-0.351726156072,1.11940298507,0.34328358209
pair,KIT,ROCK1,0.388059701493,0.701492537313,41,20,12,-0.433404789127,-0.423394807943,1.08955223881,0.313432835821
pair,KIT,SRC,0.388059701493,0.432835820896,41,38,31,0.0311290411049,-0.00403603170862,0.820895522388,0.044776119403
pair,LCK,MAP2K1,0.283582089552,0.582089552239,48,28,25,0.013887851131,0.0488621686794,0.865671641791,0.298507462687
pair,LCK,MAPK1,0.283582089552,0.970149253731,48,2,2,-0.538593744877,-0.493585708276,1.25373134328,0.686567164179
pair,LCK,MAPK14,0.283582089552,0.850746268657,48,10,10,-0.0236814925169,-0.0711703969688,1.13432835821,0.567164179104
pair,LCK,MAPKAPK2,0.283582089552,0.955223880597,48,3,3,-0.597132802185,-0.484652996098,1.23880597015,0.671641791045
pair,LCK,MET,0.283582089552,0.537313432836,48,31,27,-0.0636013594353,0.0526751824075,0.820895522388,0.253731343284
pair,LCK,PLK1,0.283582089552,0.850746268657,48,10,6,-0.433734095826,-0.484914546941,1.13432835821,0.567164179104
pair,LCK,PTK2,0.283582089552,0.731343283582,48,18,16,-0.239995785816,-0.179696596165,1.01492537313,0.44776119403
pair,LCK,ROCK1,0.283582089552,0.701492537313,48,20,14,-0.484517162186,-0.411871252618,0.985074626866,0.417910447761
pair,LCK,SRC,0.283582089552,0.432835820896,48,38,38,0.745259122712,0.691786615039,0.716417910448,0.149253731343
pair,MAP2K1,MAPK1,0.582089552239,0.970149253731,28,2,2,-0.212171326413,-0.225195847313,1.55223880597,0.388059701493
pair,MAP2K1,MAPK14,0.582089552239,0.850746268657,28,10,3,-0.257549496133,-0.294082938383,1.4328358209,0.268656716418
pair,MAP2K1,MAPKAPK2,0.582089552239,0.955223880597,28,3,3,-0.0178018220184,-0.121464755752,1.53731343284,0.373134328358
pair,MAP2K1,MET,0.582089552239,0.537313432836,28,31,19,0.0376316746032,0.00362201588324,1.11940298507,0.044776119403
pair,MAP2K1,PLK1,0.582089552239,0.850746268657,28,10,7,-0.0997113875214,-0.0812270178654,1.4328358209,0.268656716418
pair,MAP2K1,PTK2,0.582089552239,0.731343283582,28,18,14,0.119254395513,0.207160094177,1.31343283582,0.149253731343
pair,MAP2K1,ROCK1,0.582089552239,0.701492537313,28,20,11,0.0574941971474,-0.0653147975666,1.28358208955,0.119402985075
pair,MAP2K1,SRC,0.582089552239,0.432835820896,28,38,22,0.000382999143379,0.036916471441,1.01492537313,0.149253731343
pair,MAPK1,MAPK14,0.970149253731,0.850746268657,2,10,0,0.312513342932,0.293432280237,1.82089552239,0.119402985075
pair,MAPK1,MAPKAPK2,0.970149253731,0.955223880597,2,3,1,0.759634788367,0.599836342461,1.92537313433,0.0149253731343
pair,MAPK1,MET,0.970149253731,0.537313432836,2,31,2,0.0396612356561,-0.18277854727,1.50746268657,0.432835820896
pair,MAPK1,PLK1,0.970149253731,0.850746268657,2,10,2,0.378786482997,0.471683130822,1.82089552239,0.119402985075
pair,MAPK1,PTK2,0.970149253731,0.731343283582,2,18,2,0.190594411794,0.0181853183312,1.70149253731,0.238805970149
pair,MAPK1,ROCK1,0.970149253731,0.701492537313,2,20,2,0.159517027061,0.227138417639,1.67164179104,0.268656716418
pair,MAPK1,SRC,0.970149253731,0.432835820896,2,38,2,-0.463029258216,-0.480519067624,1.40298507463,0.537313432836
pair,MAPK14,MAPKAPK2,0.850746268657,0.955223880597,10,3,0,0.262675114942,0.219795010411,1.80597014925,0.10447761194
pair,MAPK14,MET,0.850746268657,0.537313432836,10,31,4,-0.100763230862,-0.270509929834,1.38805970149,0.313432835821
pair,MAPK14,PLK1,0.850746268657,0.850746268657,10,10,0,-0.0216305577361,-0.00756536028729,1.70149253731,0
pair,MAPK14,PTK2,0.850746268657,0.731343283582,10,18,2,-0.223281655028,-0.20518645824,1.58208955224,0.119402985075
pair,MAPK14,ROCK1,0.850746268657,0.701492537313,10,20,1,-0.189801940476,-0.170577721812,1.55223880597,0.149253731343
pair,MAPK14,SRC,0.850746268657,0.432835820896,10,38,8,0.0154281697054,-0.117807397198,1.28358208955,0.417910447761
pair,MAPKAPK2,MET,0.955223880597,0.537313432836,3,31,3,0.0353870289793,-0.129640410897,1.49253731343,0.417910447761
pair,MAPKAPK2,PLK1,0.955223880597,0.850746268657,3,10,2,0.340008822903,0.363615136007,1.80597014925,0.10447761194
pair,MAPKAPK2,PTK2,0.955223880597,0.731343283582,3,18,2,-0.0434698049616,-0.120013580701,1.68656716418,0.223880597015
pair,MAPKAPK2,ROCK1,0.955223880597,0.701492537313,3,20,2,0.280512404892,0.136996474228,1.65671641791,0.253731343284
pair,MAPKAPK2,SRC,0.955223880597,0.432835820896,3,38,3,-0.479497034203,-0.393362008218,1.38805970149,0.522388059701
pair,MET,PLK1,0.537313432836,0.850746268657,31,10,7,-0.0391026842227,-0.114116889837,1.38805970149,0.313432835821
pair,MET,PTK2,0.537313432836,0.731343283582,31,18,15,0.200811431236,0.205478423025,1.26865671642,0.194029850746
pair,MET,ROCK1,0.537313432836,0.701492537313,31,20,11,-0.115918159248,-0.204238582503,1.23880597015,0.164179104478
pair,MET,SRC,0.537313432836,0.432835820896,31,38,25,-0.117607432105,0.0868896471048,0.970149253731,0.10447761194
pair,PLK1,PTK2,0.850746268657,0.731343283582,10,18,8,0.496222018441,0.411077766603,1.58208955224,0.119402985075
pair,PLK1,ROCK1,0.850746268657,0.701492537313,10,20,8,0.282455238981,0.399069421902,1.55223880597,0.149253731343
pair,PLK1,SRC,0.850746268657,0.432835820896,10,38,6,-0.251223779662,-0.33392127161,1.28358208955,0.417910447761
pair,PTK2,ROCK1,0.731343283582,0.701492537313,18,20,10,0.242882912297,0.150201639538,1.4328358209,0.0298507462687
pair,PTK2,SRC,0.731343283582,0.432835820896,18,38,14,-0.217713358152,-0.236061882918,1.16417910448,0.298507462687
