transformation,objective,evaluation_map,selection_source,target_index,target
raw,absolute_1_minus_abs_r,DAVIS_experiment,cross_panel_experimental_selected,9,KDR
raw,absolute_1_minus_abs_r,DAVIS_experiment,cross_panel_experimental_selected,11,LCK
raw,absolute_1_minus_abs_r,DAVIS_experiment,cross_panel_experimental_selected,12,MAP2K1
raw,absolute_1_minus_abs_r,DAVIS_experiment,cross_panel_experimental_selected,14,MAPK14
raw,absolute_1_minus_abs_r,DAVIS_experiment,cross_panel_experimental_selected,15,MAPKAPK2
raw,absolute_1_minus_abs_r,DAVIS_experiment,cross_panel_experimental_selected,17,PLK1
raw,absolute_1_minus_abs_r,DAVIS_experiment,cross_panel_experimental_selected,18,PTK2
raw,absolute_1_minus_abs_r,DAVIS_experiment,in_sample_experimental_oracle,1,AKT1
raw,absolute_1_minus_abs_r,DAVIS_experiment,in_sample_experimental_oracle,3,CDK2
raw,absolute_1_minus_abs_r,DAVIS_experiment,in_sample_experimental_oracle,5,EGFR
raw,absolute_1_minus_abs_r,DAVIS_experiment,in_sample_experimental_oracle,10,KIT
raw,absolute_1_minus_abs_r,DAVIS_experiment,in_sample_experimental_oracle,11,LCK
raw,absolute_1_minus_abs_r,DAVIS_experiment,in_sample_experimental_oracle,14,MAPK14
raw,absolute_1_minus_abs_r,DAVIS_experiment,in_sample_experimental_oracle,16,MET
raw,absolute_1_minus_abs_r,DAVIS_experiment,in_sample_experimental_oracle,18,PTK2
raw,absolute_1_minus_abs_r,PKIS2_experiment,Vina_selected,0,ABL1
raw,absolute_1_minus_abs_r,PKIS2_experiment,Vina_selected,3,CDK2
raw,absolute_1_minus_abs_r,PKIS2_experiment,Vina_selected,4,CSF1R
raw,absolute_1_minus_abs_r,PKIS2_experiment,Vina_selected,6,FGFR1
raw,absolute_1_minus_abs_r,PKIS2_experiment,Vina_selected,9,KDR
raw,absolute_1_minus_abs_r,PKIS2_experiment,Vina_selected,10,KIT
raw,absolute_1_minus_abs_r,PKIS2_experiment,Vina_selected,16,MET
raw,absolute_1_minus_abs_r,PKIS2_experiment,Vina_selected,19,ROCK1
raw,absolute_1_minus_abs_r,PKIS2_experiment,cross_panel_experimental_selected,1,AKT1
raw,absolute_1_minus_abs_r,PKIS2_experiment,cross_panel_experimental_selected,3,CDK2
raw,absolute_1_minus_abs_r,PKIS2_experiment,cross_panel_experimental_selected,5,EGFR
raw,absolute_1_minus_abs_r,PKIS2_experiment,cross_panel_experimental_selected,10,KIT
raw,absolute_1_minus_abs_r,PKIS2_experiment,cross_panel_experimental_selected,11,LCK
raw,absolute_1_minus_abs_r,PKIS2_experiment,cross_panel_experimental_selected,14,MAPK14
raw,absolute_1_minus_abs_r,PKIS2_experiment,cross_panel_experimental_selected,16,MET
raw,absolute_1_minus_abs_r,PKIS2_experiment,cross_panel_experimental_selected,18,PTK2
raw,absolute_1_minus_abs_r,PKIS2_experiment,in_sample_experimental_oracle,1,AKT1
raw,absolute_1_minus_abs_r,PKIS2_experiment,in_sample_experimental_oracle,9,KDR
raw,absolute_1_minus_abs_r,PKIS2_experiment,in_sample_experimental_oracle,11,LCK
raw,absolute_1_minus_abs_r,PKIS2_experiment,in_sample_experimental_oracle,12,MAP2K1
raw,absolute_1_minus_abs_r,PKIS2_experiment,in_sample_experimental_oracle,14,MAPK14
raw,absolute_1_minus_abs_r,PKIS2_experiment,in_sample_experimental_oracle,15,MAPKAPK2
raw,absolute_1_minus_abs_r,PKIS2_experiment,in_sample_experimental_oracle,17,PLK1
raw,absolute_1_minus_abs_r,PKIS2_experiment,in_sample_experimental_oracle,18,PTK2
raw,squared_1_minus_r2,DAVIS_experiment,Vina_selected,0,ABL1
raw,squared_1_minus_r2,DAVIS_experiment,Vina_selected,3,CDK2
raw,squared_1_minus_r2,DAVIS_experiment,Vina_selected,4,CSF1R
raw,squared_1_minus_r2,DAVIS_experiment,Vina_selected,6,FGFR1
raw,squared_1_minus_r2,DAVIS_experiment,Vina_selected,9,KDR
raw,squared_1_minus_r2,DAVIS_experiment,Vina_selected,10,KIT
raw,squared_1_minus_r2,DAVIS_experiment,Vina_selected,16,MET
raw,squared_1_minus_r2,DAVIS_experiment,Vina_selected,19,ROCK1
raw,squared_1_minus_r2,DAVIS_experiment,cross_panel_experimental_selected,1,AKT1
raw,squared_1_minus_r2,DAVIS_experiment,cross_panel_experimental_selected,4,CSF1R
raw,squared_1_minus_r2,DAVIS_experiment,cross_panel_experimental_selected,11,LCK
raw,squared_1_minus_r2,DAVIS_experiment,cross_panel_experimental_selected,12,MAP2K1
raw,squared_1_minus_r2,DAVIS_experiment,cross_panel_experimental_selected,14,MAPK14
raw,squared_1_minus_r2,DAVIS_experiment,cross_panel_experimental_selected,15,MAPKAPK2
raw,squared_1_minus_r2,DAVIS_experiment,cross_panel_experimental_selected,17,PLK1
raw,squared_1_minus_r2,DAVIS_experiment,cross_panel_experimental_selected,18,PTK2
raw,squared_1_minus_r2,DAVIS_experiment,in_sample_experimental_oracle,1,AKT1
raw,squared_1_minus_r2,DAVIS_experiment,in_sample_experimental_oracle,3,CDK2
raw,squared_1_minus_r2,DAVIS_experiment,in_sample_experimental_oracle,5,EGFR
raw,squared_1_minus_r2,DAVIS_experiment,in_sample_experimental_oracle,10,KIT
raw,squared_1_minus_r2,DAVIS_experiment,in_sample_experimental_oracle,11,LCK
raw,squared_1_minus_r2,DAVIS_experiment,in_sample_experimental_oracle,14,MAPK14
raw,squared_1_minus_r2,DAVIS_experiment,in_sample_experimental_oracle,16,MET
raw,squared_1_minus_r2,DAVIS_experiment,in_sample_experimental_oracle,18,PTK2
raw,squared_1_minus_r2,PKIS2_experiment,Vina_selected,0,ABL1
raw,squared_1_minus_r2,PKIS2_experiment,Vina_selected,3,CDK2
raw,squared_1_minus_r2,PKIS2_experiment,Vina_selected,4,CSF1R
raw,squared_1_minus_r2,PKIS2_experiment,Vina_selected,6,FGFR1
raw,squared_1_minus_r2,PKIS2_experiment,Vina_selected,9,KDR
raw,squared_1_minus_r2,PKIS2_experiment,Vina_selected,10,KIT
raw,squared_1_minus_r2,PKIS2_experiment,Vina_selected,16,MET
raw,squared_1_minus_r2,PKIS2_experiment,Vina_selected,19,ROCK1
raw,squared_1_minus_r2,PKIS2_experiment,cross_panel_experimental_selected,1,AKT1
raw,squared_1_minus_r2,PKIS2_experiment,cross_panel_experimental_selected,3,CDK2
raw,squared_1_minus_r2,PKIS2_experiment,cross_panel_experimental_selected,5,EGFR
raw,squared_1_minus_r2,PKIS2_experiment,cross_panel_experimental_selected,10,KIT
raw,squared_1_minus_r2,PKIS2_experiment,cross_panel_experimental_selected,11,LCK
raw,squared_1_minus_r2,PKIS2_experiment,cross_panel_experimental_selected,14,MAPK14
raw,squared_1_minus_r2,PKIS2_experiment,cross_panel_experimental_selected,16,MET
raw,squared_1_minus_r2,PKIS2_experiment,cross_panel_experimental_selected,18,PTK2
raw,squared_1_minus_r2,PKIS2_experiment,in_sample_experimental_oracle,1,AKT1
raw,squared_1_minus_r2,PKIS2_experiment,in_sample_experimental_oracle,4,CSF1R
raw,squared_1_minus_r2,PKIS2_experiment,in_sample_experimental_oracle,11,LCK
raw,squared_1_minus_r2,PKIS2_experiment,in_sample_experimental_oracle,12,MAP2K1
raw,squared_1_minus_r2,PKIS2_experiment,in_sample_experimental_oracle,14,MAPK14
raw,squared_1_minus_r2,PKIS2_experiment,in_sample_experimental_oracle,15,MAPKAPK2
raw,squared_1_minus_r2,PKIS2_experiment,in_sample_experimental_oracle,17,PLK1
raw,squared_1_minus_r2,PKIS2_experiment,in_sample_experimental_oracle,18,PTK2
row_centered_residual,signed_1_minus_r,DAVIS_experiment,Vina_selected,1,AKT1
row_centered_residual,signed_1_minus_r,DAVIS_experiment,Vina_selected,4,CSF1R
row_centered_residual,signed_1_minus_r,DAVIS_experiment,Vina_selected,5,EGFR
row_centered_residual,signed_1_minus_r,DAVIS_experiment,Vina_selected,8,JAK2
row_centered_residual,signed_1_minus_r,DAVIS_experiment,Vina_selected,9,KDR
row_centered_residual,signed_1_minus_r,DAVIS_experiment,Vina_selected,11,LCK
row_centered_residual,signed_1_minus_r,DAVIS_experiment,Vina_selected,15,MAPKAPK2
row_centered_residual,signed_1_minus_r,DAVIS_experiment,Vina_selected,18,PTK2
row_centered_residual,signed_1_minus_r,DAVIS_experiment,cross_panel_experimental_selected,1,AKT1
row_centered_residual,signed_1_minus_r,DAVIS_experiment,cross_panel_experimental_selected,4,CSF1R
row_centered_residual,signed_1_minus_r,DAVIS_experiment,cross_panel_experimental_selected,6,FGFR1
row_centered_residual,signed_1_minus_r,DAVIS_experiment,cross_panel_experimental_selected,8,JAK2
row_centered_residual,signed_1_minus_r,DAVIS_experiment,cross_panel_experimental_selected,11,LCK
row_centered_residual,signed_1_minus_r,DAVIS_experiment,cross_panel_experimental_selected,13,MAPK1
row_centered_residual,signed_1_minus_r,DAVIS_experiment,cross_panel_experimental_selected,14,MAPK14
row_centered_residual,signed_1_minus_r,DAVIS_experiment,cross_panel_experimental_selected,16,MET
row_centered_residual,signed_1_minus_r,DAVIS_experiment,in_sample_experimental_oracle,1,AKT1
row_centered_residual,signed_1_minus_r,DAVIS_experiment,in_sample_experimental_oracle,5,EGFR
row_centered_residual,signed_1_minus_r,DAVIS_experiment,in_sample_experimental_oracle,6,FGFR1
row_centered_residual,signed_1_minus_r,DAVIS_experiment,in_sample_experimental_oracle,10,KIT
row_centered_residual,signed_1_minus_r,DAVIS_experiment,in_sample_experimental_oracle,11,LCK
row_centered_residual,signed_1_minus_r,DAVIS_experiment,in_sample_experimental_oracle,12,MAP2K1
row_centered_residual,signed_1_minus_r,DAVIS_experiment,in_sample_experimental_oracle,15,MAPKAPK2
row_centered_residual,signed_1_minus_r,DAVIS_experiment,in_sample_experimental_oracle,18,PTK2
row_centered_residual,signed_1_minus_r,PKIS2_experiment,Vina_selected,1,AKT1
row_centered_residual,signed_1_minus_r,PKIS2_experiment,Vina_selected,4,CSF1R
row_centered_residual,signed_1_minus_r,PKIS2_experiment,Vina_selected,5,EGFR
row_centered_residual,signed_1_minus_r,PKIS2_experiment,Vina_selected,8,JAK2
row_centered_residual,signed_1_minus_r,PKIS2_experiment,Vina_selected,9,KDR
row_centered_residual,signed_1_minus_r,PKIS2_experiment,Vina_selected,11,LCK
row_centered_residual,signed_1_minus_r,PKIS2_experiment,Vina_selected,15,MAPKAPK2
row_centered_residual,signed_1_minus_r,PKIS2_experiment,Vina_selected,18,PTK2
row_centered_residual,signed_1_minus_r,PKIS2_experiment,cross_panel_experimental_selected,1,AKT1
row_centered_residual,signed_1_minus_r,PKIS2_experiment,cross_panel_experimental_selected,5,EGFR
row_centered_residual,signed_1_minus_r,PKIS2_experiment,cross_panel_experimental_selected,6,FGFR1
row_centered_residual,signed_1_minus_r,PKIS2_experiment,cross_panel_experimental_selected,10,KIT
row_centered_residual,signed_1_minus_r,PKIS2_experiment,cross_panel_experimental_selected,11,LCK
row_centered_residual,signed_1_minus_r,PKIS2_experiment,cross_panel_experimental_selected,12,MAP2K1
row_centered_residual,signed_1_minus_r,PKIS2_experiment,cross_panel_experimental_selected,15,MAPKAPK2
row_centered_residual,signed_1_minus_r,PKIS2_experiment,cross_panel_experimental_selected,18,PTK2
row_centered_residual,signed_1_minus_r,PKIS2_experiment,in_sample_experimental_oracle,1,AKT1
row_centered_residual,signed_1_minus_r,PKIS2_experiment,in_sample_experimental_oracle,4,CSF1R
row_centered_residual,signed_1_minus_r,PKIS2_experiment,in_sample_experimental_oracle,6,FGFR1
row_centered_residual,signed_1_minus_r,PKIS2_experiment,in_sample_experimental_oracle,8,JAK2
row_centered_residual,signed_1_minus_r,PKIS2_experiment,in_sample_experimental_oracle,11,LCK
row_centered_residual,signed_1_minus_r,PKIS2_experiment,in_sample_experimental_oracle,13,MAPK1
row_centered_residual,signed_1_minus_r,PKIS2_experiment,in_sample_experimental_oracle,14,MAPK14
row_centered_residual,signed_1_minus_r,PKIS2_experiment,in_sample_experimental_oracle,16,MET
row_centered_residual,absolute_1_minus_abs_r,DAVIS_experiment,Vina_selected,1,AKT1
row_centered_residual,absolute_1_minus_abs_r,DAVIS_experiment,Vina_selected,2,AKT2
row_centered_residual,absolute_1_minus_abs_r,DAVIS_experiment,Vina_selected,5,EGFR
row_centered_residual,absolute_1_minus_abs_r,DAVIS_experiment,Vina_selected,9,KDR
row_centered_residual,absolute_1_minus_abs_r,DAVIS_experiment,Vina_selected,13,MAPK1
row_centered_residual,absolute_1_minus_abs_r,DAVIS_experiment,Vina_selected,14,MAPK14
row_centered_residual,absolute_1_minus_abs_r,DAVIS_experiment,Vina_selected,15,MAPKAPK2
row_centered_residual,absolute_1_minus_abs_r,DAVIS_experiment,Vina_selected,18,PTK2
row_centered_residual,absolute_1_minus_abs_r,DAVIS_experiment,cross_panel_experimental_selected,2,AKT2
row_centered_residual,absolute_1_minus_abs_r,DAVIS_experiment,cross_panel_experimental_selected,4,CSF1R
row_centered_residual,absolute_1_minus_abs_r,DAVIS_experiment,cross_panel_experimental_selected,5,EGFR
row_centered_residual,absolute_1_minus_abs_r,DAVIS_experiment,cross_panel_experimental_selected,6,FGFR1
row_centered_residual,absolute_1_minus_abs_r,DAVIS_experiment,cross_panel_experimental_selected,8,JAK2
row_centered_residual,absolute_1_minus_abs_r,DAVIS_experiment,cross_panel_experimental_selected,11,LCK
row_centered_residual,absolute_1_minus_abs_r,DAVIS_experiment,cross_panel_experimental_selected,12,MAP2K1
row_centered_residual,absolute_1_minus_abs_r,DAVIS_experiment,cross_panel_experimental_selected,16,MET
row_centered_residual,absolute_1_minus_abs_r,DAVIS_experiment,in_sample_experimental_oracle,1,AKT1
row_centered_residual,absolute_1_minus_abs_r,DAVIS_experiment,in_sample_experimental_oracle,6,FGFR1
row_centered_residual,absolute_1_minus_abs_r,DAVIS_experiment,in_sample_experimental_oracle,10,KIT
row_centered_residual,absolute_1_minus_abs_r,DAVIS_experiment,in_sample_experimental_oracle,11,LCK
row_centered_residual,absolute_1_minus_abs_r,DAVIS_experiment,in_sample_experimental_oracle,14,MAPK14
row_centered_residual,absolute_1_minus_abs_r,DAVIS_experiment,in_sample_experimental_oracle,15,MAPKAPK2
row_centered_residual,absolute_1_minus_abs_r,DAVIS_experiment,in_sample_experimental_oracle,16,MET
row_centered_residual,absolute_1_minus_abs_r,DAVIS_experiment,in_sample_experimental_oracle,18,PTK2
row_centered_residual,absolute_1_minus_abs_r,PKIS2_experiment,Vina_selected,1,AKT1
row_centered_residual,absolute_1_minus_abs_r,PKIS2_experiment,Vina_selected,2,AKT2
row_centered_residual,absolute_1_minus_abs_r,PKIS2_experiment,Vina_selected,5,EGFR
row_centered_residual,absolute_1_minus_abs_r,PKIS2_experiment,Vina_selected,9,KDR
row_centered_residual,absolute_1_minus_abs_r,PKIS2_experiment,Vina_selected,13,MAPK1
row_centered_residual,absolute_1_minus_abs_r,PKIS2_experiment,Vina_selected,14,MAPK14
row_centered_residual,absolute_1_minus_abs_r,PKIS2_experiment,Vina_selected,15,MAPKAPK2
row_centered_residual,absolute_1_minus_abs_r,PKIS2_experiment,Vina_selected,18,PTK2
row_centered_residual,absolute_1_minus_abs_r,PKIS2_experiment,cross_panel_experimental_selected,1,AKT1
row_centered_residual,absolute_1_minus_abs_r,PKIS2_experiment,cross_panel_experimental_selected,6,FGFR1
row_centered_residual,absolute_1_minus_abs_r,PKIS2_experiment,cross_panel_experimental_selected,10,KIT
row_centered_residual,absolute_1_minus_abs_r,PKIS2_experiment,cross_panel_experimental_selected,11,LCK
row_centered_residual,absolute_1_minus_abs_r,PKIS2_experiment,cross_panel_experimental_selected,14,MAPK14
row_centered_residual,absolute_1_minus_abs_r,PKIS2_experiment,cross_panel_experimental_selected,15,MAPKAPK2
row_centered_residual,absolute_1_minus_abs_r,PKIS2_experiment,cross_panel_experimental_selected,16,MET
row_centered_residual,absolute_1_minus_abs_r,PKIS2_experiment,cross_panel_experimental_selected,18,PTK2
row_centered_residual,absolute_1_minus_abs_r,PKIS2_experiment,in_sample_experimental_oracle,2,AKT2
row_centered_residual,absolute_1_minus_abs_r,PKIS2_experiment,in_sample_experimental_oracle,4,CSF1R
row_centered_residual,absolute_1_minus_abs_r,PKIS2_experiment,in_sample_experimental_oracle,5,EGFR
row_centered_residual,absolute_1_minus_abs_r,PKIS2_experiment,in_sample_experimental_oracle,6,FGFR1
row_centered_residual,absolute_1_minus_abs_r,PKIS2_experiment,in_sample_experimental_oracle,8,JAK2
row_centered_residual,absolute_1_minus_abs_r,PKIS2_experiment,in_sample_experimental_oracle,11,LCK
row_centered_residual,absolute_1_minus_abs_r,PKIS2_experiment,in_sample_experimental_oracle,12,MAP2K1
row_centered_residual,absolute_1_minus_abs_r,PKIS2_experiment,in_sample_experimental_oracle,16,MET
row_centered_residual,squared_1_minus_r2,DAVIS_experiment,Vina_selected,1,AKT1
row_centered_residual,squared_1_minus_r2,DAVIS_experiment,Vina_selected,2,AKT2
row_centered_residual,squared_1_minus_r2,DAVIS_experiment,Vina_selected,5,EGFR
row_centered_residual,squared_1_minus_r2,DAVIS_experiment,Vina_selected,9,KDR
row_centered_residual,squared_1_minus_r2,DAVIS_experiment,Vina_selected,13,MAPK1
row_centered_residual,squared_1_minus_r2,DAVIS_experiment,Vina_selected,14,MAPK14
row_centered_residual,squared_1_minus_r2,DAVIS_experiment,Vina_selected,15,MAPKAPK2
row_centered_residual,squared_1_minus_r2,DAVIS_experiment,Vina_selected,18,PTK2
row_centered_residual,squared_1_minus_r2,DAVIS_experiment,cross_panel_experimental_selected,2,AKT2
row_centered_residual,squared_1_minus_r2,DAVIS_experiment,cross_panel_experimental_selected,4,CSF1R
row_centered_residual,squared_1_minus_r2,DAVIS_experiment,cross_panel_experimental_selected,5,EGFR
row_centered_residual,squared_1_minus_r2,DAVIS_experiment,cross_panel_experimental_selected,6,FGFR1
row_centered_residual,squared_1_minus_r2,DAVIS_experiment,cross_panel_experimental_selected,8,JAK2
row_centered_residual,squared_1_minus_r2,DAVIS_experiment,cross_panel_experimental_selected,11,LCK
row_centered_residual,squared_1_minus_r2,DAVIS_experiment,cross_panel_experimental_selected,12,MAP2K1
row_centered_residual,squared_1_minus_r2,DAVIS_experiment,cross_panel_experimental_selected,16,MET
row_centered_residual,squared_1_minus_r2,DAVIS_experiment,in_sample_experimental_oracle,1,AKT1
row_centered_residual,squared_1_minus_r2,DAVIS_experiment,in_sample_experimental_oracle,6,FGFR1
row_centered_residual,squared_1_minus_r2,DAVIS_experiment,in_sample_experimental_oracle,10,KIT
row_centered_residual,squared_1_minus_r2,DAVIS_experiment,in_sample_experimental_oracle,11,LCK
row_centered_residual,squared_1_minus_r2,DAVIS_experiment,in_sample_experimental_oracle,14,MAPK14
row_centered_residual,squared_1_minus_r2,DAVIS_experiment,in_sample_experimental_oracle,15,MAPKAPK2
row_centered_residual,squared_1_minus_r2,DAVIS_experiment,in_sample_experimental_oracle,16,MET
row_centered_residual,squared_1_minus_r2,DAVIS_experiment,in_sample_experimental_oracle,18,PTK2
row_centered_residual,squared_1_minus_r2,PKIS2_experiment,Vina_selected,1,AKT1
row_centered_residual,squared_1_minus_r2,PKIS2_experiment,Vina_selected,2,AKT2
row_centered_residual,squared_1_minus_r2,PKIS2_experiment,Vina_selected,5,EGFR
row_centered_residual,squared_1_minus_r2,PKIS2_experiment,Vina_selected,9,KDR
row_centered_residual,squared_1_minus_r2,PKIS2_experiment,Vina_selected,13,MAPK1
row_centered_residual,squared_1_minus_r2,PKIS2_experiment,Vina_selected,14,MAPK14
row_centered_residual,squared_1_minus_r2,PKIS2_experiment,Vina_selected,15,MAPKAPK2
row_centered_residual,squared_1_minus_r2,PKIS2_experiment,Vina_selected,18,PTK2
row_centered_residual,squared_1_minus_r2,PKIS2_experiment,cross_panel_experimental_selected,1,AKT1
row_centered_residual,squared_1_minus_r2,PKIS2_experiment,cross_panel_experimental_selected,6,FGFR1
row_centered_residual,squared_1_minus_r2,PKIS2_experiment,cross_panel_experimental_selected,10,KIT
row_centered_residual,squared_1_minus_r2,PKIS2_experiment,cross_panel_experimental_selected,11,LCK
row_centered_residual,squared_1_minus_r2,PKIS2_experiment,cross_panel_experimental_selected,14,MAPK14
row_centered_residual,squared_1_minus_r2,PKIS2_experiment,cross_panel_experimental_selected,15,MAPKAPK2
row_centered_residual,squared_1_minus_r2,PKIS2_experiment,cross_panel_experimental_selected,16,MET
row_centered_residual,squared_1_minus_r2,PKIS2_experiment,cross_panel_experimental_selected,18,PTK2
row_centered_residual,squared_1_minus_r2,PKIS2_experiment,in_sample_experimental_oracle,2,AKT2
row_centered_residual,squared_1_minus_r2,PKIS2_experiment,in_sample_experimental_oracle,4,CSF1R
row_centered_residual,squared_1_minus_r2,PKIS2_experiment,in_sample_experimental_oracle,5,EGFR
row_centered_residual,squared_1_minus_r2,PKIS2_experiment,in_sample_experimental_oracle,6,FGFR1
row_centered_residual,squared_1_minus_r2,PKIS2_experiment,in_sample_experimental_oracle,8,JAK2
row_centered_residual,squared_1_minus_r2,PKIS2_experiment,in_sample_experimental_oracle,11,LCK
row_centered_residual,squared_1_minus_r2,PKIS2_experiment,in_sample_experimental_oracle,12,MAP2K1
row_centered_residual,squared_1_minus_r2,PKIS2_experiment,in_sample_experimental_oracle,16,MET
column_rank_then_row_centered_evaluation,signed_1_minus_r,DAVIS_experiment,Vina_selected,1,AKT1
column_rank_then_row_centered_evaluation,signed_1_minus_r,DAVIS_experiment,Vina_selected,4,CSF1R
column_rank_then_row_centered_evaluation,signed_1_minus_r,DAVIS_experiment,Vina_selected,5,EGFR
column_rank_then_row_centered_evaluation,signed_1_minus_r,DAVIS_experiment,Vina_selected,8,JAK2
column_rank_then_row_centered_evaluation,signed_1_minus_r,DAVIS_experiment,Vina_selected,9,KDR
column_rank_then_row_centered_evaluation,signed_1_minus_r,DAVIS_experiment,Vina_selected,11,LCK
column_rank_then_row_centered_evaluation,signed_1_minus_r,DAVIS_experiment,Vina_selected,15,MAPKAPK2
column_rank_then_row_centered_evaluation,signed_1_minus_r,DAVIS_experiment,Vina_selected,18,PTK2
column_rank_then_row_centered_evaluation,signed_1_minus_r,DAVIS_experiment,in_sample_experimental_oracle,1,AKT1
column_rank_then_row_centered_evaluation,signed_1_minus_r,DAVIS_experiment,in_sample_experimental_oracle,5,EGFR
column_rank_then_row_centered_evaluation,signed_1_minus_r,DAVIS_experiment,in_sample_experimental_oracle,8,JAK2
column_rank_then_row_centered_evaluation,signed_1_minus_r,DAVIS_experiment,in_sample_experimental_oracle,10,KIT
column_rank_then_row_centered_evaluation,signed_1_minus_r,DAVIS_experiment,in_sample_experimental_oracle,11,LCK
column_rank_then_row_centered_evaluation,signed_1_minus_r,DAVIS_experiment,in_sample_experimental_oracle,14,MAPK14
column_rank_then_row_centered_evaluation,signed_1_minus_r,DAVIS_experiment,in_sample_experimental_oracle,16,MET
column_rank_then_row_centered_evaluation,signed_1_minus_r,DAVIS_experiment,in_sample_experimental_oracle,18,PTK2
