standard_inchikey,connectivity_block,pkis2_rows,pkis2_excel_rows,pkis2_regno,pkis2_compound,pkis2_smiles,maximum_target_experimental_range_across_duplicate_rows,dockstring_rows,dockstring_row_indices,dockstring_reported_inchikeys,maximum_target_score_range_across_duplicate_rows
BURBAFXROHRDAV-UHFFFAOYSA-N,BURBAFXROHRDAV,1,513,GI262866,UNC10225360A,Oc1ccc2ncnc(Nc3ccc(OCc4ccccc4)cc3)c2c1,0.0,1,81046,BURBAFXROHRDAV-LQFNOIFHNA-N,0.0
BVFBTDPKGZCIBA-UHFFFAOYSA-N,BVFBTDPKGZCIBA,1,124,0,TPKI-69,CN1C=CC2=C1C(OC1=CC=C(NC(=O)NC3=CC=CC=C3)C=C1)=NC=N2,0.0,1,84713,BVFBTDPKGZCIBA-DVIAZDKANA-N,0.0
CCZQCOZJIRYKNS-UHFFFAOYSA-N,CCZQCOZJIRYKNS,1,163,GW810445,UNC10224986A,Fc1ccc(cc1-c1ccc(cc1)C(=O)NCC1CC1)C(=O)NC1CC1,0.0,1,87578,CCZQCOZJIRYKNS-DVIAZDKANA-N,0.0
CNJVEOVFYHCDGZ-UHFFFAOYSA-N,CNJVEOVFYHCDGZ,1,109,0,TPKI-54,CN1N=CC2=C1C1=C(C=CC(NCC3=CC=C(F)C=C3)=C1)N(C)S2(=O)=O,0.0,1,89130,CNJVEOVFYHCDGZ-UHFFFAOYNA-N,0.0
COKWOGHRTHBMJL-UHFFFAOYSA-N,COKWOGHRTHBMJL,1,74,0,TPKI-111,CC(=O)NC1=NC2=CN=C(NC3=C(C)C=CC(NC(=O)C4=CC=CC(CCC#N)=C4)=C3)N=C2S1,0.0,1,89167,COKWOGHRTHBMJL-BIHGAMHLNA-N,0.0
CXEXTPDLKDYOMC-UHFFFAOYSA-N,CXEXTPDLKDYOMC,1,60,0,SB-226605,CCNc1nccc(n1)-c1c(ncn1C1CCN(C)CC1)-c1ccc(F)cc1,0.0,1,85930,CXEXTPDLKDYOMC-MPIMZMORNA-N,0.0
CYGVOJDKMSFPSA-UHFFFAOYSA-N,CYGVOJDKMSFPSA,1,133,0,TPKI-78,CN1C=CC2=C1C(OC1=CC=C(NC(=O)NC3=CC(=NC=C3)C(F)(F)F)C(Cl)=C1)=NC=N2,0.0,1,85908,CYGVOJDKMSFPSA-LKHHGCNMNA-N,0.0
DANPUZSWWCDWEM-UHFFFAOYSA-N,DANPUZSWWCDWEM,1,195,GSK1917008,UNC10225021A,Cc1ccc(NC(=O)c2cccc(c2)N2CCCCC2)cc1-c1ccc(cc1)C(=O)NCC1CC1,0.0,1,210833,DANPUZSWWCDWEM-WUSLAWIHNA-N,0.0
DIJIJDANNOSBAG-LLVKDONJSA-N,DIJIJDANNOSBAG,1,38,0,PFE-PKIS 33,O=C(N[C@H](C)CN1)C2=C1C3=C(C=CC(C4=CC=NC=C4)=N5)C5=CC=C3S2,0.0,1,87360,DIJIJDANNOSBAG-IDSSJSOCNA-N,0.0
DJNZZLZKAXGMMC-UHFFFAOYSA-N,DJNZZLZKAXGMMC,1,79,0,TPKI-24,COc1cc(ccc1Nc2ncc3N(C)C(=O)C(F)(F)CN(C4CCCC4)c3n2)C(=O)NC5CCN(C)CC5,0.0,1,17406,DJNZZLZKAXGMMC-WUSLAWIHNA-N,0.0
DKXHSOUZPMHNIZ-UHFFFAOYSA-N,DKXHSOUZPMHNIZ,1,22,0,PFE-PKIS 19,O=C1C2=C(NC(C3=CC=NC=C3)=C2)CCN1,0.0,1,319,DKXHSOUZPMHNIZ-YHMJCDSINA-N,0.0
DKXUHTCPDJKABE-UHFFFAOYSA-N,DKXUHTCPDJKABE,1,409,GW684374,UNC10225247A,CCCCc1nn2ncccc2c1-c1ccnc(NC2CC2)n1,0.0,1,86299,DKXUHTCPDJKABE-UYBDAZJANA-N,0.0
DTRYLKVJZPTTIX-UHFFFAOYSA-N,DTRYLKVJZPTTIX,1,73,0,TPKI-110,CC1=CC=CC(=C1)C1=C(SC(=N1)C1=CC=C(C=C1)S(C)(=O)=O)C1=CC(NCCC2=CC=CC=C2)=NC=C1,0.0,1,72080,DTRYLKVJZPTTIX-VJSLDGLSNA-N,0.0
DUACVOORSOOZRH-UHFFFAOYSA-N,DUACVOORSOOZRH,1,94,0,TPKI-39,O=C(NC1=CC=CC=C1)NC1=CC=CC(OC2=NN3C=CN=C3C=C2)=C1,0.0,1,72029,DUACVOORSOOZRH-XBTAAFKLNA-N,0.0
DWBXNQKRJAOIHK-NRFANRHFSA-N,DWBXNQKRJAOIHK,1,82,0,TPKI-27,COc1cc(ccc1Nc2ncc3N(C)C(=O)[C@@H](CC=C)CN(C4CCCC4)c3n2)C(=O)NC5CCN(C)CC5,0.0,1,71985,DWBXNQKRJAOIHK-SFGRQTOLNA-N,0.0
FAICIPSJBXCWEZ-UHFFFAOYSA-N,FAICIPSJBXCWEZ,1,122,0,TPKI-67,CN1C=CC2=C1C(OC1=CC=C(NC(=O)NC3=CC=CC(C)=C3)C=C1)=NC=N2,0.0,1,71429,FAICIPSJBXCWEZ-XBXBPLPCNA-N,0.0
FBHNLBFMQWTPTN-WBVHZDCISA-N,FBHNLBFMQWTPTN,1,192,GSK2298859,UNC10225018A,CNc1nc(cc(n1)-c1ccc2c(N)n[nH]c2c1)N1C[C@H](CC[C@H]1C)C(=O)Nc1ccccc1,0.0,1,71194,FBHNLBFMQWTPTN-OSJPWOMXNA-N,0.0
FISKNRRMNMXILF-UHFFFAOYSA-N,FISKNRRMNMXILF,1,95,0,TPKI-40,FC(F)(F)C1=CC=CC(NC(=O)NC2=CC=CC(OC3=NN4C=CN=C4C=C3)=C2)=C1,0.0,1,72357,FISKNRRMNMXILF-SPEPDGBUNA-N,0.0
FLUPOKVTJQLXSE-UHFFFAOYSA-N,FLUPOKVTJQLXSE,1,594,GW684941,UNC10225453A,CCCCc1nn2ncccc2c1-c1ccnc(Nc2ccc(cc2)N2CCN(C)CC2)n1,0.0,1,72831,FLUPOKVTJQLXSE-LBOYIXSDNA-N,0.0
FMTCKHIVPRUMEG-UHFFFAOYSA-N,FMTCKHIVPRUMEG,1,71,0,TPKI-108,CCC1=NC(=C(S1)C1=CC(NCC2=CC=CC=C2)=NC=C1)C1=CC(C)=CC=C1,0.0,1,72564,FMTCKHIVPRUMEG-HXTKINSTNA-N,0.0
FOHZGCHKLPIBBX-UHFFFAOYSA-N,FOHZGCHKLPIBBX,1,550,GW679662,UNC10225404A,Cc1nnc(o1)-c1ccc(C)c(c1)-c1ccc(cc1)C(=O)NCC1CC1,0.0,1,68874,FOHZGCHKLPIBBX-QWOVJGMINA-N,0.0
FTHCHPDGJBUELK-UHFFFAOYSA-N,FTHCHPDGJBUELK,1,393,GW868318,UNC10225229A,COCCNC(=O)c1ccc(cc1)-c1cc(cc(F)c1C)C(=O)NC1CC1,0.0,1,33474,FTHCHPDGJBUELK-DVIAZDKANA-N,0.0
FUWKNYZEQAGYBA-UHFFFAOYSA-N,FUWKNYZEQAGYBA,1,524,GSK2224810,UNC10225374A,CNc1cc(nc(N)n1)-c1ccc2c(N)n[nH]c2c1,0.0,1,68274,FUWKNYZEQAGYBA-ACBFZQEONA-N,0.0
GALNGZPXDPAWDR-QGZVFWFLSA-N,GALNGZPXDPAWDR,1,398,GSK907232,UNC10225234A,C[C@@H](Oc1cc(sc1C(N)=O)-n1cnc2cc(ccc12)-c1ccnc(NCCS(C)(=O)=O)c1)c1ccccc1Cl,0.0,1,25139,GALNGZPXDPAWDR-VKRFYONDNA-N,0.0
GBRORGYPYNNDGL-UHFFFAOYSA-N,GBRORGYPYNNDGL,1,362,GW767488,UNC10225197A,CN(C)CC(O)COc1ccc(Nc2nccc(n2)-c2cnn3nc(ccc23)N2CCOCC2)cc1,0.0,1,70086,GBRORGYPYNNDGL-LBOYIXSDNA-N,0.0
GFMMXOIFOQCCGU-UHFFFAOYSA-N,GFMMXOIFOQCCGU,1,31,0,PFE-PKIS 27,FC1=C(F)C=CC(C(NOCC2CC2)=O)=C1NC3=CC=C(I)C=C3Cl,0.0,1,14315,GFMMXOIFOQCCGU-MPIMZMORNA-N,0.0
GIWGYHXKKYZEQA-UHFFFAOYSA-N,GIWGYHXKKYZEQA,1,96,0,TPKI-41,O=C(NC1=CC=CC=C1)C1=CC=CC(OC2=NN3C=CN=C3C=C2)=C1,0.0,1,69920,GIWGYHXKKYZEQA-PKSOQXRJNA-N,0.0
GVVAOKGDOGVPSI-UHFFFAOYSA-N,GVVAOKGDOGVPSI,1,91,0,TPKI-36,FC1=CC(NC(=O)C2=CC=CN(C3=CC=CC=C3)C2=O)=CC=C1OC1=NN2C=C(NC(=O)C3CC3)N=C2C=C1,0.0,1,37742,GVVAOKGDOGVPSI-MTTPVDACNA-N,0.0
GWTAEVKZCDFFEX-UHFFFAOYSA-N,GWTAEVKZCDFFEX,1,503,SB-731284,UNC10225350A,O=C(Nc1n[nH]c2cc(ccc12)-c1cccs1)C1CC1,0.0,1,76715,GWTAEVKZCDFFEX-CUNFQGHENA-N,0.0
HABRRQSUPGOZTD-UHFFFAOYSA-N,HABRRQSUPGOZTD,1,477,GSK2221681,UNC10225323A,CC(C)Nc1cc(nc(N)n1)-c1ccc2c(N)n[nH]c2c1,0.0,1,78582,HABRRQSUPGOZTD-LHFKLLSNNA-N,0.0
HCRQPXYLXXLKPT-UHFFFAOYSA-N,HCRQPXYLXXLKPT,1,160,SB-693162/GW549034,UNC10112830A,CCn1c(nc2ccccc12)-c1nonc1N,0.0,1,78821,HCRQPXYLXXLKPT-GAJRPKRDNA-N,0.0
HEKAIDKUDLCBRU-UHFFFAOYSA-N,HEKAIDKUDLCBRU,1,70,0,TPKI-107,CCC1=NC(=C(S1)C1=CC(NC(=O)C2=CC=CC=C2)=NC=C1)C1=CC(C)=CC=C1,0.0,1,446,HEKAIDKUDLCBRU-HXTKINSTNA-N,0.0
HESLKTSGTIBHJU-UHFFFAOYSA-N,HESLKTSGTIBHJU,1,16,0,PFE-PKIS 13,O=C(CC1)NC(C1=C2)=CC=C2NC3=NC(NCC4=CC(S(C)(=O)=O)=CC=C4)=C(C(F)(F)F)C=N3,0.0,1,20645,HESLKTSGTIBHJU-MMZSQZHBNA-N,0.0
HNQXYQNMPSACKT-UHFFFAOYSA-N,HNQXYQNMPSACKT,2,197;198,GSK977617;GSK977617,UNC10225023A;UNC10225023B,NCCNS(=O)(=O)c1ccc(cc1)-c1ccnc2[nH]ccc12;NCCNS(=O)(=O)c1ccc(cc1)-c1ccnc2[nH]ccc12,35.0,1,74906,HNQXYQNMPSACKT-GPQMBLKYNA-N,0.0
HVNQYDHDQBJAAH-UHFFFAOYSA-N,HVNQYDHDQBJAAH,1,316,GSK2286096,UNC10225148A,CC(C)(C)OC(=O)NC1CCCN(C1)c1cc(nc(N)n1)-c1ccc2c(N)n[nH]c2c1,0.0,1,74033,HVNQYDHDQBJAAH-GJYLJUACNA-N,0.0
HZJDBCYRQSJNLZ-UHFFFAOYSA-N,HZJDBCYRQSJNLZ,1,491,SB-693578,UNC10225337A,c1cc2c(ccnc2[nH]1)-c1ccccc1,0.0,1,16279,HZJDBCYRQSJNLZ-YAQRNVERNA-N,0.0
IAUZTOZLTFSMIE-UHFFFAOYSA-N,IAUZTOZLTFSMIE,1,43,0,PFE-PKIS 38,O=C1NC(C2=C(C3=CC=CC=C3)C=C4C(C(C=C(O)C=C5)=C5N4)=C21)=O,0.0,1,187385,IAUZTOZLTFSMIE-QWOVJGMINA-N,0.0
IBAYIPZJRQHHLX-OAHLLOKOSA-N,IBAYIPZJRQHHLX,1,501,GSK483724,UNC10225348A,C[C@@H](Oc1cc(sc1C(N)=O)-n1cnc2ccc(cc12)-c1ccncc1)c1ccccc1Cl,0.0,1,75667,IBAYIPZJRQHHLX-QZPUJVPKNA-N,0.0
IBCXZJCWDGCXQT-UHFFFAOYSA-N,IBCXZJCWDGCXQT,1,447,GW271431,UNC10225289A,c1[nH]nc(c1-c1ccnc2ccccc12)-c1ccccn1,0.0,1,163,IBCXZJCWDGCXQT-PKSOQXRJNA-N,0.0
IFPPYSWJNWHOLQ-UHFFFAOYSA-N,IFPPYSWJNWHOLQ,1,600,SB-601273,UNC10225459A,CCN(CC)CCOc1ccc(Nc2ncc3cc(-c4c(Cl)cccc4Cl)c(=O)n(C)c3n2)cc1,0.0,1,7470,IFPPYSWJNWHOLQ-SREBMQDQNA-N,0.0
IHKGTVZWLMITRF-UHFFFAOYSA-N,IHKGTVZWLMITRF,1,312,SB-710363,UNC10225144A,Oc1ccc(cc1)-c1ccc2c(NC(=O)C3CC3)n[nH]c2n1,0.0,1,26228,IHKGTVZWLMITRF-VEWCPZSHNA-N,0.0
IJMSMJUUYYSKBT-UHFFFAOYSA-N,IJMSMJUUYYSKBT,1,563,SB-737447,UNC10225419A,O=C(Nc1n[nH]c2cc(ccc12)-c1ccco1)C1CC1,0.0,1,105042,IJMSMJUUYYSKBT-CUNFQGHENA-N,0.0
INZKYFAYQUYDOC-UHFFFAOYSA-N,INZKYFAYQUYDOC,1,75,0,TPKI-112,CC(=O)NC1=NC2=CN=C(NC3=C(C)C=CC(NC(=O)C4=CC=CC(CC(C)(C)C#N)=C4)=C3)N=C2S1,0.0,1,104297,INZKYFAYQUYDOC-DXBWVGEPNA-N,0.0
ISXAVIPPPMJTPN-UHFFFAOYSA-N,ISXAVIPPPMJTPN,1,103,0,TPKI-48,CCC1=CC=C(C=C1)C1=CC2=C(C=C1)N(C)S(=O)(=O)C1=CNN=C21,0.0,1,1062,ISXAVIPPPMJTPN-UYBDAZJANA-N,0.0
IYWBGQMZDRCNAW-UHFFFAOYSA-N,IYWBGQMZDRCNAW,1,244,GSK2219329,UNC10225075A,CN(C)c1cc(nc(N)n1)-c1ccc2c(N)n[nH]c2c1,0.0,1,106801,IYWBGQMZDRCNAW-GULFZNRMNA-N,0.0
JIJYWPGTRDMEFZ-UHFFFAOYSA-N,JIJYWPGTRDMEFZ,1,379,GSK2225749,UNC10225214A,Nc1n[nH]c2cc(ccc12)-c1cc(Nc2ccccc2)nc(N)n1,0.0,1,102688,JIJYWPGTRDMEFZ-SLUYXPQFNA-N,0.0
JIQRMBNAYWCUEG-UHFFFAOYSA-N,JIQRMBNAYWCUEG,1,363,SB-731579,UNC10225198A,CCN1CCN(CCCC(=O)Nc2n[nH]c3nc(c(Br)cc23)-c2ccc(O)cc2)CC1,0.0,1,102800,JIQRMBNAYWCUEG-XBXBPLPCNA-N,0.0
JMBATVPHKFZTAF-UHFFFAOYSA-N,JMBATVPHKFZTAF,1,85,0,TPKI-30,COc1cc(Nc2ncc3N(C)C(=O)C(F)(F)CN(C4CCCC4)c3n2)ccc1C(=O)NC5CCN(C)CC5,0.0,1,101729,JMBATVPHKFZTAF-WUSLAWIHNA-N,0.0
JOAWBRMGMMCJGS-ZBFHGGJFSA-N,JOAWBRMGMMCJGS,1,623,GSK2291363,UNC10225489A,C[C@@H]1CC[C@@H](CN1c1cc(nc(N)n1)-c1ccc2c(N)n[nH]c2c1)C(=O)NC1CCCCC1,0.0,1,102002,JOAWBRMGMMCJGS-ZZEOYSTENA-N,0.0
JONFDFIXMPXTRH-UHFFFAOYSA-N,JONFDFIXMPXTRH,1,480,GW855857,UNC10225327A,Cc1cccc(n1)-c1nc(Nc2ccncc2)c2ccccc2n1,0.0,1,102130,JONFDFIXMPXTRH-QWOVJGMINA-N,0.0
JONPLOXVIREWEK-UHFFFAOYSA-N,JONPLOXVIREWEK,1,504,GSK1326180,UNC10225351A,Fc1cccc(F)c1NC(=O)c1cc(c[nH]1)C(=O)c1ccccc1F,0.0,1,102117,JONPLOXVIREWEK-MPIMZMORNA-N,0.0
KCAJXIDMCNPGHZ-UHFFFAOYSA-N,KCAJXIDMCNPGHZ,1,47,0,PFE-PKIS 41,CC1=CC(OCC2=C(F)C=C(F)C=C2)=C(Br)C(N1C3=C(C)C=CC(C(NC)=O)=C3)=O,0.0,1,103188,KCAJXIDMCNPGHZ-HXTKINSTNA-N,0.0
KCJAPLFLYYZXFD-UHFFFAOYSA-N,KCJAPLFLYYZXFD,1,387,GW680903,UNC10225223A,COC(=O)Nc1nc2ccc(Oc3ccc(CC(=O)Nc4cc(ccc4F)C(F)(F)F)cc3)cc2[nH]1,0.0,1,103326,KCJAPLFLYYZXFD-YLQDWQFSNA-N,0.0
KFAFRWFUXQYYSW-UHFFFAOYSA-N,KFAFRWFUXQYYSW,1,132,0,TPKI-77,CN1C=CC2=C1C(OC1=CC=C(NC(=O)NC3=CC(=CN=C3)C(F)(F)F)C(Cl)=C1)=NC=N2,0.0,1,110534,KFAFRWFUXQYYSW-LKHHGCNMNA-N,0.0
KFMQOHDPKOQCMU-UHFFFAOYSA-N,KFMQOHDPKOQCMU,1,643,AH5015,UNC10243863A,Nc1ncnc2[nH]c(nc12)-c1ccccc1,0.0,1,196661,KFMQOHDPKOQCMU-BPHJGAPSNA-N,0.0
KJUCPVIVNLPLEE-UHFFFAOYSA-N,KJUCPVIVNLPLEE,1,258,GSK1804250,UNC10225089A,CC(C)c1nc(c(s1)-c1ccnc(Nc2ccc(nc2)N2CCOCC2)n1)-c1ccc(F)c(NS(=O)(=O)c2c(F)cccc2F)c1,0.0,1,110032,KJUCPVIVNLPLEE-YLHGWYNBNA-N,0.0
KKVSVOHZYJFTQM-UHFFFAOYSA-N,KKVSVOHZYJFTQM,1,93,0,TPKI-38,O=C(NC1=CC=CC=C1)NC1=CC=C(OC2=NN3C=CN=C3C=C2)C=C1,0.0,1,109904,KKVSVOHZYJFTQM-XBTAAFKLNA-N,0.0
KPILPRJNCZJVNG-UHFFFAOYSA-N,KPILPRJNCZJVNG,1,130,0,TPKI-75,CN1C=CC2=C1C(OC1=CC=C(NC(=O)NC3=CN(N=C3)C(C)(C)C)C(Cl)=C1)=NC=N2,0.0,1,29599,KPILPRJNCZJVNG-PJQSKVNONA-N,0.0
KTEIFNKAUNYNJU-GFCCVEGCSA-N,KTEIFNKAUNYNJU,1,42,0,PFE-PKIS 37,ClC1=C([C@H](OC2=C(N)N=CC(C3=CN(C4CCNCC4)N=C3)=C2)C)C(Cl)=C(F)C=C1,0.0,1,13974,KTEIFNKAUNYNJU-KIXLWBFTNA-N,0.0
LIHQCVPFINJLRH-UHFFFAOYSA-N,LIHQCVPFINJLRH,1,434,SB-222903,UNC10225274A,CNc1nccc(n1)-c1c(ncn1C1CCN(C)CC1)-c1ccc(F)cc1,0.0,1,107345,LIHQCVPFINJLRH-QWOVJGMINA-N,0.0
LOAIUSJMQXSEBK-UHFFFAOYSA-N,LOAIUSJMQXSEBK,1,388,GW819776,UNC10225224A,Cc1ccc2c(cnn2n1)-c1ccnc(Nc2ccc(cc2)C(F)(F)F)n1,0.0,1,109376,LOAIUSJMQXSEBK-LQFNOIFHNA-N,0.0
LVHOFIUXRMSCFN-UHFFFAOYSA-N,LVHOFIUXRMSCFN,1,356,GW810578,UNC10225191A,FC(F)(F)c1cc(Br)cc(Nc2nccc(n2)-c2cnn3ncccc23)c1,0.0,1,108463,LVHOFIUXRMSCFN-LNNLXFCONA-N,0.0
MAOSUPNJVJGJEU-UHFFFAOYSA-N,MAOSUPNJVJGJEU,1,562,SB-217360,UNC10225418A,Fc1ccc(cc1)-c1nc[nH]c1-c1ccncc1,0.0,1,94067,MAOSUPNJVJGJEU-GPQMBLKYNA-N,0.0
MDEAKINSCUXXNF-UHFFFAOYSA-N,MDEAKINSCUXXNF,1,211,GW775610,UNC10225036A,Cc1ccc(NC(=O)c2ccnc(c2)N2CCCCC2)cc1-c1ccc(cc1)C(=O)NCC1CC1,0.0,1,30551,MDEAKINSCUXXNF-WUSLAWIHNA-N,0.0
MKVMEJKNLUWFSQ-UHFFFAOYSA-N,MKVMEJKNLUWFSQ,1,56,0,PFE-PKIS 7,CCN(CC)CCCCNC(N=C1)=NC2=C1C=C(C(NC(NC(C)(C)C)=O)=N2)C3=C(Cl)C=CC=C3Cl,0.0,1,22731,MKVMEJKNLUWFSQ-BILZLGRLNA-N,0.0
MNHRKQKSNCFFOW-UHFFFAOYSA-N,MNHRKQKSNCFFOW,1,359,SB-249175,UNC10225194A,CCOc1nccc(n1)-c1c(ncn1C1CCNCC1)-c1ccc(F)cc1,0.0,1,95182,MNHRKQKSNCFFOW-UHFFFAOYNA-N,0.0
MUJSVAMMIKEZPF-UHFFFAOYSA-N,MUJSVAMMIKEZPF,1,411,GW514784,UNC10225249A,Fc1ccc(cc1)-c1nn2c(OCC(F)(F)F)cccc2c1-c1ccncc1,0.0,1,95017,MUJSVAMMIKEZPF-UHFFFAOYNA-N,0.0
MVCOAUNKQVWQHZ-UHFFFAOYSA-N,MVCOAUNKQVWQHZ,1,507,GW839464,UNC10225354A,Cc1ccc(cc1)-n1nc(cc1NC(=O)Nc1ccc(OCCN2CCOCC2)c2ccccc12)C(C)(C)C,0.0,1,50,MVCOAUNKQVWQHZ-MJHPXVFFNA-N,0.0
MZTUKIVBKFNLSN-UHFFFAOYSA-N,MZTUKIVBKFNLSN,1,90,0,TPKI-35,CC1=CC(=NN1C1=CC=CC=C1)C(=O)NC1=CC=C(OC2=NN3C=C(NC(=O)C4CC4)N=C3C=C2)C=C1,0.0,1,37203,MZTUKIVBKFNLSN-XYULLFFJNA-N,0.0
NDRPTJVBXDZQSJ-UHFFFAOYSA-N,NDRPTJVBXDZQSJ,1,420,SB-223132,UNC10225258A,CC(C)N1CCC(CC1)n1cnc(c1-c1ccnc(N)n1)-c1ccc(F)cc1,0.0,1,90601,NDRPTJVBXDZQSJ-TWSYTRIPNA-N,0.0
NFLNGTZCZDPIPL-UHFFFAOYSA-N,NFLNGTZCZDPIPL,1,596,SB-735297,UNC10225455A,Brc1cc2c(NC(=O)C3CC3)n[nH]c2nc1-c1cccs1,0.0,1,90388,NFLNGTZCZDPIPL-JLGFQASFNA-N,0.0
NHJSWORVNIOXIT-UHFFFAOYSA-N,NHJSWORVNIOXIT,1,34,0,PFE-PKIS 3,COC1=CC(C2=CC3=CN=C(N)N=C3N=C2NC(NC(C)(C)C)=O)=CC(OC)=C1,0.0,1,33025,NHJSWORVNIOXIT-GYRNMUDFNA-N,0.0
NPHKXSDZIKFIRU-UHFFFAOYSA-N,NPHKXSDZIKFIRU,1,351,GW554060,UNC10225185A,Nc1n[nH]c2nnc(-c3ccccc3)c(-c3ccccc3)c12,0.0,1,691,NPHKXSDZIKFIRU-CNRAGXNKNA-N,0.0
NPRGDRYIMFLLIG-HNNXBMFYSA-N,NPRGDRYIMFLLIG,1,646,GSK943949,UNC10244034A,CCn1c(nc2c(nc(OC[C@H](N)c3ccccc3)cc12)C#CC(C)(C)O)-c1nonc1N,0.0,1,19550,NPRGDRYIMFLLIG-RSQWOLPVNA-N,0.0
NPRGGISRWJDWPO-UHFFFAOYSA-N,NPRGGISRWJDWPO,1,108,0,TPKI-53,CN1N=CC2=C1C1=C(C=CC(CNC3=CC=C(F)C=C3)=C1)N(C)S2(=O)=O,0.0,1,91962,NPRGGISRWJDWPO-UHFFFAOYNA-N,0.0
NWZJBVCVSXFQRM-UHFFFAOYSA-N,NWZJBVCVSXFQRM,1,431,GW800172,UNC10225270A,Cc1ccc(cc1-c1ccc(cc1)C(=O)NCC1CC1)C(=O)NC1CCCC1,0.0,1,99498,NWZJBVCVSXFQRM-SPEPDGBUNA-N,0.0
OCINIHGZWSHFSH-UHFFFAOYSA-N,OCINIHGZWSHFSH,1,123,0,TPKI-68,CN1C=CC2=C1C(OC1=CC=C(NC(=O)NC3=CC=CC(=C3)C(F)(F)F)C(Cl)=C1)=NC=N2,0.0,1,98738,OCINIHGZWSHFSH-LKHHGCNMNA-N,0.0
OGNYUTNQZVRGMN-UHFFFAOYSA-N,OGNYUTNQZVRGMN,1,412,GSK301329,UNC10225250A,COc1cc2c(Nc3ccc(NC(=O)c4ccccc4)cc3)ncnc2cc1OCCCN1CCOCC1,0.0,1,8495,OGNYUTNQZVRGMN-MJHPXVFFNA-N,0.0
OHVZOXZMVPDEDV-UHFFFAOYSA-N,OHVZOXZMVPDEDV,1,270,GW707818,UNC10225101A,Fc1cccc(COc2ccc(Nc3ncnc4sc(cc34)-c3ccc[nH]3)cc2Cl)c1,0.0,1,100802,OHVZOXZMVPDEDV-PKRZOPRNNA-N,0.0
