drug_name,standard_inchikey,connectivity_block,davis_smiles,dockstring_rows,dockstring_row_indices,dockstring_reported_inchikeys,maximum_target_score_range_across_duplicate_rows
AZD-6244,CYOHGALHFOKKQC-UHFFFAOYSA-N,CYOHGALHFOKKQC,CN1C=NC2=C1C=C(C(=C2F)NC3=C(C=C(C=C3)Br)Cl)C(=O)NOCCO,1,15353,CYOHGALHFOKKQC-MPIMZMORNA-N,0.0
VX-680,GCIKSSRWRFVXBI-UHFFFAOYSA-N,GCIKSSRWRFVXBI,CC1=CC(=NN1)NC2=CC(=NC(=N2)SC3=CC=C(C=C3)NC(=O)C4CC4)N5CCN(CC5)C,1,58,GCIKSSRWRFVXBI-ZYBQDSMONA-N,0.0
CI-1040,GFMMXOIFOQCCGU-UHFFFAOYSA-N,GFMMXOIFOQCCGU,C1CC1CONC(=O)C2=C(C(=C(C=C2)F)F)NC3=C(C=C(C=C3)I)Cl,1,14315,GFMMXOIFOQCCGU-MPIMZMORNA-N,0.0
JNJ-28312141,GUBJNPWVIUFSTR-UHFFFAOYSA-N,GUBJNPWVIUFSTR,CN(C)CC(=O)N1CCC(CC1)C2=CC(=C(C=C2)NC(=O)C3=NC=C(N3)C#N)C4=CCCCC4,2,8799;9509,GUBJNPWVIUFSTR-XYULLFFJNA-N;GUBJNPWVIUFSTR-CYSPOYASNA-N,1.1999999999999993
INCB18424,HFNKQEVNSGCOJV-UHFFFAOYSA-N,HFNKQEVNSGCOJV,C1CCC(C1)C(CC#N)N2C=C(C=N2)C3=C4C=CNC4=NC=N3,1,13552,HFNKQEVNSGCOJV-LILDFLRNNA-N,0.0
MLN-8054,HHFBDROWDBDFBR-UHFFFAOYSA-N,HHFBDROWDBDFBR,C1C2=CN=C(N=C2C3=C(C=C(C=C3)Cl)C(=N1)C4=C(C=CC=C4F)F)NC5=CC=C(C=C5)C(=O)O,1,288,HHFBDROWDBDFBR-PINXXQJSNA-N,0.0
Nilotinib,HHZIURLSWUIHRB-UHFFFAOYSA-N,HHZIURLSWUIHRB,CC1=C(C=C(C=C1)C(=O)NC2=CC(=CC(=C2)C(F)(F)F)N3C=C(N=C3)C)NC4=NC=CC(=N4)C5=CN=CC=C5,1,16317,HHZIURLSWUIHRB-YESWCKIVNA-N,0.0
Staurosporine,HKSZLNNOFSGOKW-UHFFFAOYSA-N,HKSZLNNOFSGOKW,CC12C(C(CC(O1)N3C4=CC=CC=C4C5=C6C(=C7C8=CC=CC=C8N2C7=C53)CNC6=O)NC)OC,1,448,HKSZLNNOFSGOKW-SREBMQDQNA-N,0.0
GSK1838705A,HZTYDQRUAWIZRE-UHFFFAOYSA-N,HZTYDQRUAWIZRE,CNC(=O)C1=C(C=CC=C1F)NC2=NC(=NC3=C2C=CN3)NC4=C(C=C5CCN(C5=C4)C(=O)CN(C)C)OC,1,17786,HZTYDQRUAWIZRE-MMUUCWGANA-N,0.0
TG-101348,JOOXLOJCABQBSG-UHFFFAOYSA-N,JOOXLOJCABQBSG,CC1=CN=C(N=C1NC2=CC(=CC=C2)S(=O)(=O)NC(C)(C)C)NC3=CC=C(C=C3)OCCN4CCCC4,1,6916,JOOXLOJCABQBSG-CYSPOYASNA-N,0.0
R547,JRNJNYBQQYBCLE-UHFFFAOYSA-N,JRNJNYBQQYBCLE,COC1=C(C(=C(C=C1)F)F)C(=O)C2=CN=C(N=C2N)NC3CCN(CC3)S(=O)(=O)C,1,21383,JRNJNYBQQYBCLE-VDDAFCAXNA-N,0.0
Crizotinib,KTEIFNKAUNYNJU-UHFFFAOYSA-N,KTEIFNKAUNYNJU,CC(C1=C(C=CC(=C1Cl)F)Cl)OC2=C(N=CC(=C2)C3=CN(N=C3)C4CCNCC4)N,1,265,KTEIFNKAUNYNJU-ZFJUVRDGNA-N,0.0
Imatinib,KTUFNOKKBVMGRW-UHFFFAOYSA-N,KTUFNOKKBVMGRW,CC1=C(C=C(C=C1)NC(=O)C2=CC=C(C=C2)CN3CCN(CC3)C)NC4=NC=CC(=N4)C5=CN=CC=C5,1,3,KTUFNOKKBVMGRW-RPGFEBOUNA-N,0.0
GDC-0941,LHNIIDJUOCFXAP-UHFFFAOYSA-N,LHNIIDJUOCFXAP,CS(=O)(=O)N1CCN(CC1)CC2=CC3=C(S2)C(=NC(=N3)C4=C5C=NNC5=CC=C4)N6CCOCC6,2,108189;108190,LHNIIDJUOCFXAP-LQFNOIFHNA-N;LHNIIDJUOCFXAP-LELJVTLKNA-N,0.5999999999999996
PP-242,MFAQYJIYDMLAIM-UHFFFAOYSA-N,MFAQYJIYDMLAIM,CC(C)N1C2=NC=NC(=C2C(=N1)C3=CC4=C(N3)C=CC(=C4)O)N,1,6941,MFAQYJIYDMLAIM-HVXXBKQBNA-N,0.0
Sorafenib,MLDQJTXFUGDVEO-UHFFFAOYSA-N,MLDQJTXFUGDVEO,CNC(=O)C1=NC=CC(=C1)OC2=CC=C(C=C2)NC(=O)NC3=CC(=C(C=C3)Cl)C(F)(F)F,1,13,MLDQJTXFUGDVEO-MMZSQZHBNA-N,0.0
ABT-869,MPVGZUGXCQEXTM-UHFFFAOYSA-N,MPVGZUGXCQEXTM,CC1=CC(=C(C=C1)F)NC(=O)NC2=CC=C(C=C2)C3=C4C(=CC=C3)NN=C4N,1,313,MPVGZUGXCQEXTM-BQYZHPQKNA-N,0.0
BIRB-796,MVCOAUNKQVWQHZ-UHFFFAOYSA-N,MVCOAUNKQVWQHZ,CC1=CC=C(C=C1)N2C(=CC(=N2)C(C)(C)C)NC(=O)NC3=CC=C(C4=CC=CC=C43)OCCN5CCOCC5,1,50,MVCOAUNKQVWQHZ-MJHPXVFFNA-N,0.0
GW-2580,MYQAUKPBNJWPIE-UHFFFAOYSA-N,MYQAUKPBNJWPIE,COC1=CC=C(C=C1)COC2=C(C=C(C=C2)CC3=CN=C(N=C3N)N)OC,1,454,MYQAUKPBNJWPIE-DDPQBQDTNA-N,0.0
R406,NHHQJBCNYHBUSI-UHFFFAOYSA-N,NHHQJBCNYHBUSI,CC1(C(=O)NC2=C(O1)C=CC(=N2)NC3=NC(=NC=C3F)NC4=CC(=C(C(=C4)OC)OC)OC)C,1,229,NHHQJBCNYHBUSI-OCEIMPISNA-N,0.0
AST-487,ODPGGGTTYSGTGO-UHFFFAOYSA-N,ODPGGGTTYSGTGO,CCN1CCN(CC1)CC2=C(C=C(C=C2)NC(=O)NC3=CC=C(C=C3)OC4=NC=NC(=C4)NC)C(F)(F)F,1,5171,ODPGGGTTYSGTGO-QCCABEEWNA-N,0.0
CI-1033,OMZCMEYTWSXEPZ-UHFFFAOYSA-N,OMZCMEYTWSXEPZ,C=CC(=O)NC1=C(C=C2C(=C1)C(=NC=N2)NC3=CC(=C(C=C3)F)Cl)OCCCN4CCOCC4,1,745,OMZCMEYTWSXEPZ-CYSPOYASNA-N,0.0
BMS-387032,OUSFTKFNBAZUKL-UHFFFAOYSA-N,OUSFTKFNBAZUKL,CC(C)(C)C1=CN=C(O1)CSC2=CN=C(S2)NC(=O)C3CCNCC3,1,7934,OUSFTKFNBAZUKL-PKSOQXRJNA-N,0.0
AT-7519,OVPNQJVDAFNBDN-UHFFFAOYSA-N,OVPNQJVDAFNBDN,C1CNCCC1NC(=O)C2=C(C=NN2)NC(=O)C3=C(C=CC=C3Cl)Cl,1,97142,OVPNQJVDAFNBDN-BSJJUNIUNA-N,0.0
CHIR-258,PIQCTGMSNWUMAF-UHFFFAOYSA-N,PIQCTGMSNWUMAF,CN1CCN(CC1)C2=CC3=C(C=C2)N=C(N3)C4=C(C5=C(C=CC=C5F)NC4=O)N,1,305,PIQCTGMSNWUMAF-OLRSVKRENA-N,0.0
BMS-345541,PSPFQEBFYXJZEV-UHFFFAOYSA-N,PSPFQEBFYXJZEV,CC1=CC2=C(C=C1)N=C(C3=NC=C(N23)C)NCCN,1,21172,PSPFQEBFYXJZEV-WYUMXYHSNA-N,0.0
TAE-684,QQWUGDVOUVUTOY-UHFFFAOYSA-N,QQWUGDVOUVUTOY,CC(C)S(=O)(=O)C1=CC=CC=C1NC2=NC(=NC=C2Cl)NC3=C(C=C(C=C3)N4CCC(CC4)N5CCN(CC5)C)OC,1,298,QQWUGDVOUVUTOY-UBXIPSODNA-N,0.0
AZD-1152HQPA,QYZOGCMHVIGURT-UHFFFAOYSA-N,QYZOGCMHVIGURT,CCN(CCCOC1=CC2=C(C=C1)C(=NC=N2)NC3=NNC(=C3)CC(=O)NC4=CC(=CC=C4)F)CCO,1,259,QYZOGCMHVIGURT-YLBMWQQONA-N,0.0
AMG-706,RAHBGWKEPAQNFF-UHFFFAOYSA-N,RAHBGWKEPAQNFF,CC1(CNC2=C1C=CC(=C2)NC(=O)C3=C(N=CC=C3)NCC4=CC=NC=C4)C,1,16962,RAHBGWKEPAQNFF-JJFURXLTNA-N,0.0
AG-013736,RITAVMQDGBJQJZ-UHFFFAOYSA-N,RITAVMQDGBJQJZ,CNC(=O)C1=CC=CC=C1SC2=CC3=C(C=C2)C(=NN3)C=CC4=CC=CC=N4,1,277,RITAVMQDGBJQJZ-DXAUXPAJNA-N,0.0
Ki-20227,SHPFDGWALWEPGS-UHFFFAOYSA-N,SHPFDGWALWEPGS,CC(C1=NC=CS1)NC(=O)NC2=C(C=C(C=C2)OC3=C4C=C(C(=CC4=NC=C3)OC)OC)OC,1,14773,SHPFDGWALWEPGS-VEORKLDJNA-N,0.0
PI-103,TUVCWJQQGGETHL-UHFFFAOYSA-N,TUVCWJQQGGETHL,C1COCCN1C2=NC(=NC3=C2OC4=C3C=CC=N4)C5=CC(=CC=C5)O,1,227,TUVCWJQQGGETHL-UHFFFAOYNA-N,0.0
SKI-606,UBPYILGKFZZVDX-UHFFFAOYSA-N,UBPYILGKFZZVDX,CN1CCN(CC1)CCCOC2=C(C=C3C(=C2)N=CC(=C3NC4=CC(=C(C=C4Cl)Cl)OC)C#N)OC,1,5678,UBPYILGKFZZVDX-VJSLDGLSNA-N,0.0
Vandetanib,UHTHHESEBZOYNR-UHFFFAOYSA-N,UHTHHESEBZOYNR,CN1CCC(CC1)COC2=C(C=C3C(=C2)N=CN=C3NC4=C(C=C(C=C4)Br)F)OC,1,77,UHTHHESEBZOYNR-LELJVTLKNA-N,0.0
TG-100-115,UJIAQDJKSXQLIT-UHFFFAOYSA-N,UJIAQDJKSXQLIT,C1=CC(=CC(=C1)O)C2=NC3=C(N=C(N=C3N=C2C4=CC(=CC=C4)O)N)N,1,24831,UJIAQDJKSXQLIT-AWIDAIFANA-N,0.0
CP-690550,UJLAWZDWDVHWOW-UHFFFAOYSA-N,UJLAWZDWDVHWOW,CC1CCN(CC1N(C)C2=NC=NC3=C2C=CN3)C(=O)CC#N,1,332,UJLAWZDWDVHWOW-GPQMBLKYNA-N,0.0
MLN-518,UXXQOJXBIDBUAC-UHFFFAOYSA-N,UXXQOJXBIDBUAC,CC(C)OC1=CC=C(C=C1)NC(=O)N2CCN(CC2)C3=NC=NC4=CC(=C(C=C43)OC)OCCCN5CCCCC5,1,35,UXXQOJXBIDBUAC-ZYMSVLFVNA-N,0.0
PD-173955,VAARYSWULJUGST-UHFFFAOYSA-N,VAARYSWULJUGST,CN1C2=NC(=NC=C2C=C(C1=O)C3=C(C=CC=C3Cl)Cl)NC4=CC(=CC=C4)SC,1,12606,VAARYSWULJUGST-LNNLXFCONA-N,0.0
VX-745,VEPKQEUBKLEPRA-UHFFFAOYSA-N,VEPKQEUBKLEPRA,C1=CC(=C(C(=C1)Cl)C2=C3C=CC(=NN3C=NC2=O)SC4=C(C=C(C=C4)F)F)Cl,1,214,VEPKQEUBKLEPRA-UHFFFAOYNA-N,0.0
Sunitinib,WINHZLLDWRZWRT-UHFFFAOYSA-N,WINHZLLDWRZWRT,CCN(CC)CCNC(=O)C1=C(NC(=C1C)C=C2C3=C(C=CC(=C3)F)NC2=O)C,1,236,WINHZLLDWRZWRT-PWIKPTQSNA-N,0.0
AB-1010,WJEOLQLKVOPQFV-UHFFFAOYSA-N,WJEOLQLKVOPQFV,CC1=C(C=C(C=C1)NC(=O)C2=CC=C(C=C2)CN3CCN(CC3)C)NC4=NC(=CS4)C5=CN=CC=C5,1,17117,WJEOLQLKVOPQFV-PUXXYCQMNA-N,0.0
Gefitinib,XGALLCVXEZPNRQ-UHFFFAOYSA-N,XGALLCVXEZPNRQ,COC1=C(C=C2C(=C1)N=CN=C2NC3=CC(=C(C=C3)F)Cl)OCCCN4CCOCC4,1,11,XGALLCVXEZPNRQ-LELJVTLKNA-N,0.0
BI-2536,XQVVPGYIWAGRNI-UHFFFAOYSA-N,XQVVPGYIWAGRNI,CCC1C(=O)N(C2=CN=C(N=C2N1C3CCCC3)NC4=C(C=C(C=C4)C(=O)NC5CCN(CC5)C)OC)C,1,2668,XQVVPGYIWAGRNI-PUXXYCQMNA-N,0.0
AZD-2171,XXJWYDDUDKYVKI-UHFFFAOYSA-N,XXJWYDDUDKYVKI,CC1=CC2=C(N1)C=CC(=C2F)OC3=NC=NC4=CC(=C(C=C43)OC)OCCCN5CCCC5,1,252,XXJWYDDUDKYVKI-UHFFFAOYNA-N,0.0
CHIR-265,YABJJWZLRMPFSI-UHFFFAOYSA-N,YABJJWZLRMPFSI,CN1C2=C(C=C(C=C2)OC3=CC(=NC=C3)C4=NC=C(N4)C(F)(F)F)N=C1NC5=CC=C(C=C5)C(F)(F)F,1,16144,YABJJWZLRMPFSI-BEFZCSJLNA-N,0.0
PTK-787,YCOYDOIWSSHVCK-UHFFFAOYSA-N,YCOYDOIWSSHVCK,C1=CC=C2C(=C1)C(=NN=C2NC3=CC=C(C=C3)Cl)CC4=CC=NC=C4,1,33,YCOYDOIWSSHVCK-MPIMZMORNA-N,0.0
PLX-4720,YZDJQTHVDDOVHR-UHFFFAOYSA-N,YZDJQTHVDDOVHR,CCCS(=O)(=O)NC1=C(C(=C(C=C1)F)C(=O)C2=CNC3=C2C=C(C=N3)Cl)F,1,16477,YZDJQTHVDDOVHR-QWOVJGMINA-N,0.0
Dasatinib,ZBNZXTGUTAYRHI-UHFFFAOYSA-N,ZBNZXTGUTAYRHI,CC1=C(C(=CC=C1)Cl)NC(=O)C2=CN=C(S2)NC3=CC(=NC(=N3)C)N4CCN(CC4)CCO,1,21,ZBNZXTGUTAYRHI-VEORKLDJNA-N,0.0
LY-333531,ZCBUQCWBWNUWSU-UHFFFAOYSA-N,ZCBUQCWBWNUWSU,CN(C)CC1CCN2C=C(C3=CC=CC=C32)C4=C(C5=CN(CCO1)C6=CC=CC=C65)C(=O)NC4=O,1,13022,ZCBUQCWBWNUWSU-PKRZOPRNNA-N,0.0
