selection_source,calibration_ligands,repetition,target_index,target
calibration_sample,200,9,5,EGFR
calibration_sample,200,9,9,KDR
calibration_sample,200,9,13,MAPK1
calibration_sample,200,9,14,MAPK14
calibration_sample,200,9,15,MAPKAPK2
calibration_sample,200,9,20,SRC
calibration_sample,200,10,1,AKT1
calibration_sample,200,10,3,CDK2
calibration_sample,200,10,5,EGFR
calibration_sample,200,10,6,FGFR1
calibration_sample,200,10,7,IGF1R
calibration_sample,200,10,8,JAK2
calibration_sample,200,10,11,LCK
calibration_sample,200,10,14,MAPK14
calibration_sample,200,11,1,AKT1
calibration_sample,200,11,5,EGFR
calibration_sample,200,11,8,JAK2
calibration_sample,200,11,9,KDR
calibration_sample,200,11,11,LCK
calibration_sample,200,11,13,MAPK1
calibration_sample,200,11,14,MAPK14
calibration_sample,200,11,15,MAPKAPK2
calibration_sample,200,12,1,AKT1
calibration_sample,200,12,3,CDK2
calibration_sample,200,12,5,EGFR
calibration_sample,200,12,7,IGF1R
calibration_sample,200,12,9,KDR
calibration_sample,200,12,11,LCK
calibration_sample,200,12,17,PLK1
calibration_sample,200,12,18,PTK2
calibration_sample,200,13,1,AKT1
calibration_sample,200,13,3,CDK2
calibration_sample,200,13,4,CSF1R
calibration_sample,200,13,5,EGFR
calibration_sample,200,13,7,IGF1R
calibration_sample,200,13,9,KDR
calibration_sample,200,13,11,LCK
calibration_sample,200,13,18,PTK2
calibration_sample,200,14,1,AKT1
calibration_sample,200,14,3,CDK2
calibration_sample,200,14,4,CSF1R
calibration_sample,200,14,5,EGFR
calibration_sample,200,14,8,JAK2
calibration_sample,200,14,9,KDR
calibration_sample,200,14,11,LCK
calibration_sample,200,14,17,PLK1
calibration_sample,200,15,1,AKT1
calibration_sample,200,15,3,CDK2
calibration_sample,200,15,5,EGFR
calibration_sample,200,15,8,JAK2
calibration_sample,200,15,9,KDR
calibration_sample,200,15,11,LCK
calibration_sample,200,15,13,MAPK1
calibration_sample,200,15,14,MAPK14
calibration_sample,200,16,1,AKT1
calibration_sample,200,16,2,AKT2
calibration_sample,200,16,3,CDK2
calibration_sample,200,16,4,CSF1R
calibration_sample,200,16,7,IGF1R
calibration_sample,200,16,9,KDR
calibration_sample,200,16,18,PTK2
calibration_sample,200,16,20,SRC
calibration_sample,200,17,1,AKT1
calibration_sample,200,17,4,CSF1R
calibration_sample,200,17,5,EGFR
calibration_sample,200,17,8,JAK2
calibration_sample,200,17,9,KDR
calibration_sample,200,17,11,LCK
calibration_sample,200,17,15,MAPKAPK2
calibration_sample,200,17,18,PTK2
calibration_sample,200,18,1,AKT1
calibration_sample,200,18,2,AKT2
calibration_sample,200,18,3,CDK2
calibration_sample,200,18,4,CSF1R
calibration_sample,200,18,5,EGFR
calibration_sample,200,18,9,KDR
calibration_sample,200,18,13,MAPK1
calibration_sample,200,18,20,SRC
calibration_sample,200,19,1,AKT1
calibration_sample,200,19,3,CDK2
calibration_sample,200,19,4,CSF1R
calibration_sample,200,19,5,EGFR
calibration_sample,200,19,7,IGF1R
calibration_sample,200,19,9,KDR
calibration_sample,200,19,18,PTK2
calibration_sample,200,19,20,SRC
calibration_sample,200,20,1,AKT1
calibration_sample,200,20,3,CDK2
calibration_sample,200,20,5,EGFR
calibration_sample,200,20,7,IGF1R
calibration_sample,200,20,8,JAK2
calibration_sample,200,20,9,KDR
calibration_sample,200,20,11,LCK
calibration_sample,200,20,14,MAPK14
calibration_sample,200,21,1,AKT1
calibration_sample,200,21,2,AKT2
calibration_sample,200,21,3,CDK2
calibration_sample,200,21,4,CSF1R
calibration_sample,200,21,5,EGFR
calibration_sample,200,21,7,IGF1R
calibration_sample,200,21,9,KDR
calibration_sample,200,21,20,SRC
calibration_sample,200,22,1,AKT1
calibration_sample,200,22,2,AKT2
calibration_sample,200,22,3,CDK2
calibration_sample,200,22,4,CSF1R
calibration_sample,200,22,9,KDR
calibration_sample,200,22,15,MAPKAPK2
calibration_sample,200,22,18,PTK2
calibration_sample,200,22,20,SRC
calibration_sample,200,23,1,AKT1
calibration_sample,200,23,3,CDK2
calibration_sample,200,23,4,CSF1R
calibration_sample,200,23,5,EGFR
calibration_sample,200,23,8,JAK2
calibration_sample,200,23,9,KDR
calibration_sample,200,23,11,LCK
calibration_sample,200,23,13,MAPK1
calibration_sample,200,24,1,AKT1
calibration_sample,200,24,3,CDK2
calibration_sample,200,24,5,EGFR
calibration_sample,200,24,7,IGF1R
calibration_sample,200,24,9,KDR
calibration_sample,200,24,17,PLK1
calibration_sample,200,24,18,PTK2
calibration_sample,200,24,20,SRC
calibration_sample,200,25,1,AKT1
calibration_sample,200,25,3,CDK2
calibration_sample,200,25,5,EGFR
calibration_sample,200,25,8,JAK2
calibration_sample,200,25,9,KDR
calibration_sample,200,25,11,LCK
calibration_sample,200,25,14,MAPK14
calibration_sample,200,25,18,PTK2
calibration_sample,200,26,1,AKT1
calibration_sample,200,26,4,CSF1R
calibration_sample,200,26,7,IGF1R
calibration_sample,200,26,8,JAK2
calibration_sample,200,26,9,KDR
calibration_sample,200,26,11,LCK
calibration_sample,200,26,14,MAPK14
calibration_sample,200,26,17,PLK1
calibration_sample,200,27,1,AKT1
calibration_sample,200,27,3,CDK2
calibration_sample,200,27,4,CSF1R
calibration_sample,200,27,5,EGFR
calibration_sample,200,27,9,KDR
calibration_sample,200,27,11,LCK
calibration_sample,200,27,15,MAPKAPK2
calibration_sample,200,27,17,PLK1
calibration_sample,200,28,1,AKT1
calibration_sample,200,28,3,CDK2
calibration_sample,200,28,4,CSF1R
calibration_sample,200,28,5,EGFR
calibration_sample,200,28,9,KDR
calibration_sample,200,28,13,MAPK1
calibration_sample,200,28,18,PTK2
calibration_sample,200,28,20,SRC
calibration_sample,200,29,1,AKT1
calibration_sample,200,29,4,CSF1R
calibration_sample,200,29,5,EGFR
calibration_sample,200,29,7,IGF1R
calibration_sample,200,29,8,JAK2
calibration_sample,200,29,9,KDR
calibration_sample,200,29,15,MAPKAPK2
calibration_sample,200,29,20,SRC
calibration_sample,200,30,1,AKT1
calibration_sample,200,30,4,CSF1R
calibration_sample,200,30,5,EGFR
calibration_sample,200,30,8,JAK2
calibration_sample,200,30,9,KDR
calibration_sample,200,30,11,LCK
calibration_sample,200,30,14,MAPK14
calibration_sample,200,30,18,PTK2
calibration_sample,200,31,1,AKT1
calibration_sample,200,31,3,CDK2
calibration_sample,200,31,4,CSF1R
calibration_sample,200,31,5,EGFR
calibration_sample,200,31,8,JAK2
calibration_sample,200,31,9,KDR
calibration_sample,200,31,11,LCK
calibration_sample,200,31,17,PLK1
calibration_sample,200,32,1,AKT1
calibration_sample,200,32,3,CDK2
calibration_sample,200,32,5,EGFR
calibration_sample,200,32,9,KDR
calibration_sample,200,32,10,KIT
calibration_sample,200,32,13,MAPK1
calibration_sample,200,32,14,MAPK14
calibration_sample,200,32,20,SRC
calibration_sample,200,33,1,AKT1
calibration_sample,200,33,4,CSF1R
calibration_sample,200,33,5,EGFR
calibration_sample,200,33,8,JAK2
calibration_sample,200,33,9,KDR
calibration_sample,200,33,14,MAPK14
calibration_sample,200,33,18,PTK2
calibration_sample,200,33,20,SRC
calibration_sample,200,34,1,AKT1
calibration_sample,200,34,2,AKT2
calibration_sample,200,34,5,EGFR
calibration_sample,200,34,8,JAK2
calibration_sample,200,34,9,KDR
calibration_sample,200,34,11,LCK
calibration_sample,200,34,13,MAPK1
calibration_sample,200,34,15,MAPKAPK2
calibration_sample,200,35,1,AKT1
calibration_sample,200,35,4,CSF1R
calibration_sample,200,35,5,EGFR
calibration_sample,200,35,8,JAK2
calibration_sample,200,35,9,KDR
calibration_sample,200,35,11,LCK
calibration_sample,200,35,13,MAPK1
calibration_sample,200,35,15,MAPKAPK2
calibration_sample,200,36,1,AKT1
calibration_sample,200,36,2,AKT2
calibration_sample,200,36,3,CDK2
calibration_sample,200,36,5,EGFR
calibration_sample,200,36,8,JAK2
calibration_sample,200,36,9,KDR
calibration_sample,200,36,14,MAPK14
calibration_sample,200,36,20,SRC
calibration_sample,200,37,2,AKT2
calibration_sample,200,37,4,CSF1R
calibration_sample,200,37,5,EGFR
calibration_sample,200,37,9,KDR
calibration_sample,200,37,11,LCK
calibration_sample,200,37,12,MAP2K1
calibration_sample,200,37,17,PLK1
calibration_sample,200,37,18,PTK2
calibration_sample,200,38,1,AKT1
calibration_sample,200,38,2,AKT2
calibration_sample,200,38,3,CDK2
calibration_sample,200,38,4,CSF1R
calibration_sample,200,38,5,EGFR
calibration_sample,200,38,8,JAK2
calibration_sample,200,38,9,KDR
calibration_sample,200,38,11,LCK
calibration_sample,200,39,1,AKT1
calibration_sample,200,39,3,CDK2
calibration_sample,200,39,4,CSF1R
calibration_sample,200,39,5,EGFR
calibration_sample,200,39,8,JAK2
calibration_sample,200,39,9,KDR
calibration_sample,200,39,14,MAPK14
calibration_sample,200,39,20,SRC
calibration_sample,200,40,1,AKT1
calibration_sample,200,40,3,CDK2
calibration_sample,200,40,4,CSF1R
calibration_sample,200,40,5,EGFR
calibration_sample,200,40,8,JAK2
calibration_sample,200,40,9,KDR
calibration_sample,200,40,10,KIT
calibration_sample,200,40,20,SRC
calibration_sample,200,41,1,AKT1
calibration_sample,200,41,3,CDK2
calibration_sample,200,41,5,EGFR
calibration_sample,200,41,6,FGFR1
calibration_sample,200,41,7,IGF1R
calibration_sample,200,41,10,KIT
calibration_sample,200,41,11,LCK
calibration_sample,200,41,15,MAPKAPK2
calibration_sample,200,42,1,AKT1
calibration_sample,200,42,4,CSF1R
calibration_sample,200,42,5,EGFR
calibration_sample,200,42,8,JAK2
calibration_sample,200,42,9,KDR
calibration_sample,200,42,11,LCK
calibration_sample,200,42,14,MAPK14
calibration_sample,200,42,18,PTK2
calibration_sample,200,43,1,AKT1
calibration_sample,200,43,5,EGFR
calibration_sample,200,43,8,JAK2
calibration_sample,200,43,9,KDR
calibration_sample,200,43,11,LCK
calibration_sample,200,43,14,MAPK14
calibration_sample,200,43,15,MAPKAPK2
calibration_sample,200,43,18,PTK2
calibration_sample,200,44,1,AKT1
calibration_sample,200,44,2,AKT2
calibration_sample,200,44,3,CDK2
calibration_sample,200,44,4,CSF1R
calibration_sample,200,44,5,EGFR
calibration_sample,200,44,9,KDR
calibration_sample,200,44,11,LCK
calibration_sample,200,44,13,MAPK1
calibration_sample,200,45,1,AKT1
calibration_sample,200,45,3,CDK2
calibration_sample,200,45,4,CSF1R
calibration_sample,200,45,5,EGFR
calibration_sample,200,45,6,FGFR1
calibration_sample,200,45,8,JAK2
calibration_sample,200,45,11,LCK
calibration_sample,200,45,14,MAPK14
calibration_sample,200,46,1,AKT1
calibration_sample,200,46,3,CDK2
calibration_sample,200,46,5,EGFR
calibration_sample,200,46,9,KDR
calibration_sample,200,46,11,LCK
calibration_sample,200,46,13,MAPK1
calibration_sample,200,46,14,MAPK14
calibration_sample,200,46,15,MAPKAPK2
calibration_sample,200,47,1,AKT1
calibration_sample,200,47,2,AKT2
calibration_sample,200,47,4,CSF1R
calibration_sample,200,47,5,EGFR
calibration_sample,200,47,8,JAK2
calibration_sample,200,47,9,KDR
calibration_sample,200,47,11,LCK
calibration_sample,200,47,15,MAPKAPK2
calibration_sample,200,48,1,AKT1
calibration_sample,200,48,2,AKT2
calibration_sample,200,48,4,CSF1R
calibration_sample,200,48,5,EGFR
calibration_sample,200,48,8,JAK2
calibration_sample,200,48,9,KDR
calibration_sample,200,48,15,MAPKAPK2
calibration_sample,200,48,20,SRC
calibration_sample,200,49,1,AKT1
calibration_sample,200,49,3,CDK2
calibration_sample,200,49,4,CSF1R
calibration_sample,200,49,6,FGFR1
calibration_sample,200,49,8,JAK2
calibration_sample,200,49,11,LCK
calibration_sample,200,49,16,MET
calibration_sample,200,49,18,PTK2
calibration_sample,200,50,1,AKT1
calibration_sample,200,50,4,CSF1R
calibration_sample,200,50,5,EGFR
calibration_sample,200,50,8,JAK2
calibration_sample,200,50,9,KDR
calibration_sample,200,50,11,LCK
calibration_sample,200,50,15,MAPKAPK2
calibration_sample,200,50,18,PTK2
calibration_sample,200,51,1,AKT1
calibration_sample,200,51,3,CDK2
calibration_sample,200,51,4,CSF1R
calibration_sample,200,51,5,EGFR
calibration_sample,200,51,6,FGFR1
calibration_sample,200,51,8,JAK2
calibration_sample,200,51,9,KDR
calibration_sample,200,51,11,LCK
calibration_sample,200,52,1,AKT1
calibration_sample,200,52,4,CSF1R
calibration_sample,200,52,5,EGFR
calibration_sample,200,52,7,IGF1R
calibration_sample,200,52,8,JAK2
calibration_sample,200,52,9,KDR
calibration_sample,200,52,13,MAPK1
calibration_sample,200,52,20,SRC
calibration_sample,200,53,4,CSF1R
calibration_sample,200,53,5,EGFR
calibration_sample,200,53,8,JAK2
calibration_sample,200,53,9,KDR
calibration_sample,200,53,11,LCK
calibration_sample,200,53,14,MAPK14
calibration_sample,200,53,15,MAPKAPK2
calibration_sample,200,53,19,ROCK1
calibration_sample,200,54,1,AKT1
calibration_sample,200,54,4,CSF1R
calibration_sample,200,54,5,EGFR
calibration_sample,200,54,8,JAK2
calibration_sample,200,54,9,KDR
calibration_sample,200,54,13,MAPK1
calibration_sample,200,54,14,MAPK14
calibration_sample,200,54,20,SRC
calibration_sample,200,55,1,AKT1
calibration_sample,200,55,2,AKT2
calibration_sample,200,55,4,CSF1R
calibration_sample,200,55,6,FGFR1
calibration_sample,200,55,8,JAK2
calibration_sample,200,55,9,KDR
calibration_sample,200,55,15,MAPKAPK2
calibration_sample,200,55,20,SRC
calibration_sample,200,56,4,CSF1R
calibration_sample,200,56,5,EGFR
calibration_sample,200,56,7,IGF1R
calibration_sample,200,56,9,KDR
calibration_sample,200,56,14,MAPK14
calibration_sample,200,56,15,MAPKAPK2
calibration_sample,200,56,19,ROCK1
calibration_sample,200,56,20,SRC
calibration_sample,200,57,1,AKT1
calibration_sample,200,57,3,CDK2
calibration_sample,200,57,4,CSF1R
calibration_sample,200,57,9,KDR
calibration_sample,200,57,10,KIT
calibration_sample,200,57,11,LCK
calibration_sample,200,57,14,MAPK14
calibration_sample,200,57,18,PTK2
calibration_sample,200,58,1,AKT1
calibration_sample,200,58,4,CSF1R
calibration_sample,200,58,5,EGFR
calibration_sample,200,58,8,JAK2
calibration_sample,200,58,9,KDR
calibration_sample,200,58,11,LCK
calibration_sample,200,58,13,MAPK1
calibration_sample,200,58,18,PTK2
calibration_sample,200,59,1,AKT1
calibration_sample,200,59,4,CSF1R
calibration_sample,200,59,5,EGFR
calibration_sample,200,59,7,IGF1R
calibration_sample,200,59,8,JAK2
calibration_sample,200,59,9,KDR
calibration_sample,200,59,11,LCK
calibration_sample,200,59,15,MAPKAPK2
calibration_sample,200,60,1,AKT1
calibration_sample,200,60,3,CDK2
calibration_sample,200,60,4,CSF1R
calibration_sample,200,60,5,EGFR
calibration_sample,200,60,8,JAK2
calibration_sample,200,60,9,KDR
calibration_sample,200,60,10,KIT
calibration_sample,200,60,11,LCK
calibration_sample,200,61,1,AKT1
calibration_sample,200,61,4,CSF1R
calibration_sample,200,61,5,EGFR
calibration_sample,200,61,7,IGF1R
calibration_sample,200,61,9,KDR
calibration_sample,200,61,15,MAPKAPK2
calibration_sample,200,61,18,PTK2
calibration_sample,200,61,20,SRC
calibration_sample,200,62,1,AKT1
calibration_sample,200,62,3,CDK2
calibration_sample,200,62,4,CSF1R
calibration_sample,200,62,8,JAK2
calibration_sample,200,62,9,KDR
calibration_sample,200,62,10,KIT
calibration_sample,200,62,18,PTK2
calibration_sample,200,62,20,SRC
calibration_sample,200,63,4,CSF1R
calibration_sample,200,63,5,EGFR
calibration_sample,200,63,7,IGF1R
calibration_sample,200,63,9,KDR
calibration_sample,200,63,13,MAPK1
calibration_sample,200,63,15,MAPKAPK2
calibration_sample,200,63,19,ROCK1
calibration_sample,200,63,20,SRC
calibration_sample,200,64,1,AKT1
calibration_sample,200,64,3,CDK2
calibration_sample,200,64,4,CSF1R
calibration_sample,200,64,5,EGFR
calibration_sample,200,64,7,IGF1R
calibration_sample,200,64,8,JAK2
calibration_sample,200,64,9,KDR
calibration_sample,200,64,11,LCK
calibration_sample,200,65,1,AKT1
calibration_sample,200,65,2,AKT2
calibration_sample,200,65,3,CDK2
calibration_sample,200,65,4,CSF1R
calibration_sample,200,65,5,EGFR
calibration_sample,200,65,6,FGFR1
calibration_sample,200,65,7,IGF1R
calibration_sample,200,65,20,SRC
calibration_sample,200,66,1,AKT1
calibration_sample,200,66,3,CDK2
calibration_sample,200,66,4,CSF1R
calibration_sample,200,66,5,EGFR
calibration_sample,200,66,9,KDR
calibration_sample,200,66,11,LCK
calibration_sample,200,66,13,MAPK1
calibration_sample,200,66,15,MAPKAPK2
calibration_sample,200,67,1,AKT1
calibration_sample,200,67,3,CDK2
calibration_sample,200,67,5,EGFR
calibration_sample,200,67,7,IGF1R
calibration_sample,200,67,9,KDR
calibration_sample,200,67,11,LCK
calibration_sample,200,67,17,PLK1
calibration_sample,200,67,18,PTK2
calibration_sample,200,68,1,AKT1
calibration_sample,200,68,2,AKT2
calibration_sample,200,68,4,CSF1R
calibration_sample,200,68,5,EGFR
calibration_sample,200,68,7,IGF1R
calibration_sample,200,68,9,KDR
calibration_sample,200,68,18,PTK2
calibration_sample,200,68,20,SRC
calibration_sample,200,69,1,AKT1
calibration_sample,200,69,4,CSF1R
calibration_sample,200,69,5,EGFR
calibration_sample,200,69,8,JAK2
calibration_sample,200,69,9,KDR
calibration_sample,200,69,11,LCK
calibration_sample,200,69,15,MAPKAPK2
calibration_sample,200,69,18,PTK2
calibration_sample,200,70,1,AKT1
calibration_sample,200,70,4,CSF1R
calibration_sample,200,70,5,EGFR
calibration_sample,200,70,8,JAK2
calibration_sample,200,70,9,KDR
calibration_sample,200,70,11,LCK
calibration_sample,200,70,15,MAPKAPK2
calibration_sample,200,70,18,PTK2
calibration_sample,200,71,1,AKT1
calibration_sample,200,71,3,CDK2
calibration_sample,200,71,4,CSF1R
calibration_sample,200,71,5,EGFR
calibration_sample,200,71,7,IGF1R
calibration_sample,200,71,9,KDR
calibration_sample,200,71,11,LCK
calibration_sample,200,71,15,MAPKAPK2
calibration_sample,200,72,1,AKT1
calibration_sample,200,72,3,CDK2
calibration_sample,200,72,4,CSF1R
calibration_sample,200,72,5,EGFR
calibration_sample,200,72,7,IGF1R
calibration_sample,200,72,9,KDR
calibration_sample,200,72,13,MAPK1
calibration_sample,200,72,20,SRC
calibration_sample,200,73,1,AKT1
calibration_sample,200,73,3,CDK2
calibration_sample,200,73,5,EGFR
calibration_sample,200,73,7,IGF1R
calibration_sample,200,73,9,KDR
calibration_sample,200,73,11,LCK
calibration_sample,200,73,17,PLK1
calibration_sample,200,73,18,PTK2
calibration_sample,200,74,3,CDK2
calibration_sample,200,74,4,CSF1R
calibration_sample,200,74,5,EGFR
calibration_sample,200,74,9,KDR
calibration_sample,200,74,12,MAP2K1
calibration_sample,200,74,14,MAPK14
calibration_sample,200,74,18,PTK2
calibration_sample,200,74,20,SRC
calibration_sample,200,75,1,AKT1
calibration_sample,200,75,4,CSF1R
calibration_sample,200,75,5,EGFR
calibration_sample,200,75,7,IGF1R
calibration_sample,200,75,8,JAK2
calibration_sample,200,75,9,KDR
calibration_sample,200,75,11,LCK
calibration_sample,200,75,15,MAPKAPK2
calibration_sample,200,76,3,CDK2
calibration_sample,200,76,4,CSF1R
calibration_sample,200,76,5,EGFR
calibration_sample,200,76,7,IGF1R
calibration_sample,200,76,9,KDR
calibration_sample,200,76,18,PTK2
calibration_sample,200,76,19,ROCK1
calibration_sample,200,76,20,SRC
calibration_sample,200,77,1,AKT1
calibration_sample,200,77,4,CSF1R
calibration_sample,200,77,5,EGFR
calibration_sample,200,77,9,KDR
calibration_sample,200,77,15,MAPKAPK2
calibration_sample,200,77,17,PLK1
calibration_sample,200,77,18,PTK2
calibration_sample,200,77,20,SRC
calibration_sample,200,78,1,AKT1
calibration_sample,200,78,2,AKT2
calibration_sample,200,78,3,CDK2
calibration_sample,200,78,4,CSF1R
calibration_sample,200,78,5,EGFR
calibration_sample,200,78,6,FGFR1
calibration_sample,200,78,7,IGF1R
calibration_sample,200,78,20,SRC
calibration_sample,200,79,4,CSF1R
calibration_sample,200,79,5,EGFR
calibration_sample,200,79,8,JAK2
calibration_sample,200,79,9,KDR
calibration_sample,200,79,11,LCK
calibration_sample,200,79,15,MAPKAPK2
calibration_sample,200,79,18,PTK2
calibration_sample,200,79,19,ROCK1
calibration_sample,200,80,4,CSF1R
calibration_sample,200,80,5,EGFR
calibration_sample,200,80,8,JAK2
calibration_sample,200,80,9,KDR
calibration_sample,200,80,11,LCK
calibration_sample,200,80,15,MAPKAPK2
calibration_sample,200,80,18,PTK2
calibration_sample,200,80,19,ROCK1
calibration_sample,200,81,4,CSF1R
calibration_sample,200,81,5,EGFR
calibration_sample,200,81,7,IGF1R
calibration_sample,200,81,8,JAK2
calibration_sample,200,81,9,KDR
calibration_sample,200,81,11,LCK
calibration_sample,200,81,15,MAPKAPK2
calibration_sample,200,81,19,ROCK1
calibration_sample,200,82,1,AKT1
calibration_sample,200,82,3,CDK2
calibration_sample,200,82,4,CSF1R
calibration_sample,200,82,5,EGFR
calibration_sample,200,82,9,KDR
calibration_sample,200,82,11,LCK
calibration_sample,200,82,13,MAPK1
calibration_sample,200,82,14,MAPK14
calibration_sample,200,83,1,AKT1
calibration_sample,200,83,5,EGFR
calibration_sample,200,83,7,IGF1R
calibration_sample,200,83,8,JAK2
calibration_sample,200,83,9,KDR
calibration_sample,200,83,11,LCK
calibration_sample,200,83,15,MAPKAPK2
calibration_sample,200,83,18,PTK2
calibration_sample,200,84,1,AKT1
calibration_sample,200,84,3,CDK2
calibration_sample,200,84,5,EGFR
calibration_sample,200,84,8,JAK2
calibration_sample,200,84,9,KDR
calibration_sample,200,84,11,LCK
calibration_sample,200,84,15,MAPKAPK2
calibration_sample,200,84,18,PTK2
calibration_sample,200,85,1,AKT1
calibration_sample,200,85,4,CSF1R
calibration_sample,200,85,5,EGFR
calibration_sample,200,85,8,JAK2
calibration_sample,200,85,9,KDR
calibration_sample,200,85,11,LCK
calibration_sample,200,85,14,MAPK14
calibration_sample,200,85,18,PTK2
calibration_sample,200,86,1,AKT1
calibration_sample,200,86,3,CDK2
calibration_sample,200,86,4,CSF1R
calibration_sample,200,86,5,EGFR
calibration_sample,200,86,7,IGF1R
calibration_sample,200,86,9,KDR
calibration_sample,200,86,11,LCK
calibration_sample,200,86,13,MAPK1
calibration_sample,200,87,1,AKT1
calibration_sample,200,87,2,AKT2
calibration_sample,200,87,5,EGFR
calibration_sample,200,87,6,FGFR1
calibration_sample,200,87,7,IGF1R
calibration_sample,200,87,11,LCK
calibration_sample,200,87,15,MAPKAPK2
calibration_sample,200,87,18,PTK2
calibration_sample,200,88,1,AKT1
calibration_sample,200,88,4,CSF1R
calibration_sample,200,88,5,EGFR
calibration_sample,200,88,6,FGFR1
calibration_sample,200,88,7,IGF1R
calibration_sample,200,88,8,JAK2
calibration_sample,200,88,9,KDR
calibration_sample,200,88,11,LCK
calibration_sample,200,89,1,AKT1
calibration_sample,200,89,2,AKT2
calibration_sample,200,89,4,CSF1R
calibration_sample,200,89,5,EGFR
calibration_sample,200,89,8,JAK2
calibration_sample,200,89,9,KDR
calibration_sample,200,89,11,LCK
calibration_sample,200,89,13,MAPK1
calibration_sample,200,90,1,AKT1
calibration_sample,200,90,4,CSF1R
calibration_sample,200,90,5,EGFR
calibration_sample,200,90,6,FGFR1
calibration_sample,200,90,8,JAK2
calibration_sample,200,90,9,KDR
calibration_sample,200,90,15,MAPKAPK2
calibration_sample,200,90,20,SRC
calibration_sample,200,91,1,AKT1
calibration_sample,200,91,3,CDK2
calibration_sample,200,91,5,EGFR
calibration_sample,200,91,7,IGF1R
calibration_sample,200,91,9,KDR
calibration_sample,200,91,13,MAPK1
calibration_sample,200,91,15,MAPKAPK2
calibration_sample,200,91,20,SRC
calibration_sample,200,92,4,CSF1R
calibration_sample,200,92,5,EGFR
calibration_sample,200,92,7,IGF1R
calibration_sample,200,92,9,KDR
calibration_sample,200,92,10,KIT
calibration_sample,200,92,13,MAPK1
calibration_sample,200,92,19,ROCK1
calibration_sample,200,92,20,SRC
calibration_sample,200,93,2,AKT2
calibration_sample,200,93,4,CSF1R
calibration_sample,200,93,7,IGF1R
calibration_sample,200,93,9,KDR
calibration_sample,200,93,11,LCK
calibration_sample,200,93,12,MAP2K1
calibration_sample,200,93,17,PLK1
calibration_sample,200,93,18,PTK2
calibration_sample,200,94,1,AKT1
calibration_sample,200,94,3,CDK2
calibration_sample,200,94,4,CSF1R
calibration_sample,200,94,5,EGFR
calibration_sample,200,94,9,KDR
calibration_sample,200,94,11,LCK
calibration_sample,200,94,14,MAPK14
calibration_sample,200,94,18,PTK2
calibration_sample,200,95,1,AKT1
calibration_sample,200,95,2,AKT2
calibration_sample,200,95,3,CDK2
calibration_sample,200,95,4,CSF1R
calibration_sample,200,95,5,EGFR
calibration_sample,200,95,9,KDR
