path,bytes,sha256,role,source,version,license,redistribution
data/frozen/negative_results_paper/analysis/pc1_physics_summary.json,1018,23cebae3a625aada71f1da3f8a62ce5577096a64b0e59ccc1059de23afcb8831,Pocket-score correlation summary,Derived by the manuscript authors from wwPDB structures,frozen seed 0,CC BY 4.0,Included; source structures are CC0
data/frozen/toxicodynamics/data/44pockets_analysis.csv,2832,23895ada5d71a2121540f9f010c82949000efe2b66a5ef207a067f3bf63d46ec,Pocket descriptors for the shared-score-axis control,Derived by the manuscript authors from wwPDB structures,frozen 2026-07-30,CC BY 4.0,Included; source structures are CC0
data/frozen/davis_complete.tab.gz,581856,e5614549ec970bf24bd58d04d8a74feb8f8a53806410eaa8d84d24e96a4ff827,Dense DAVIS-Complete kinase-affinity table including SMILES and target sequences,Wu 2025 A Complete and Modification-Aware DAVIS Dataset Harvard Dataverse doi:10.7910/DVN/RTQGP1,V3 TSV export downloaded 2026-07-30,CC0-1.0,Exact upstream TSV export recompressed without content changes; cite Wu 2025 and Davis et al. 2011
data/frozen/pkis2_s4.xlsx,1264461,48ead22a1f860cd0d5096fa87d5acd329f722fe8d65e693bb0be682a333e2a2c,Dense PKIS2 KINOMEscan percent-displacement panel,Drewry et al. PLOS ONE 2017 doi:10.1371/journal.pone.0181585 S4 Table,official S4 file downloaded 2026-08-01,CC BY 4.0,Included under source license
data/frozen/negative_results_paper/analysis/review_matched_exp_docking_summary.json,2643,afa353d18c32e05ad5978e67ee2959db5ee20c7a92a0e188be093816451f790b,22-target experimental comparison,Derived by the manuscript authors from ChEMBL 34 and docking,frozen seed 0,CC BY-SA 3.0,Included under ChEMBL-compatible terms
data/frozen/negative_results_paper/analysis/chembl_matched_stats_summary.json,1254,4a1abe0b0ca69115518cb06c156b16cac4e373e0ced01349b25bde6c3c2e3cba,Matched 74x6 bootstrap summary,Derived by the manuscript authors from ChEMBL 34 and docking,frozen seed 0,CC BY-SA 3.0,Included under ChEMBL-compatible terms
data/target_families.csv,5617,bc313ba0d28d7de7981a67c0088d44cb7cdd86c09e7b319bfb2e609040e3c9a6,Broad target-family labels for stratified subsampling,Curated by the manuscript authors,version 1,CC BY 4.0,Included
data/frozen/dockstring_identity_contract_2026-08-03.csv.gz,10817845,5c5d06635cb276f543f9744487d6b8d4015432087e5f87b7875628973b8f32b3,Raw and RDKit-standardized DOCKSTRING molecular identity contract,Derived from DOCKSTRING v1 with RDKit 2025.03.6,frozen 2026-08-03 schema 1,Apache-2.0,Included as a reproducible derived artifact
data/frozen/dockstring_identity_contract_2026-08-03.provenance.json,1758,a448285ffe5b9ced1f82179ae59e29fe1f74b6a5050ac55f1173fb1106963459,Provenance for the DOCKSTRING chemical identity contract,Derived from DOCKSTRING v1 with RDKit 2025.03.6,frozen 2026-08-03 schema 1,Apache-2.0,Included as machine-readable provenance
data/frozen/chembl_dockstring_ranking_activities_2026-08-05.csv.gz,4046213,10f99671b9cb126510ca84a6838a52b3791b3508d3490a043929d8054e2dc23a,Floor-free ChEMBL activities for the 31 mapped DOCKSTRING targets used by the broad ligand-wise ranking benchmark,ChEMBL release 34 web services via analysis/fetch_chembl_dockstring_ranking_activities.py,retrieved 2026-08-05,CC BY-SA 3.0,Included as a derived row-level extract under the ChEMBL license
data/frozen/chembl_dockstring_ranking_activities_2026-08-05.provenance.json,5761,28b32c41f6ef149ca4b6adc71397c5bf1e81cb6110cadc79873bec8c4c0896d8,Provenance and self-validation record for the floor-free ChEMBL extract,ChEMBL release 34 web services,retrieved 2026-08-05,CC BY-SA 3.0,Included as machine-readable provenance
