target_a,target_b,primary_replicated_positive,number_of_panels_in_top_10_percent,DAVIS_centered_pair_percentile,PKIS2_centered_pair_percentile,PKIS1_centered_pair_percentile,mean_experimental_centered_pair_percentile,raw_docking_pair_percentile,centered_docking_pair_percentile,receptor_domain_sequence_identity
AKT2,PLK1,False,0,0.8236842105263158,0.7763157894736842,0.7026315789473684,0.7675438596491229,0.75,0.55,0.2148997134670487
IGF1R,MAP2K1,False,0,0.6447368421052632,0.8289473684210527,0.8236842105263158,0.7657894736842105,0.4394736842105263,0.4394736842105263,0.19940476190476192
CSF1R,SRC,False,0,0.6394736842105263,0.7973684210526316,0.8394736842105263,0.7587719298245613,0.4710526315789474,0.5447368421052632,0.30103806228373703
EGFR,LCK,False,0,0.7657894736842106,0.8605263157894737,0.6394736842105263,0.7552631578947367,0.7973684210526316,0.4868421052631579,0.3090909090909091
PLK1,ROCK1,False,0,0.85,0.7605263157894737,0.6342105263157894,0.7482456140350878,0.8921052631578947,0.7710526315789473,0.2125748502994012
MAP2K1,MAPKAPK2,False,1,0.5815789473684211,0.6973684210526315,0.95,0.7429824561403509,0.8710526315789474,0.6552631578947369,0.22018348623853212
FGFR1,KDR,False,1,0.9078947368421053,0.8131578947368421,0.5026315789473684,0.7412280701754387,0.4131578947368421,0.9763157894736842,0.42724458204334365
MAP2K1,ROCK1,False,1,0.6973684210526315,0.5763157894736842,0.9447368421052632,0.7394736842105263,0.9763157894736842,0.9605263157894737,0.2391304347826087
FGFR1,JAK2,False,0,0.8131578947368421,0.7289473684210527,0.6710526315789473,0.7377192982456141,0.0868421052631579,0.04473684210526316,0.33214285714285713
JAK2,MAP2K1,False,0,0.7921052631578948,0.5131578947368421,0.8868421052631579,0.730701754385965,0.5184210526315789,0.3131578947368421,0.234375
MAPK1,MAPK14,False,0,0.8552631578947368,0.6078947368421053,0.7289473684210527,0.730701754385965,0.27631578947368424,0.22894736842105262,0.4444444444444444
MAP2K1,MAPK1,False,1,0.3394736842105263,0.8342105263157895,0.9921052631578947,0.7219298245614035,0.4236842105263158,0.26052631578947366,0.2331288343558282
AKT2,IGF1R,False,0,0.7394736842105263,0.85,0.5657894736842105,0.718421052631579,0.4026315789473684,0.40789473684210525,0.15706806282722513
CDK2,MAPKAPK2,False,1,0.95,0.8710526315789474,0.3131578947368421,0.7114035087719298,0.9815789473684211,0.8921052631578947,0.20569620253164558
CDK2,IGF1R,False,0,0.7447368421052631,0.8657894736842106,0.5131578947368421,0.7078947368421052,0.6973684210526315,0.8394736842105263,0.19076923076923077
CDK2,MAP2K1,False,0,0.618421052631579,0.6657894736842105,0.8184210526315789,0.7008771929824561,0.8236842105263158,0.65,0.2653061224489796
AKT1,IGF1R,False,0,0.7552631578947369,0.7552631578947369,0.5605263157894737,0.6903508771929824,0.45,0.4710526315789474,0.18404907975460122
IGF1R,ROCK1,False,0,0.7868421052631579,0.5552631578947368,0.7236842105263158,0.6885964912280702,0.5289473684210526,0.5815789473684211,0.19540229885057472
AKT2,CDK2,False,0,0.8973684210526316,0.8078947368421052,0.32894736842105265,0.6780701754385965,0.8078947368421052,0.5973684210526315,0.23943661971830985
EGFR,MAPK14,False,0,0.6921052631578948,0.7447368421052631,0.5973684210526315,0.6780701754385965,0.6131578947368421,0.3078947368421053,0.22184300341296928
MAPKAPK2,MET,False,0,0.6763157894736842,0.6131578947368421,0.7447368421052631,0.6780701754385965,0.4342105263157895,0.3026315789473684,0.1826625386996904
IGF1R,MET,False,0,0.8026315789473685,0.8394736842105263,0.3868421052631579,0.6763157894736841,0.19736842105263158,0.28157894736842104,0.3402777777777778
JAK2,MET,False,0,0.65,0.6394736842105263,0.7394736842105263,0.6763157894736841,0.23421052631578948,0.15526315789473685,0.2881944444444444
MAP2K1,PLK1,False,0,0.4921052631578947,0.8026315789473685,0.7342105263157894,0.6763157894736841,0.7710526315789473,0.6710526315789473,0.19571865443425077
EGFR,MAPK1,False,0,0.781578947368421,0.5447368421052632,0.6815789473684211,0.6692982456140352,0.7026315789473684,0.5921052631578947,0.20848056537102475
JAK2,PLK1,False,0,0.718421052631579,0.7026315789473684,0.5710526315789474,0.6640350877192982,0.9131578947368421,0.9236842105263158,0.2791519434628975
IGF1R,JAK2,False,0,0.7289473684210527,0.5394736842105263,0.7131578947368421,0.6605263157894737,0.6710526315789473,0.8868421052631579,0.2597864768683274
CDK2,PLK1,False,0,0.7763157894736842,0.8552631578947368,0.3447368421052632,0.6587719298245615,0.9552631578947368,0.7868421052631579,0.21543408360128619
EGFR,MAP2K1,False,0,0.6131578947368421,0.7710526315789473,0.5868421052631579,0.6570175438596492,0.8552631578947368,0.7973684210526316,0.21686746987951808
AKT2,MAPK14,False,0,0.7342105263157894,0.5921052631578947,0.6289473684210526,0.6517543859649123,0.4763157894736842,0.3605263157894737,0.22099447513812154
KDR,LCK,False,0,0.3026315789473684,0.781578947368421,0.8657894736842106,0.65,0.007894736842105263,0.007894736842105263,0.2966360856269113
AKT2,EGFR,False,0,0.6710526315789473,0.5973684210526315,0.6763157894736842,0.6482456140350877,0.6921052631578948,0.3394736842105263,0.1880108991825613
EGFR,SRC,False,0,0.7710526315789473,0.7657894736842106,0.37105263157894736,0.6359649122807017,0.7289473684210527,0.44473684210526315,0.30916030534351147
AKT1,MAPK14,False,0,0.7236842105263158,0.5342105263157895,0.6447368421052632,0.6342105263157896,0.48157894736842105,0.35,0.246875
MAPK1,MET,False,0,0.6868421052631579,0.6026315789473684,0.6131578947368421,0.6342105263157894,0.31842105263157894,0.45,0.23255813953488372
AKT1,CDK2,False,0,0.8710526315789474,0.6921052631578948,0.3236842105263158,0.6289473684210527,0.8763157894736842,0.8184210526315789,0.22096317280453256
AKT1,JAK2,False,0,0.3815789473684211,0.718421052631579,0.7763157894736842,0.625438596491228,0.6447368421052632,0.5184210526315789,0.21621621621621623
AKT1,EGFR,False,0,0.6657894736842105,0.5184210526315789,0.6657894736842105,0.6166666666666666,0.7131578947368421,0.618421052631579,0.18911174785100288
FGFR1,PLK1,False,0,0.5026315789473684,0.6868421052631579,0.6552631578947369,0.6149122807017545,0.17105263157894737,0.10263157894736842,0.23655913978494625
CDK2,ROCK1,False,1,0.9026315789473685,0.4921052631578947,0.44473684210526315,0.6131578947368421,0.9710526315789474,0.8605263157894737,0.2344632768361582
KDR,SRC,False,0,0.2394736842105263,0.6815789473684211,0.8921052631578947,0.6043859649122807,0.013157894736842105,0.018421052631578946,0.2894736842105263
JAK2,MAPKAPK2,False,1,0.41842105263157897,0.45,0.9394736842105263,0.6026315789473684,0.8657894736842106,0.8131578947368421,0.22789115646258504
AKT2,JAK2,False,0,0.4131578947368421,0.6236842105263158,0.7657894736842106,0.6008771929824562,0.5868421052631579,0.37105263157894736,0.19662921348314608
MAP2K1,MET,False,0,0.6815789473684211,0.4342105263157895,0.6868421052631579,0.6008771929824561,0.35526315789473684,0.36578947368421055,0.19938650306748465
AKT1,FGFR1,False,0,0.35,0.75,0.6921052631578948,0.5973684210526317,0.12368421052631579,0.11315789473684211,0.21036585365853658
JAK2,MAPK1,False,0,0.3078947368421053,0.5815789473684211,0.8973684210526316,0.5956140350877194,0.7447368421052631,0.9131578947368421,0.23809523809523808
FGFR1,IGF1R,False,0,0.7131578947368421,0.65,0.4236842105263158,0.5956140350877193,0.06578947368421052,0.12894736842105264,0.37969924812030076
AKT1,MAP2K1,False,0,0.4236842105263158,0.55,0.8078947368421052,0.5938596491228071,0.9868421052631579,0.9868421052631579,0.22522522522522523
AKT2,MAP2K1,False,0,0.44473684210526315,0.5236842105263158,0.8131578947368421,0.593859649122807,0.7552631578947369,0.7131578947368421,0.22015915119363394
CDK2,JAK2,False,0,0.5184210526315789,0.6605263157894737,0.5552631578947368,0.5780701754385965,0.95,0.9289473684210526,0.2422360248447205
FGFR1,MAPK1,False,0,0.45,0.5289473684210526,0.75,0.5763157894736842,0.10263157894736842,0.1763157894736842,0.25597269624573377
CDK2,MET,False,0,0.5447368421052632,0.6447368421052632,0.5236842105263158,0.5710526315789474,0.32894736842105265,0.17105263157894737,0.2012012012012012
FGFR1,SRC,False,0,0.7078947368421052,0.6342105263157894,0.3605263157894737,0.5675438596491228,0.15526315789473685,0.12368421052631579,0.3533834586466165
MET,PLK1,False,0,0.5710526315789474,0.618421052631579,0.4868421052631579,0.5587719298245615,0.3236842105263158,0.2026315789473684,0.21305841924398625
FGFR1,MET,False,0,0.5131578947368421,0.6763157894736842,0.4763157894736842,0.5552631578947369,0.42894736842105263,0.9394736842105263,0.34843205574912894
AKT2,FGFR1,False,0,0.35526315789473684,0.5868421052631579,0.7078947368421052,0.5499999999999999,0.2710526315789474,0.4131578947368421,0.17886178861788618
EGFR,IGF1R,False,0,0.5289473684210526,0.6552631578947369,0.45,0.5447368421052631,0.6657894736842105,0.5763157894736842,0.3274021352313167
LCK,MET,False,0,0.5236842105263158,0.48157894736842105,0.6236842105263158,0.5429824561403509,0.19210526315789472,0.02368421052631579,0.34507042253521125
FGFR1,MAP2K1,False,0,0.5394736842105263,0.37105263157894736,0.718421052631579,0.5429824561403508,0.21842105263157896,0.2710526315789474,0.2289156626506024
EGFR,PLK1,False,0,0.6552631578947369,0.5078947368421053,0.4605263157894737,0.5412280701754386,0.8131578947368421,0.5710526315789474,0.2080536912751678
KDR,MET,False,0,0.5078947368421053,0.7394736842105263,0.3763157894736842,0.5412280701754386,0.55,0.9815789473684211,0.3100303951367781
FGFR1,ROCK1,False,0,0.5552631578947368,0.4763157894736842,0.5763157894736842,0.5359649122807016,0.16052631578947368,0.06578947368421052,0.20454545454545456
FGFR1,MAPKAPK2,False,1,0.3763157894736842,0.29736842105263156,0.9236842105263158,0.5324561403508772,0.25526315789473686,0.19210526315789472,0.20408163265306123
IGF1R,MAPK14,False,0,0.49736842105263157,0.6710526315789473,0.41842105263157897,0.5289473684210527,0.3868421052631579,0.7657894736842106,0.19155844155844157
LCK,MAPK14,False,0,0.5342105263157895,0.5026315789473684,0.5342105263157895,0.5236842105263158,0.7078947368421052,0.8552631578947368,0.25742574257425743
ABL1,MET,False,0,0.3447368421052632,0.7078947368421052,0.46578947368421053,0.506140350877193,0.3394736842105263,0.8710526315789474,0.3194888178913738
CSF1R,MET,False,0,0.4394736842105263,0.5605263157894737,0.5184210526315789,0.506140350877193,0.25,0.33421052631578946,0.3287671232876712
CDK2,MAPK14,False,0,0.7026315789473684,0.5657894736842105,0.23421052631578948,0.5008771929824561,0.6078947368421053,0.48157894736842105,0.30844155844155846
MAPK14,PLK1,False,0,0.5868421052631579,0.44473684210526315,0.4710526315789474,0.5008771929824561,0.5710526315789474,0.4026315789473684,0.24605678233438485
ABL1,MAPK14,False,0,0.6605263157894737,0.4605263157894737,0.35,0.49035087719298254,0.1763157894736842,0.5236842105263158,0.196875
FGFR1,KIT,False,0,0.75,0.3605263157894737,0.35526315789473684,0.4885964912280702,0.5973684210526315,0.9552631578947368,0.44755244755244755
ABL1,FGFR1,False,0,0.40789473684210525,0.6289473684210526,0.3973684210526316,0.4780701754385965,0.5447368421052632,0.9710526315789474,0.36082474226804123
FGFR1,MAPK14,False,0,0.31842105263157894,0.41842105263157897,0.6605263157894737,0.46578947368421053,0.1868421052631579,0.5078947368421053,0.24600638977635783
MAPK14,MET,False,0,0.46578947368421053,0.4394736842105263,0.4921052631578947,0.46578947368421053,0.2236842105263158,0.25526315789473686,0.2329192546583851
MAPK14,SRC,False,0,0.5921052631578947,0.4710526315789474,0.3026315789473684,0.4552631578947368,0.6763157894736842,0.75,0.24315068493150685
MET,ROCK1,False,0,0.4710526315789474,0.28157894736842104,0.6078947368421053,0.4535087719298246,0.2657894736842105,0.10789473684210527,0.2056338028169014
FGFR1,LCK,False,0,0.4763157894736842,0.4026315789473684,0.48157894736842105,0.45350877192982453,0.18157894736842106,0.20789473684210527,0.362962962962963
AKT2,MET,False,0,0.5605263157894737,0.35526315789473684,0.4394736842105263,0.45175438596491224,0.37105263157894736,0.3447368421052632,0.18059299191374664
EGFR,MET,False,0,0.4868421052631579,0.3078947368421053,0.5394736842105263,0.44473684210526315,0.5078947368421053,0.5394736842105263,0.34843205574912894
EGFR,ROCK1,False,0,0.45526315789473687,0.4236842105263158,0.45526315789473687,0.44473684210526315,0.7763157894736842,0.5289473684210526,0.19287833827893175
AKT1,MET,False,0,0.5657894736842105,0.32894736842105265,0.4342105263157895,0.44298245614035087,0.2868421052631579,0.2394736842105263,0.21686746987951808
CDK2,FGFR1,False,0,0.48157894736842105,0.5710526315789474,0.2657894736842105,0.4394736842105263,0.14473684210526316,0.034210526315789476,0.19877675840978593
MAP2K1,MAPK14,False,0,0.26052631578947366,0.42894736842105263,0.618421052631579,0.4359649122807017,0.618421052631579,0.4921052631578947,0.2012012012012012
CDK2,EGFR,False,0,0.5763157894736842,0.4131578947368421,0.29210526315789476,0.4271929824561404,0.9342105263157895,0.7236842105263158,0.20469798657718122
JAK2,SRC,False,0,0.6236842105263158,0.3973684210526316,0.26052631578947366,0.4271929824561404,0.718421052631579,0.7394736842105263,0.296028880866426
CSF1R,FGFR1,False,0,0.4605263157894737,0.45526315789473687,0.31842105263157894,0.4114035087719298,0.13421052631578947,0.39210526315789473,0.48028673835125446
MET,SRC,False,0,0.42894736842105263,0.39210526315789473,0.39210526315789473,0.40438596491228074,0.22894736842105262,0.05526315789473684,0.3115942028985507
EGFR,JAK2,False,0,0.2710526315789474,0.36578947368421055,0.55,0.3956140350877193,0.7394736842105263,0.6026315789473684,0.31316725978647686
JAK2,LCK,False,0,0.6026315789473684,0.26052631578947366,0.3078947368421053,0.39035087719298245,0.7605263157894737,0.8078947368421052,0.32269503546099293
KIT,MET,False,0,0.28157894736842104,0.4868421052631579,0.4026315789473684,0.39035087719298245,0.5026315789473684,0.8289473684210527,0.3184713375796178
MAPK14,ROCK1,False,0,0.33421052631578946,0.40789473684210525,0.42894736842105263,0.39035087719298245,0.6868421052631579,0.6815789473684211,0.2336182336182336
EGFR,FGFR1,False,0,0.29210526315789476,0.2710526315789474,0.5921052631578947,0.3850877192982456,0.3078947368421053,0.3815789473684211,0.32142857142857145
ABL1,EGFR,False,0,0.55,0.25526315789473686,0.3394736842105263,0.3815789473684211,0.26052631578947366,0.3868421052631579,0.3125
CDK2,KDR,False,0,0.29736842105263156,0.3026315789473684,0.5447368421052632,0.3815789473684211,0.05526315789473684,0.05,0.22058823529411764
MAP2K1,SRC,False,0,0.5973684210526315,0.46578947368421053,0.08157894736842106,0.381578947368421,0.8394736842105263,0.8236842105263158,0.22884012539184953
CDK2,KIT,False,0,0.11842105263157894,0.23421052631578948,0.781578947368421,0.3780701754385965,0.3973684210526316,0.1394736842105263,0.2116991643454039
ABL1,CDK2,False,0,0.16052631578947368,0.3815789473684211,0.5078947368421053,0.35000000000000003,0.1394736842105263,0.0868421052631579,0.2113564668769716
CDK2,SRC,False,0,0.19736842105263158,0.31842105263157894,0.5289473684210526,0.34824561403508775,0.881578947368421,0.7605263157894737,0.24149659863945577
LCK,MAP2K1,False,0,0.6289473684210526,0.3868421052631579,0.02894736842105263,0.34824561403508764,0.8026315789473685,0.7026315789473684,0.19811320754716982
KDR,MAP2K1,False,0,0.6078947368421053,0.33421052631578946,0.09210526315789473,0.3447368421052632,0.07631578947368421,0.2131578947368421,0.18559556786703602
KDR,MAPK14,False,0,0.2868421052631579,0.3131578947368421,0.36578947368421055,0.3219298245614035,0.07105263157894737,0.32894736842105265,0.22522522522522523
KIT,MAPK14,False,0,0.37105263157894736,0.35,0.24473684210526317,0.3219298245614035,0.35,0.41842105263157897,0.19174041297935104
CSF1R,IGF1R,False,0,0.2026315789473684,0.13421052631578947,0.6026315789473684,0.3131578947368421,0.39210526315789473,0.7763157894736842,0.3333333333333333
ABL1,MAP2K1,False,0,0.39210526315789473,0.49736842105263157,0.039473684210526314,0.30964912280701756,0.09736842105263158,0.07631578947368421,0.21779141104294478
CSF1R,MAPK14,False,0,0.3868421052631579,0.3447368421052632,0.19736842105263158,0.30964912280701756,0.5763157894736842,0.9078947368421053,0.22784810126582278
JAK2,MAPK14,False,0,0.22894736842105262,0.19736842105263158,0.49736842105263157,0.3078947368421053,0.45526315789473687,0.5605263157894737,0.22151898734177214
JAK2,KDR,False,0,0.36578947368421055,0.3763157894736842,0.1763157894736842,0.306140350877193,0.018421052631578946,0.039473684210526314,0.27514792899408286
CDK2,CSF1R,False,0,0.1763157894736842,0.05526315789473684,0.65,0.293859649122807,0.6236842105263158,0.5657894736842105,0.19411764705882353
JAK2,KIT,False,0,0.32894736842105265,0.3236842105263158,0.21842105263157896,0.29035087719298247,0.36578947368421055,0.29210526315789476,0.24758842443729903
CSF1R,JAK2,False,0,0.3131578947368421,0.2868421052631579,0.2710526315789474,0.2903508771929824,0.6394736842105263,0.8342105263157895,0.2671009771986971
CSF1R,MAP2K1,False,0,0.3973684210526316,0.2394736842105263,0.18157894736842106,0.27280701754385966,0.28157894736842104,0.08157894736842106,0.1945288753799392
ABL1,JAK2,False,0,0.3236842105263158,0.1868421052631579,0.28157894736842104,0.26403508771929823,0.10789473684210527,0.19736842105263158,0.2964169381107492
KIT,MAP2K1,False,0,0.4026315789473684,0.27631578947368424,0.0868421052631579,0.25526315789473686,0.3447368421052632,0.1868421052631579,0.19428571428571428
KDR,PLK1,False,0,0.2236842105263158,0.24473684210526317,0.2868421052631579,0.2517543859649123,0.05,0.060526315789473685,0.22327044025157233
AKT1,KDR,False,0,0.23421052631578948,0.10789473684210527,0.40789473684210525,0.25,0.02894736842105263,0.09210526315789473,0.21739130434782608
KDR,ROCK1,False,0,0.25526315789473686,0.22894736842105262,0.25,0.24473684210526314,0.02368421052631579,0.02894736842105263,0.19889502762430938
IGF1R,KDR,False,0,0.3605263157894737,0.2131578947368421,0.15526315789473685,0.24298245614035088,0.002631578947368421,0.14473684210526316,0.2948328267477204
PLK1,SRC,False,0,0.27631578947368424,0.2236842105263158,0.22894736842105262,0.24298245614035086,0.9394736842105263,0.8657894736842106,0.25
AKT2,KDR,False,0,0.2657894736842105,0.039473684210526314,0.4131578947368421,0.2394736842105263,0.09210526315789473,0.31842105263157894,0.203125
EGFR,KIT,False,0,0.1868421052631579,0.3394736842105263,0.19210526315789472,0.23947368421052628,0.6026315789473684,0.45526315789473687,0.268370607028754
IGF1R,SRC,False,0,0.21842105263157896,0.2657894736842105,0.20789473684210527,0.23070175438596494,0.5342105263157895,0.7289473684210527,0.332089552238806
CSF1R,ROCK1,False,0,0.14473684210526316,0.20789473684210527,0.33421052631578946,0.22894736842105265,0.4868421052631579,0.4605263157894737,0.18911174785100288
CSF1R,EGFR,False,0,0.19210526315789472,0.29210526315789476,0.1868421052631579,0.2236842105263158,0.41842105263157897,0.21842105263157896,0.29292929292929293
EGFR,KDR,False,0,0.20789473684210527,0.2026315789473684,0.25526315789473686,0.2219298245614035,0.16578947368421051,0.49736842105263157,0.3047619047619048
ABL1,PLK1,False,0,0.15526315789473685,0.21842105263157896,0.2236842105263158,0.1991228070175439,0.15,0.11842105263157894,0.1736111111111111
ROCK1,SRC,False,0,0.18157894736842106,0.25,0.15,0.19385964912280704,0.9657894736842105,0.9342105263157895,0.21238938053097345
IGF1R,KIT,False,0,0.15,0.11842105263157894,0.29736842105263156,0.18859649122807018,0.24473684210526317,0.2236842105263158,0.3231292517006803
CSF1R,PLK1,False,0,0.12894736842105264,0.05,0.3815789473684211,0.18684210526315792,0.6289473684210526,0.5552631578947368,0.23214285714285715
CDK2,LCK,False,0,0.08157894736842106,0.1763157894736842,0.27631578947368424,0.1780701754385965,0.9078947368421053,0.781578947368421,0.22429906542056074
ABL1,IGF1R,False,0,0.17105263157894737,0.12894736842105264,0.2131578947368421,0.17105263157894737,0.039473684210526314,0.13421052631578947,0.363013698630137
IGF1R,LCK,False,0,0.2131578947368421,0.12368421052631579,0.16052631578947368,0.16578947368421051,0.5236842105263158,0.6868421052631579,0.3490909090909091
LCK,PLK1,False,0,0.10789473684210527,0.1394736842105263,0.2394736842105263,0.16228070175438594,0.9184210526315789,0.8447368421052631,0.21691176470588236
KIT,ROCK1,False,0,0.09210526315789473,0.18157894736842106,0.17105263157894737,0.14824561403508774,0.33421052631578946,0.09736842105263158,0.17232375979112272
ABL1,ROCK1,False,0,0.13421052631578947,0.16578947368421051,0.13421052631578947,0.14473684210526316,0.08157894736842106,0.013157894736842105,0.2042042042042042
LCK,ROCK1,False,0,0.04473684210526316,0.14473684210526316,0.2026315789473684,0.1307017543859649,0.9605263157894737,0.9184210526315789,0.21492537313432836
AKT1,SRC,False,0,0.16578947368421051,0.15,0.04473684210526316,0.12017543859649123,0.8289473684210527,0.85,0.24092409240924093
AKT2,SRC,False,0,0.1394736842105263,0.17105263157894737,0.05,0.12017543859649121,0.7921052631578948,0.6973684210526315,0.1925287356321839
KDR,MAPK1,False,0,0.25,0.034210526315789476,0.060526315789473685,0.1149122807017544,0.060526315789473685,0.23421052631578948,0.2132564841498559
KIT,PLK1,False,0,0.10263157894736842,0.07631578947368421,0.16578947368421051,0.11491228070175437,0.4605263157894737,0.27631578947368424,0.21070234113712374
AKT2,CSF1R,False,0,0.12368421052631579,0.10263157894736842,0.09736842105263158,0.10789473684210527,0.40789473684210525,0.35526315789473684,0.168
KDR,MAPKAPK2,False,0,0.24473684210526317,0.060526315789473685,0.018421052631578946,0.10789473684210527,0.11315789473684211,0.25,0.1942675159235669
MAPK1,SRC,False,0,0.0868421052631579,0.16052631578947368,0.06578947368421052,0.1043859649122807,0.5921052631578947,0.5131578947368421,0.23104693140794225
ABL1,AKT1,False,0,0.09736842105263158,0.07105263157894737,0.12894736842105264,0.09912280701754388,0.04473684210526316,0.002631578947368421,0.2123076923076923
AKT1,CSF1R,False,0,0.11315789473684211,0.06578947368421052,0.10263157894736842,0.09385964912280702,0.3026315789473684,0.16052631578947368,0.2005813953488372
ABL1,MAPK1,False,0,0.060526315789473685,0.19210526315789472,0.02368421052631579,0.09210526315789475,0.11842105263157894,0.24473684210526317,0.2376237623762376
AKT2,KIT,False,0,0.07631578947368421,0.08157894736842106,0.07631578947368421,0.0780701754385965,0.4921052631578947,0.3973684210526316,0.1375921375921376
ABL1,MAPKAPK2,False,0,0.02368421052631579,0.09736842105263158,0.10789473684210527,0.07631578947368421,0.2394736842105263,0.2657894736842105,0.1848184818481848
LCK,MAPKAPK2,False,0,0.002631578947368421,0.11315789473684211,0.11315789473684211,0.07631578947368421,0.85,0.6131578947368421,0.19543973941368079
AKT2,LCK,False,0,0.018421052631578946,0.04473684210526316,0.1394736842105263,0.06754385964912281,0.7657894736842106,0.6342105263157894,0.1907356948228883
